#,,,
#node:,EPYC,,
#scalability:,openMP,,
#performance_measure:,time(s),,
#threads_affinity_policy:,close,,
#playground_x_size:,25000,,
#playground_y_size:,25000,,
#generations:,5,,
#sockets:,2,,
#,,,
#,,,
threads_per_socket,ordered,static,static_in_place
1,81.662645,39.549541,42.023742
2,81.769097,19.758719,21.076093
3,82.051293,13.224132,14.052756
4,82.380466,9.923642,10.540748
5,82.659771,7.966042,8.448492
6,82.971450,6.626004,7.058357
7,83.239696,5.677465,6.062050
8,83.601723,5.000210,5.342262
9,83.589954,4.416077,4.712582
10,83.724655,3.988116,4.245656
11,84.023464,3.629007,3.863164
12,84.612860,3.329552,3.541719
13,84.625384,3.080141,3.273870
14,84.925065,2.866332,3.251001
15,85.383827,2.676276,2.841360
16,85.354822,2.508996,2.666889
17,86.201507,2.936076,3.034219
18,86.094499,2.245624,2.532666
19,86.700536,2.137087,2.262005
20,86.985455,2.025616,2.152708
21,87.160202,1.934479,2.057410
22,87.295753,1.853450,1.965182
23,88.100454,1.770973,1.885956
24,88.359594,1.699267,1.809242
25,88.770844,1.640413,1.738380
26,89.133509,1.576610,1.675964
27,89.665988,1.524453,1.618148
28,89.956627,1.471800,1.567412
29,90.290964,1.420403,1.507159
30,90.730590,1.377275,1.457306
31,90.875125,1.329823,1.414222
32,91.408304,1.345279,1.375093
33,91.782405,1.254668,1.330005
34,91.976762,1.223863,1.292944
35,91.943164,1.194262,1.272393
36,92.713050,1.157924,1.225284
37,93.067503,1.127149,1.194962
38,93.213451,1.094460,1.161778
39,93.695965,1.068658,1.133625
40,93.964872,1.042794,1.106024
41,94.380570,1.021773,1.082144
42,94.606755,0.997472,1.053577
43,94.932535,0.974869,1.048294
44,95.253836,0.958814,1.009546
45,95.557230,0.938806,0.998017
46,95.738714,0.923167,0.983605
47,96.147490,0.913376,0.972647
48,96.544424,0.897189,0.956975
49,96.776229,0.889587,0.948236
50,97.092626,0.872811,0.927739
51,97.333694,0.869731,0.916255
52,97.716083,0.847972,0.903136
53,98.038660,0.844246,0.888742
54,98.168286,0.828320,0.877404
55,98.563848,0.819687,0.867656
56,98.950276,0.803499,0.861842
57,99.248085,0.796372,0.847818
58,99.506459,0.791536,0.837337
59,99.793209,0.781917,0.824639
60,100.050478,0.766731,0.815606
61,100.470494,0.760794,0.807406
62,100.762723,0.754043,0.796856
63,101.164832,0.740848,0.788541
64,101.304998,0.733301,0.781995
