#,,,,
#node_part:,EPYC,,,
#scalability:,strong_MPI,,,
#performance_measure:,time(s),,,
#threads_affinity_policy:,close,,
#generations:,5,,,
#threads_per_socket:,64,,,
#,,,,
#,,,,
mat_size,processes,ordered,static,static_in_place
10000x10000,1,22.715646,0.250585,0.289436
10000x10000,2,31.096630,0.151997,0.149108
10000x10000,3,28.599600,0.119296,0.115828
10000x10000,4,28.516424,0.105107,0.106562
10000x10000,1,22.723438,0.255583,0.265582
10000x10000,2,31.093308,0.152293,0.148638
10000x10000,3,28.576255,0.118891,0.118816
10000x10000,4,28.589151,0.105167,0.100535
10000x10000,1,22.757706,0.255504,0.265681
10000x10000,2,31.105767,0.151911,0.148860
10000x10000,3,28.568896,0.118068,0.121265
10000x10000,4,28.567582,0.104666,0.108077
10000x10000,1,22.726543,0.255387,0.266125
10000x10000,2,31.064840,0.150495,0.154647
10000x10000,3,28.605592,0.116195,0.115674
10000x10000,4,28.458392,0.102767,0.104182
10000x10000,1,22.723510,0.251924,0.266504
10000x10000,2,31.102357,0.198997,0.148006
10000x10000,3,28.581976,0.118772,0.121099
10000x10000,4,28.613755,0.103815,0.100393
20000x20000,1,55.073834,0.915200,0.977740
20000x20000,2,72.041397,0.478535,0.502100
20000x20000,3,84.683926,0.340620,0.354001
20000x20000,4,103.707671,0.276090,0.289132
20000x20000,1,55.059301,0.915461,0.977288
20000x20000,2,72.043104,0.483851,0.502150
20000x20000,3,84.648109,0.343061,0.352156
20000x20000,4,103.819523,0.272786,0.289047
20000x20000,1,55.059253,0.912822,0.975093
20000x20000,2,71.973143,0.483767,0.503435
20000x20000,3,84.658764,0.344821,0.351226
20000x20000,4,103.727589,0.276384,0.289781
20000x20000,1,55.042653,0.912929,0.976776
20000x20000,2,72.020671,0.481524,0.504448
20000x20000,3,84.685204,0.343487,0.367035
20000x20000,4,103.851991,0.275186,0.285508
20000x20000,1,55.037193,0.913633,0.977567
20000x20000,2,71.931205,0.479508,0.509690
20000x20000,3,84.696002,0.340968,0.350473
20000x20000,4,103.906936,0.275782,0.286653
30000x30000,1,120.396566,2.139026,2.167689
30000x30000,2,137.601338,1.133206,1.110774
30000x30000,3,146.574637,0.711301,0.750015
30000x30000,4,162.514052,0.548850,0.587725
30000x30000,1,120.412612,2.103567,2.168113
30000x30000,2,137.694404,1.037723,1.106550
30000x30000,3,146.413028,0.701610,0.751860
30000x30000,4,162.302594,0.550969,0.589102
30000x30000,1,120.435267,2.101865,2.290140
30000x30000,2,137.663439,1.042760,1.106387
30000x30000,3,146.450984,0.707520,0.757854
30000x30000,4,162.263009,0.554424,0.592674
30000x30000,1,120.403533,2.116440,2.314871
30000x30000,2,137.676584,1.033499,1.106652
30000x30000,3,146.317211,0.706392,0.747411
30000x30000,4,162.424469,0.549717,0.581359
30000x30000,1,120.377419,2.117717,2.164309
30000x30000,2,137.611036,1.038685,1.113714
30000x30000,3,146.339852,0.705667,0.747246
30000x30000,4,162.515434,0.548893,0.580121
