#,,,,
#node_part:,EPYC,,,
#scalability:,weak_MPI,,,
#performance_measure:,time(s),,,
#generations:,5,,,
#starting_mat_size,10000x10000,,,
#threads_per_socket:,64,,,
#,,,,
#,,,,
mat_size,processes,ordered,static,static_in_place
10000x10000,1,22.686483,0.257815,0.268748
20000x10000,2,52.065256,0.266641,0.269118
30000x10000,3,77.928903,0.265505,0.274305
40000x10000,4,103.993001,0.269958,0.282748
10000x10000,1,22.733846,0.258259,0.268450
20000x10000,2,52.026131,0.258851,0.269824
30000x10000,3,77.982628,0.276022,0.276128
40000x10000,4,103.877301,0.269709,0.292677
10000x10000,1,22.737817,0.258206,0.269914
20000x10000,2,51.958576,0.262663,0.271067
30000x10000,3,77.974889,0.276685,0.284465
40000x10000,4,104.018679,0.266189,0.292566
10000x10000,1,22.722553,0.258112,0.270731
20000x10000,2,52.092125,0.265231,0.271918
30000x10000,3,77.967794,0.265089,0.279898
40000x10000,4,103.972047,0.269936,0.284628
10000x10000,1,22.727873,0.260055,0.269808
20000x10000,2,51.880217,0.261418,0.270757
30000x10000,3,78.036196,0.267545,0.283821
40000x10000,4,104.022718,0.266571,0.288370
