#,,,
#node:,THIN,,
#scalability:,openMP,,
#performance_measure:,time(s),,
#threads_affinity_policy:,close,,
#playground_x_size:,25000,,
#playground_y_size:,25000,,
#generations:,5,,
#sockets:,2,,
#,,,
#,,,
threads_per_socket,ordered,static,static_in_place
1,76.117958,38.104153,40.175907
2,76.134763,19.080863,20.138782
3,76.219084,12.709987,13.435472
4,76.363301,9.503013,10.079378
5,76.520845,7.644920,8.069870
6,76.641783,6.355084,6.719547
7,76.631599,5.418605,5.785036
8,76.829887,4.744921,5.062406
9,76.856986,4.227041,4.491974
10,77.001312,3.811133,4.039791
11,77.130962,3.483894,3.690855
12,77.333525,3.201571,3.389135
