#,,,,
#node_part:,THIN,,,
#scalability:,weak_MPI,,,
#performance_measure:,time(s),,,
#threads_affinity_policy:,close,,
#generations:,5,,,
#starting_mat_size,10000x10000,,,
#threads_per_socket:,12,,,
#,,,,
#,,,,
mat_size,processes,ordered,static,static_in_place
10000x10000,1,12.621840,1.041734,1.104873
20000x10000,2,25.658936,1.052795,1.112367
30000x10000,3,38.414030,1.084965,1.112222
40000x10000,4,51.500189,1.059971,1.117136
10000x10000,1,12.672428,1.050431,1.101893
20000x10000,2,25.670858,1.048971,1.135584
30000x10000,3,38.345733,1.043396,1.142419
40000x10000,4,51.507584,1.057992,1.110823
10000x10000,1,12.600152,1.042188,1.101259
20000x10000,2,25.645024,1.043548,1.114781
30000x10000,3,38.415547,1.041953,1.114090
40000x10000,4,51.470036,1.066661,1.119412
10000x10000,1,12.661807,1.048649,1.111442
20000x10000,2,25.670849,1.043425,1.129639
30000x10000,3,38.421025,1.078932,1.119709
40000x10000,4,51.435752,1.076971,1.114283
10000x10000,1,12.661514,1.048602,1.105198
20000x10000,2,25.633308,1.045488,1.108285
30000x10000,3,38.383079,1.044839,1.109747
40000x10000,4,51.600746,1.059991,1.145818
