#,,,
#node:,EPYC,,
#library:,BLIS,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,41.731560,47.925359
1,10000,41.378642,48.334114
1,10000,41.693710,47.968867
1,10000,41.554293,48.129804
1,10000,41.530451,48.157435
2,10000,21.332938,93.751737
2,10000,21.298978,93.901221
2,10000,21.351124,93.671883
2,10000,21.256422,94.089214
2,10000,21.424051,93.353025
3,10000,14.601937,136.968131
3,10000,14.651065,136.508843
3,10000,14.579797,137.176122
3,10000,14.725644,135.817490
3,10000,14.650734,136.511934
4,10000,12.378525,161.570138
4,10000,11.892031,168.179851
4,10000,12.401781,161.267161
4,10000,12.024959,166.320732
4,10000,12.150410,164.603496
5,10000,10.034229,199.317749
5,10000,9.740504,205.328186
5,10000,10.161897,196.813652
5,10000,9.587480,208.605398
5,10000,10.039887,199.205429
6,10000,8.234244,242.888103
6,10000,8.722328,229.296581
6,10000,8.271081,241.806355
6,10000,8.540390,234.181344
6,10000,8.285534,241.384569
7,10000,6.560612,304.849617
7,10000,6.497454,307.812866
7,10000,6.375410,313.705332
7,10000,6.338457,315.534230
7,10000,6.383594,313.303115
8,10000,6.045337,330.833494
8,10000,6.146414,325.393006
8,10000,6.085470,328.651676
8,10000,5.889535,339.585377
8,10000,5.875108,340.419298
9,10000,5.616544,356.090886
9,10000,5.712981,350.079953
9,10000,5.663196,353.157475
9,10000,5.699974,350.878788
9,10000,5.684866,351.811274
10,10000,5.141154,389.017693
10,10000,5.230507,382.372113
10,10000,5.124846,390.255631
10,10000,5.255324,380.566416
10,10000,5.151701,388.221252
11,10000,4.004439,499.445711
11,10000,4.000747,499.906609
11,10000,3.996788,500.401873
11,10000,4.009153,498.858531
11,10000,4.000886,499.889328
12,10000,3.836341,521.330056
12,10000,3.898527,513.014304
12,10000,3.853268,519.040002
12,10000,3.857387,518.485661
12,10000,3.818169,523.811274
13,10000,3.825197,522.848920
13,10000,3.844881,520.172104
13,10000,3.836145,521.356747
13,10000,3.840110,520.818400
13,10000,3.883089,515.053843
14,10000,3.809659,524.981405
14,10000,3.761367,531.721572
14,10000,3.808408,525.153766
14,10000,3.772820,530.107474
14,10000,3.791776,527.457317
15,10000,3.651794,547.676026
15,10000,3.679015,543.623752
15,10000,3.685305,542.695982
15,10000,3.678647,543.678186
15,10000,3.655788,547.077691
16,10000,2.843755,703.295346
16,10000,2.862053,698.799150
16,10000,2.846542,702.606805
16,10000,2.849894,701.780399
16,10000,2.916391,685.779181
17,10000,2.872068,696.362235
17,10000,2.848682,702.078986
17,10000,2.865805,697.884081
17,10000,2.878610,694.779658
17,10000,2.958351,676.052290
18,10000,3.101151,644.921888
18,10000,3.099463,645.273012
