#,,,
#node:,EPYC,,
#library:,BLIS,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,20.507707,97.524312
1,10000,20.519437,97.468562
1,10000,20.510096,97.512953
1,10000,20.789934,96.200402
1,10000,20.512743,97.500369
2,10000,10.466920,191.078179
2,10000,10.536419,189.817820
2,10000,10.556204,189.462051
2,10000,10.508313,190.325503
2,10000,10.502553,190.429894
3,10000,7.091355,282.033527
3,10000,7.127895,280.587750
3,10000,7.083529,282.345159
3,10000,7.050638,283.662256
3,10000,7.086618,282.222055
4,10000,5.403153,370.154221
4,10000,5.503770,363.387267
4,10000,5.411821,369.561406
4,10000,5.409549,369.716570
4,10000,5.406364,369.934364
5,10000,4.291005,466.091248
5,10000,4.269982,468.386054
5,10000,4.271443,468.225795
5,10000,4.266444,468.774432
5,10000,4.248323,470.774039
6,10000,3.680903,543.344872
6,10000,3.696998,540.979403
6,10000,3.680208,543.447517
6,10000,3.691278,541.817757
6,10000,3.732114,535.889329
7,10000,3.073431,650.738635
7,10000,3.056949,654.247191
7,10000,3.072570,650.920945
7,10000,3.074455,650.521873
7,10000,3.055823,654.488224
8,10000,2.709950,738.020954
8,10000,2.747972,727.809440
8,10000,2.711236,737.671053
8,10000,2.701136,740.429169
8,10000,2.720848,735.065080
9,10000,2.455565,814.476545
9,10000,2.452546,815.479195
9,10000,2.430549,822.859502
9,10000,2.443203,818.597487
9,10000,2.449547,816.477555
10,10000,2.318327,862.691161
10,10000,2.322809,861.026607
10,10000,2.329782,858.449433
10,10000,2.317564,862.975009
10,10000,2.320030,862.057678
11,10000,2.019679,990.256201
11,10000,2.022116,989.062746
11,10000,2.019017,990.581027
11,10000,2.019050,990.565018
11,10000,2.024025,988.129894
12,10000,1.852040,1079.890356
12,10000,1.848794,1081.786084
12,10000,1.849002,1081.664355
12,10000,1.845789,1083.547732
12,10000,1.865763,1071.947543
13,10000,1.847261,1082.683772
13,10000,1.856532,1077.277348
13,10000,1.849687,1081.264116
13,10000,1.844898,1084.071042
13,10000,1.835545,1089.594889
14,10000,1.696419,1178.953780
14,10000,1.695696,1179.456621
14,10000,1.704027,1173.690654
14,10000,1.695106,1179.867358
14,10000,1.706262,1172.152734
15,10000,1.605694,1245.567174
15,10000,1.602253,1248.242586
15,10000,1.588631,1258.945788
15,10000,1.591059,1257.024107
15,10000,1.605596,1245.643504
16,10000,1.445736,1383.378228
16,10000,1.450387,1378.941875
16,10000,1.444487,1384.574195
16,10000,1.440726,1388.189329
16,10000,1.435058,1393.671525
17,10000,1.449189,1380.081982
17,10000,1.438609,1390.231622
17,10000,1.455179,1374.401245
17,10000,1.447776,1381.428760
17,10000,1.437966,1390.853359
18,10000,1.353675,1477.459120
18,10000,1.364081,1466.188076
18,10000,1.350750,1480.658643
18,10000,1.358802,1471.884672
18,10000,1.363608,1466.697107
19,10000,1.361123,1469.374541
19,10000,1.357702,1473.077028
19,10000,1.363479,1466.835940
19,10000,1.354866,1476.160845
19,10000,1.359253,1471.395994
20,10000,1.256099,1592.230876
20,10000,1.264335,1581.858650
20,10000,1.260162,1587.097010
20,10000,1.263078,1583.433958
20,10000,1.260939,1586.119790
21,10000,1.259421,1588.031658
21,10000,1.257559,1590.382926
21,10000,1.259776,1587.584446
21,10000,1.265030,1580.990470
21,10000,1.258069,1589.738175
22,10000,1.268623,1576.512832
22,10000,1.267581,1577.807968
22,10000,1.267834,1577.493045
22,10000,1.269377,1575.576548
22,10000,1.272195,1572.085541
23,10000,1.265255,1580.708541
23,10000,1.269413,1575.531227
23,10000,1.270583,1574.080598
23,10000,1.268514,1576.648443
23,10000,1.267561,1577.833723
24,10000,1.172664,1705.518314
24,10000,1.181708,1692.465995
24,10000,1.193176,1676.199228
24,10000,1.178372,1697.257223
24,10000,1.172200,1706.193871
25,10000,1.173510,1704.288301
25,10000,1.175424,1701.513286
25,10000,1.168363,1711.797260
25,10000,1.174212,1703.270514
25,10000,1.168566,1711.499267
26,10000,1.212020,1650.138338
26,10000,1.217896,1642.176075
26,10000,1.210136,1652.707429
26,10000,1.214340,1646.985808
26,10000,1.211737,1650.522826
27,10000,1.176958,1699.295605
27,10000,1.179788,1695.220384
27,10000,1.179953,1694.982095
27,10000,1.180857,1693.684554
27,10000,1.178098,1697.651579
28,10000,1.166256,1714.889222
28,10000,1.161111,1722.488286
28,10000,1.160345,1723.625399
28,10000,1.158805,1725.916148
28,10000,1.159937,1724.231353
29,10000,1.164860,1716.944359
29,10000,1.161656,1721.679850
29,10000,1.153317,1734.128599
29,10000,1.166666,1714.286569
29,10000,1.163927,1718.321011
30,10000,1.127464,1773.891785
30,10000,1.127706,1773.512655
30,10000,1.126124,1776.003755
30,10000,1.131452,1767.639653
30,10000,1.132905,1765.373696
31,10000,1.124428,1778.682208
31,10000,1.126984,1774.648305
31,10000,1.134481,1762.920153
31,10000,1.128170,1772.781735
31,10000,1.125204,1777.455531
32,10000,1.193519,1675.716988
32,10000,1.191212,1678.961905
32,10000,1.198528,1668.713041
32,10000,1.200056,1666.589223
32,10000,1.191279,1678.867904
33,10000,1.089541,1835.634721
33,10000,1.085775,1842.002949
33,10000,1.089417,1835.844609
33,10000,1.083901,1845.186578
33,10000,1.077114,1856.814346
34,10000,1.100962,1816.592604
34,10000,1.101147,1816.288041
34,10000,1.102201,1814.551447
34,10000,1.099021,1819.801605
34,10000,1.098873,1820.046693
35,10000,1.132358,1766.226607
35,10000,1.131961,1766.845117
35,10000,1.130587,1768.992073
35,10000,1.132488,1766.023656
35,10000,1.148150,1741.933032
36,10000,1.164550,1717.400943
36,10000,1.167766,1712.671702
36,10000,1.170034,1709.351786
36,10000,1.158742,1726.009772
36,10000,1.164706,1717.171918
37,10000,1.181943,1692.129668
37,10000,1.176329,1700.205085
37,10000,1.170611,1708.508799
37,10000,1.167866,1712.525863
37,10000,1.156947,1728.687577
38,10000,1.036015,1930.473083
38,10000,1.034362,1933.558138
38,10000,1.032638,1936.787661
38,10000,1.038621,1925.630743
38,10000,1.063323,1880.895268
39,10000,1.123881,1779.547732
39,10000,1.109032,1803.374975
39,10000,1.093182,1829.520950
39,10000,1.105679,1808.843578
39,10000,1.108360,1804.467636
40,10000,1.198449,1668.823781
40,10000,1.205734,1658.740539
40,10000,1.198028,1669.410065
40,10000,1.201884,1664.054338
40,10000,1.197419,1670.259166
41,10000,1.200342,1666.192048
41,10000,1.203605,1661.674316
41,10000,1.202487,1663.219333
41,10000,1.201443,1664.665288
41,10000,1.201503,1664.581547
42,10000,1.184233,1688.856369
42,10000,1.186695,1685.353223
42,10000,1.187742,1683.866791
42,10000,1.197367,1670.331916
42,10000,1.184650,1688.261800
43,10000,1.194092,1674.913299
43,10000,1.191491,1678.568456
43,10000,1.187605,1684.061342
43,10000,1.190763,1679.595157
43,10000,1.188042,1683.442618
44,10000,1.305148,1532.393265
44,10000,1.309198,1527.652521
44,10000,1.300599,1537.752618
44,10000,1.304577,1533.063486
44,10000,1.306934,1530.298991
45,10000,1.304075,1533.653944
45,10000,1.309850,1526.892819
45,10000,1.320092,1515.045936
45,10000,1.320286,1514.823555
45,10000,1.311721,1524.714405
46,10000,1.006606,1986.875294
46,10000,1.051303,1902.401454
46,10000,1.054960,1895.806151
46,10000,1.033145,1935.835844
46,10000,1.020252,1960.300298
47,10000,1.041211,1920.840985
47,10000,1.053876,1897.756998
47,10000,1.002179,1995.651663
47,10000,1.057693,1890.907320
47,10000,1.062946,1881.562326
48,10000,1.170612,1708.508647
48,10000,1.172296,1706.054483
48,10000,1.187017,1684.895623
48,10000,1.188168,1683.263784
48,10000,1.166421,1714.646738
49,10000,1.159625,1724.695092
49,10000,1.158455,1726.436746
49,10000,1.159270,1725.223537
49,10000,1.159037,1725.570261
49,10000,1.160698,1723.100501
50,10000,1.279778,1562.771307
50,10000,1.275920,1567.496444
50,10000,1.276299,1567.031170
50,10000,1.277038,1566.124287
50,10000,1.278084,1564.841969
51,10000,1.121171,1783.849042
51,10000,1.114502,1794.523710
51,10000,1.112235,1798.181403
51,10000,1.117344,1789.959461
51,10000,1.123804,1779.670165
52,10000,1.414587,1413.840582
52,10000,1.399963,1428.608764
52,10000,1.384435,1444.632298
52,10000,1.406069,1422.405562
52,10000,1.443485,1385.535699
53,10000,1.406958,1421.506507
53,10000,1.383502,1445.607346
53,10000,1.395928,1432.738760
53,10000,1.372210,1457.503206
53,10000,1.398832,1429.764750
54,10000,1.187718,1683.900846
54,10000,1.186708,1685.335156
54,10000,1.186139,1686.143639
54,10000,1.190387,1680.125696
54,10000,1.186126,1686.161841
55,10000,1.166982,1713.822093
55,10000,1.195590,1672.814914
55,10000,1.187639,1684.013750
55,10000,1.169176,1710.606519
55,10000,1.184939,1687.850320
56,10000,1.268999,1576.045210
56,10000,1.271588,1572.836564
56,10000,1.259986,1587.319495
56,10000,1.270464,1574.228570
56,10000,1.256438,1591.802091
57,10000,1.107819,1805.349512
57,10000,1.109947,1801.887367
57,10000,1.089698,1835.370298
57,10000,1.105191,1809.641618
57,10000,1.119621,1786.319492
58,10000,1.050362,1904.105623
58,10000,1.048045,1908.315159
58,10000,1.037690,1927.356984
58,10000,1.047215,1909.828394
58,10000,1.057127,1891.919467
