#,,,
#node:,EPYC,,
#library:,MKL,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,31.841213,62.811678
1,10000,31.178115,64.147559
1,10000,31.802125,62.888879
1,10000,31.580129,63.330963
1,10000,32.054566,62.393607
2,10000,16.248405,123.089003
2,10000,16.450648,121.575761
2,10000,16.267229,122.946569
2,10000,16.388081,122.039914
2,10000,16.339010,122.406434
3,10000,16.143599,123.888114
3,10000,16.310046,122.623809
3,10000,16.284772,122.814123
3,10000,16.262538,122.982033
3,10000,16.255013,123.038968
4,10000,10.923101,183.098183
4,10000,10.939608,182.821904
4,10000,10.791656,185.328369
4,10000,10.887735,183.692928
4,10000,10.904843,183.404747
5,10000,8.211969,243.546955
5,10000,8.195270,244.043205
5,10000,8.179673,244.508546
5,10000,8.200997,243.872780
5,10000,8.192532,244.124759
6,10000,5.612277,356.361601
6,10000,5.560782,359.661636
6,10000,5.603679,356.908398
6,10000,5.575647,358.702761
6,10000,5.589821,357.793215
7,10000,5.578362,358.528171
7,10000,5.614357,356.229588
7,10000,5.602039,357.012845
7,10000,5.620829,355.819394
7,10000,5.636261,354.845170
8,10000,4.382831,456.326039
8,10000,4.284530,466.795664
8,10000,4.334173,461.449095
8,10000,4.321534,462.798637
8,10000,4.336484,461.203124
9,10000,4.356391,459.095562
9,10000,4.327239,462.188447
9,10000,4.397889,454.763639
9,10000,4.344257,460.377912
9,10000,4.357405,458.988831
10,10000,3.902729,512.461940
10,10000,3.888452,514.343549
10,10000,3.857823,518.427142
10,10000,3.877374,515.813058
10,10000,3.862539,517.794176
11,10000,3.545006,564.173994
11,10000,3.485223,573.851388
11,10000,3.518477,568.427824
11,10000,3.493155,572.548372
11,10000,3.526303,567.166302
12,10000,3.061367,653.302982
12,10000,3.056212,654.404837
12,10000,3.079990,649.352861
12,10000,3.075247,650.354311
12,10000,3.050147,655.706006
13,10000,3.110417,643.000598
13,10000,3.078429,649.682023
13,10000,3.089627,647.327247
13,10000,3.082237,648.879300
13,10000,3.105751,643.966616
14,10000,2.683820,745.206427
14,10000,2.691860,742.980801
14,10000,2.693130,742.630402
14,10000,2.685676,744.691355
14,10000,2.686985,744.328752
15,10000,2.581509,774.740610
15,10000,2.558298,781.769749
