#,,,
#node:,EPYC,,
#library:,openBLAS,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,41.991916,47.628215
1,10000,41.936298,47.691382
1,10000,41.948773,47.677199
1,10000,41.903100,47.729166
1,10000,41.914385,47.716315
2,10000,21.408238,93.421983
2,10000,21.586489,92.650546
2,10000,21.484046,93.092336
2,10000,21.549333,92.810296
2,10000,21.462346,93.186458
3,10000,14.386369,139.020489
3,10000,14.381238,139.070090
3,10000,14.368127,139.196988
3,10000,14.406737,138.823940
3,10000,14.474115,138.177703
4,10000,10.689523,187.099093
4,10000,10.625055,188.234325
4,10000,10.618665,188.347593
4,10000,10.659158,187.632078
4,10000,10.625045,188.234495
5,10000,8.506681,235.109312
5,10000,8.483964,235.738861
5,10000,8.505210,235.149988
5,10000,8.486274,235.674680
5,10000,8.498347,235.339894
6,10000,7.174184,278.777360
6,10000,7.199482,277.797775
6,10000,7.201830,277.707184
6,10000,7.222230,276.922764
6,10000,7.204695,277.596752
7,10000,6.157811,324.790756
7,10000,6.198676,322.649543
7,10000,6.180810,323.582167
7,10000,6.183519,323.440407
7,10000,6.189162,323.145531
8,10000,5.410043,369.682840
8,10000,5.429281,368.372899
8,10000,5.425565,368.625172
8,10000,5.449309,367.018978
8,10000,5.420425,368.974752
9,10000,4.892485,408.790181
9,10000,4.888021,409.163531
9,10000,4.885175,409.401938
9,10000,4.871467,410.553926
9,10000,4.887650,409.194565
10,10000,4.352919,459.461803
10,10000,4.353084,459.444391
10,10000,4.349257,459.848636
10,10000,4.344120,460.392390
10,10000,4.348551,459.923360
11,10000,4.089119,489.102950
11,10000,4.083960,489.720708
11,10000,4.077773,490.463849
11,10000,4.081066,490.067993
11,10000,4.089647,489.039806
12,10000,3.685500,542.667261
12,10000,3.685271,542.700896
12,10000,3.680865,543.350541
12,10000,3.680120,543.460516
12,10000,3.687606,542.357316
13,10000,3.442838,580.916128
13,10000,3.436909,581.918252
13,10000,3.438679,581.618708
13,10000,3.429393,583.193516
13,10000,3.435128,582.219948
14,10000,3.319590,602.484023
14,10000,3.317132,602.930469
14,10000,3.326359,601.258099
14,10000,3.361714,594.934658
14,10000,3.322854,601.892257
15,10000,3.144321,636.067349
15,10000,3.160410,632.829312
15,10000,3.157241,633.464542
15,10000,3.145648,635.799059
15,10000,3.128849,639.212632
16,10000,2.901651,689.262727
16,10000,2.918270,685.337578
16,10000,2.894815,690.890319
16,10000,2.896671,690.447708
16,10000,2.900570,689.519713
17,10000,3.718296,537.880722
17,10000,3.152663,634.384247
17,10000,3.800806,526.204180
17,10000,2.961121,675.419932
17,10000,3.913991,510.987413
18,10000,2.810122,711.712987
18,10000,3.721730,537.384533
18,10000,2.899998,689.655644
18,10000,2.820704,709.042800
18,10000,2.931584,682.225144
19,10000,3.303817,605.360374
19,10000,2.955636,676.673288
19,10000,4.062147,492.350496
19,10000,3.034902,658.999838
19,10000,3.638481,549.680008
20,10000,4.410259,453.488078
20,10000,4.422801,452.202104
20,10000,4.412887,453.218052
20,10000,4.381758,456.437781
20,10000,4.237065,472.024895
21,10000,4.391547,455.420392
21,10000,4.257349,469.775935
21,10000,5.136510,389.369465
21,10000,4.649162,430.185052
21,10000,4.650691,430.043634
22,10000,5.003489,399.721057
22,10000,6.548808,305.399084
22,10000,5.580676,358.379498
22,10000,5.970029,335.006763
22,10000,5.776207,346.247954
23,10000,5.782110,345.894471
23,10000,5.720759,349.603974
23,10000,6.047433,330.718861
23,10000,5.641044,354.544318
23,10000,5.109766,391.407327
24,10000,5.504821,363.317907
24,10000,5.341981,374.392952
24,10000,5.040473,396.788131
24,10000,5.263694,379.961313
24,10000,4.623903,432.535024
25,10000,5.169945,386.851310
25,10000,6.047410,330.720115
25,10000,6.143076,325.569822
25,10000,5.736474,348.646228
25,10000,5.863907,341.069554
26,10000,6.286260,318.154180
26,10000,5.565326,359.367981
26,10000,5.562840,359.528581
26,10000,4.833922,413.742690
26,10000,5.440651,367.603092
27,10000,6.196766,322.749002
27,10000,5.511176,362.898975
27,10000,6.066019,329.705518
27,10000,5.571827,358.948719
27,10000,5.185533,385.688394
28,10000,5.329141,375.295030
28,10000,5.626605,355.454156
28,10000,6.123647,326.602738
28,10000,5.884295,339.887789
28,10000,5.454178,366.691364
29,10000,4.927284,405.903140
29,10000,5.868938,340.777185
29,10000,5.422852,368.809591
29,10000,5.492366,364.141785
29,10000,5.968816,335.074810
30,10000,6.095390,328.116839
30,10000,5.832789,342.889135
30,10000,6.276112,318.668622
30,10000,5.811757,344.130026
30,10000,5.668598,352.820898
31,10000,5.537932,361.145612
31,10000,5.584095,358.160074
31,10000,5.532577,361.495209
31,10000,5.941726,336.602519
31,10000,5.330769,375.180399
32,10000,3.835441,521.452430
32,10000,3.972041,503.519426
32,10000,4.792192,417.345528
32,10000,5.385736,371.351289
32,10000,5.205237,384.228447
33,10000,3.993153,500.857297
33,10000,3.774776,529.832703
33,10000,4.764155,419.801630
33,10000,4.235268,472.225109
33,10000,4.479142,446.514086
34,10000,4.436739,450.781498
34,10000,3.641536,549.218834
34,10000,3.819721,523.598448
34,10000,3.967579,504.085758
34,10000,3.885793,514.695461
35,10000,3.356992,595.771504
35,10000,5.526334,361.903585
35,10000,3.462705,577.583169
35,10000,4.213612,474.652155
35,10000,3.801983,526.041225
36,10000,3.193531,626.266044
36,10000,4.876931,410.093945
36,10000,3.084479,648.407747
36,10000,4.707864,424.821150
36,10000,3.459995,578.035456
37,10000,4.048619,493.995620
37,10000,2.875341,695.569597
37,10000,3.154298,634.055491
37,10000,3.860573,518.057820
37,10000,2.548424,784.798848
38,10000,4.141835,482.877787
38,10000,4.006601,499.176279
38,10000,3.223767,620.392239
