#,,,
#node:,EPYC,,
#library:,openBLAS,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,20.540730,97.367521
1,10000,20.497586,97.572466
1,10000,20.784134,96.227249
1,10000,20.503138,97.546042
1,10000,20.486967,97.623041
2,10000,10.781211,185.507924
2,10000,10.425796,191.831884
2,10000,10.506170,190.364331
2,10000,10.539405,189.764029
2,10000,10.393140,192.434629
3,10000,7.030602,284.470664
3,10000,7.046487,283.829373
3,10000,6.991275,286.070835
3,10000,7.034804,284.300724
3,10000,7.002570,285.609435
4,10000,5.222199,382.980420
4,10000,5.257540,380.406035
4,10000,5.194935,384.990356
4,10000,5.234992,382.044547
4,10000,5.201107,384.533493
5,10000,4.289242,466.282805
5,10000,4.169843,479.634369
5,10000,4.172388,479.341841
5,10000,4.145588,482.440601
5,10000,4.158247,480.971856
6,10000,3.509463,569.887839
6,10000,3.531746,566.292199
6,10000,3.505178,570.584506
6,10000,3.521946,567.867905
6,10000,3.516448,568.755809
7,10000,3.030009,660.064027
7,10000,3.032612,659.497571
7,10000,3.044985,656.817641
7,10000,3.042718,657.307069
7,10000,3.027464,660.618987
8,10000,2.662442,751.190095
8,10000,2.664269,750.674953
8,10000,2.680325,746.178135
8,10000,2.670007,749.061571
8,10000,2.677381,746.998766
9,10000,2.380588,840.128404
9,10000,2.377077,841.369443
9,10000,2.379778,840.414508
9,10000,2.380810,840.050222
9,10000,2.380669,840.099953
10,10000,2.113989,946.078886
10,10000,2.123362,941.902363
10,10000,2.114894,945.673937
10,10000,2.113736,946.192014
10,10000,2.107883,948.819193
11,10000,1.988414,1005.826529
11,10000,1.992780,1003.623055
11,10000,1.991487,1004.274916
11,10000,1.997428,1001.287561
11,10000,1.981826,1009.170476
12,10000,1.809123,1105.508008
12,10000,1.791764,1116.218525
12,10000,1.808643,1105.801605
12,10000,1.791446,1116.416414
12,10000,1.803961,1108.671528
13,10000,1.672705,1195.668227
13,10000,1.670151,1197.496653
13,10000,1.671063,1196.842956
13,10000,1.682533,1188.683755
13,10000,1.673833,1194.862452
14,10000,1.600724,1249.434803
14,10000,1.600165,1249.870975
14,10000,1.597523,1251.937891
14,10000,1.592287,1256.054739
14,10000,1.597995,1251.568070
15,10000,1.544890,1294.590614
15,10000,1.543073,1296.114723
15,10000,1.526216,1310.430867
15,10000,1.541639,1297.320465
15,10000,1.539361,1299.240275
16,10000,1.383981,1445.106194
16,10000,1.374063,1455.536851
16,10000,1.383889,1445.202182
16,10000,1.384526,1444.537398
16,10000,1.374384,1455.197700
17,10000,1.332066,1501.427356
17,10000,1.356435,1474.453005
17,10000,1.330926,1502.713383
17,10000,1.346862,1484.933517
17,10000,1.329889,1503.885469
18,10000,1.283836,1557.831396
18,10000,1.265638,1580.231055
18,10000,1.278700,1564.088277
18,10000,1.279872,1562.656488
18,10000,1.284331,1557.231515
19,10000,1.264852,1581.213186
19,10000,1.263838,1582.481418
19,10000,1.265880,1579.928351
19,10000,1.260861,1586.217518
19,10000,1.265276,1580.683230
20,10000,1.189877,1680.845495
20,10000,1.192082,1677.737492
20,10000,1.189481,1681.405253
20,10000,1.194986,1673.660389
20,10000,1.192617,1676.984286
21,10000,1.229789,1626.295588
21,10000,1.224976,1632.684955
21,10000,1.222710,1635.711069
21,10000,1.228130,1628.492493
21,10000,1.239258,1613.868441
22,10000,1.244719,1606.788202
22,10000,1.242739,1609.348025
22,10000,1.238469,1614.897527
22,10000,1.232309,1622.969385
22,10000,1.241505,1610.947432
23,10000,1.222647,1635.794715
23,10000,1.232366,1622.894030
23,10000,1.230073,1625.920100
23,10000,1.221073,1637.903990
23,10000,1.234192,1620.492956
24,10000,1.228755,1627.664432
24,10000,1.227519,1629.302648
24,10000,1.228889,1627.486949
24,10000,1.226878,1630.153517
24,10000,1.231487,1624.052796
25,10000,1.227108,1629.848903
25,10000,1.226481,1630.681465
25,10000,1.226029,1631.282538
25,10000,1.225510,1631.973201
25,10000,1.229320,1626.916032
26,10000,1.228535,1627.955114
26,10000,1.233388,1621.549153
26,10000,1.234493,1620.098906
26,10000,1.233812,1620.992733
26,10000,1.233156,1621.855047
27,10000,1.231688,1623.788049
27,10000,1.235487,1618.794968
27,10000,1.232498,1622.720057
27,10000,1.242671,1609.436048
27,10000,1.229688,1626.428700
28,10000,1.237498,1616.164739
28,10000,1.237426,1616.257982
28,10000,1.242310,1609.904327
28,10000,1.231782,1623.663375
28,10000,1.213858,1647.639433
29,10000,1.273741,1570.178457
29,10000,1.248580,1601.819562
29,10000,1.260578,1586.573258
29,10000,1.265101,1580.901616
29,10000,1.267219,1578.259452
30,10000,1.282684,1559.230112
30,10000,1.290282,1550.049171
30,10000,1.288562,1552.118057
30,10000,1.289472,1551.021889
30,10000,1.283652,1558.054357
31,10000,1.273805,1570.098611
31,10000,1.248473,1601.956962
31,10000,1.255036,1593.580327
31,10000,1.264321,1581.876250
31,10000,1.275402,1568.132933
32,10000,0.904021,2212.338808
32,10000,0.905152,2209.573863
32,10000,0.949228,2106.975643
32,10000,0.947919,2109.883835
32,10000,0.956682,2090.558746
33,10000,0.975727,2049.752637
33,10000,0.970113,2061.615222
33,10000,1.000008,1999.984708
33,10000,0.976448,2048.240943
33,10000,0.936712,2135.128962
34,10000,0.967056,2068.133004
34,10000,0.981455,2037.790214
34,10000,0.973027,2055.442406
34,10000,0.968735,2064.549036
34,10000,0.963870,2074.968683
35,10000,0.986102,2028.187223
35,10000,0.935156,2138.681351
35,10000,0.938165,2131.821970
35,10000,0.988714,2022.829150
35,10000,0.978169,2044.635758
36,10000,0.987195,2025.941619
36,10000,0.974314,2052.726187
36,10000,0.976543,2048.040746
36,10000,0.936536,2135.528105
36,10000,0.974303,2052.748560
37,10000,0.995310,2009.423874
37,10000,0.988224,2023.832352
37,10000,0.977006,2047.069512
37,10000,0.971137,2059.440751
37,10000,0.979430,2042.004650
38,10000,1.053819,1897.858239
38,10000,1.045512,1912.938361
38,10000,1.007255,1985.594086
38,10000,1.037015,1928.613172
38,10000,1.008163,1983.806824
39,10000,0.993823,2012.431631
39,10000,1.000284,1999.432373
39,10000,0.988188,2023.906677
39,10000,0.996370,2007.286170
39,10000,0.999243,2001.516000
40,10000,1.025457,1950.350754
40,10000,1.008102,1983.925511
40,10000,1.029555,1942.586306
40,10000,1.049788,1905.146055
40,10000,1.013615,1973.134881
41,10000,1.042187,1919.042214
41,10000,1.013382,1973.589769
41,10000,1.048054,1908.297779
41,10000,1.039646,1923.730857
41,10000,1.050067,1904.641036
42,10000,1.080369,1851.219664
42,10000,1.078007,1855.276176
42,10000,1.069799,1869.510872
42,10000,1.056969,1892.202896
42,10000,1.073919,1862.337561
43,10000,1.050641,1903.600400
43,10000,1.051440,1902.153733
43,10000,1.053616,1898.224587
43,10000,1.064151,1879.431955
43,10000,1.052227,1900.730154
44,10000,1.049226,1906.167567
44,10000,1.050708,1903.478168
44,10000,1.038620,1925.632382
44,10000,1.010805,1978.620333
44,10000,1.050266,1904.279291
45,10000,0.992376,2015.365044
45,10000,1.089243,1836.138073
45,10000,1.083500,1845.869203
45,10000,0.997517,2004.978745
45,10000,1.078454,1854.506652
46,10000,1.010866,1978.500805
46,10000,1.070597,1868.115902
46,10000,1.010182,1979.840635
46,10000,1.024666,1951.854823
46,10000,1.074446,1861.423821
47,10000,1.070196,1868.816531
47,10000,1.077014,1856.986614
47,10000,1.012154,1975.984823
47,10000,1.010936,1978.364387
47,10000,1.054323,1896.951044
48,10000,1.002354,1995.303293
48,10000,1.012713,1974.893025
48,10000,0.998894,2002.213702
48,10000,1.012137,1976.017211
48,10000,1.007957,1984.211242
49,10000,1.087920,1838.369968
49,10000,1.063966,1879.758775
49,10000,1.093019,1829.794921
49,10000,1.080567,1850.880364
