#,,,
#node:,EPYC,,
#library:,BLIS,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,41.283366,48.445662
1,10000,41.314174,48.409536
1,10000,41.238382,48.498508
1,10000,41.617609,48.056581
1,10000,41.162175,48.588297
2,10000,22.568517,88.619027
2,10000,23.043243,86.793338
2,10000,23.223690,86.118959
2,10000,22.751141,87.907681
2,10000,22.705308,88.085131
3,10000,15.328449,130.476345
3,10000,15.374237,130.087757
3,10000,15.719344,127.231776
3,10000,15.459995,129.366151
3,10000,15.367801,130.142239
4,10000,11.624803,172.045925
4,10000,11.181679,178.864010
4,10000,11.262453,177.581207
4,10000,11.216002,178.316654
4,10000,11.471616,174.343348
5,10000,8.864759,225.612460
5,10000,8.880910,225.202140
5,10000,8.658783,230.979332
5,10000,8.856231,225.829711
5,10000,9.145117,218.695939
6,10000,8.056118,248.258538
6,10000,7.688828,260.117653
6,10000,8.124466,246.170039
6,10000,7.697821,259.813795
6,10000,7.739010,258.431004
7,10000,6.282236,318.357967
7,10000,6.292774,317.824870
7,10000,6.287740,318.079291
7,10000,6.283914,318.272970
7,10000,6.271843,318.885539
8,10000,5.541412,360.918815
8,10000,5.531970,361.534849
8,10000,5.534990,361.337629
8,10000,5.520154,362.308724
8,10000,5.540140,361.001722
9,10000,5.010808,399.137243
9,10000,5.008985,399.282523
9,10000,5.002682,399.785594
9,10000,5.003772,399.698480
9,10000,4.998377,400.129887
10,10000,4.626201,432.320161
10,10000,4.599789,434.802539
10,10000,4.608126,434.015869
10,10000,4.597038,435.062773
10,10000,4.612519,433.602555
11,10000,4.137470,483.387201
11,10000,4.135634,483.601744
11,10000,4.209711,475.091991
11,10000,4.144035,482.621437
11,10000,4.222075,473.700718
12,10000,3.829156,522.308287
12,10000,3.833389,521.731525
12,10000,3.828111,522.450893
12,10000,3.835702,521.416973
12,10000,3.825664,522.785097
13,10000,3.828478,522.400810
13,10000,3.824528,522.940291
13,10000,3.831715,521.959554
13,10000,3.826920,522.613533
13,10000,3.828257,522.430933
14,10000,3.323971,601.690029
14,10000,3.316250,603.090755
14,10000,3.320079,602.395311
14,10000,3.320943,602.238500
14,10000,3.321150,602.201093
15,10000,3.115160,642.021566
15,10000,3.133972,638.167814
15,10000,3.114484,642.160894
15,10000,3.109235,643.245083
15,10000,3.122968,640.416339
16,10000,2.877257,695.106410
16,10000,2.889329,692.202197
16,10000,2.909365,687.435118
16,10000,2.889229,692.226157
16,10000,2.888298,692.449331
17,10000,2.884277,693.414730
17,10000,2.884402,693.384518
17,10000,2.892738,691.386496
17,10000,2.879361,694.598527
17,10000,2.885356,693.155302
18,10000,2.689959,743.505878
18,10000,2.663854,750.791968
18,10000,2.662744,751.104996
18,10000,2.665437,750.346139
18,10000,2.683703,745.238956
19,10000,2.673837,747.988725
19,10000,2.674425,747.824290
19,10000,2.672718,748.301915
19,10000,2.685430,744.759636
19,10000,2.680929,746.009945
20,10000,2.512903,795.892385
20,10000,2.533185,789.519827
20,10000,2.503611,798.846221
20,10000,2.537139,788.289542
20,10000,2.554514,782.927766
21,10000,2.428288,823.625488
21,10000,2.425855,824.451718
21,10000,2.419648,826.566642
21,10000,2.389035,837.158050
21,10000,2.409053,830.201661
22,10000,2.331240,857.912523
22,10000,2.340411,854.550601
22,10000,2.340054,854.681229
22,10000,2.328295,858.997734
22,10000,2.331675,857.752336
23,10000,2.357460,848.370769
23,10000,2.329305,858.625179
23,10000,2.329025,858.728563
23,10000,2.335384,856.390307
23,10000,2.336707,855.905474
24,10000,2.353244,849.890689
24,10000,2.330214,858.290201
24,10000,2.358960,847.831390
24,10000,2.342832,853.667757
24,10000,2.317408,863.033239
25,10000,2.360740,847.192082
25,10000,2.334341,856.773005
25,10000,2.379173,840.628166
25,10000,2.370988,843.530288
25,10000,2.375541,841.913311
26,10000,2.248991,889.287549
26,10000,2.267691,881.954212
26,10000,2.260657,884.698663
26,10000,2.238089,893.619371
26,10000,2.245433,890.696996
27,10000,2.640310,757.486910
27,10000,2.643309,756.627456
27,10000,2.618609,763.764342
