#,,,
#node:,EPYC,,
#library:,openBLAS,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,20.975923,95.347414
1,10000,20.706512,96.587970
1,10000,21.458815,93.201793
1,10000,20.989055,95.287757
1,10000,20.382254,98.124577
2,10000,11.348121,176.240635
2,10000,11.233169,178.044146
2,10000,11.255085,177.697451
2,10000,11.037332,181.203204
2,10000,10.975625,182.221973
3,10000,7.731852,258.670223
3,10000,7.558854,264.590360
3,10000,7.458528,268.149435
3,10000,7.498862,266.707143
3,10000,7.537593,265.336700
4,10000,5.610020,356.504945
4,10000,5.597911,357.276121
4,10000,5.611681,356.399430
4,10000,5.611420,356.416007
4,10000,5.641276,354.529720
5,10000,4.472500,447.177181
5,10000,4.490242,445.410304
5,10000,4.420612,452.426066
5,10000,4.399801,454.565988
5,10000,4.441498,450.298571
6,10000,3.728449,536.416096
6,10000,3.729830,536.217433
6,10000,3.746552,533.824197
6,10000,3.782799,528.709071
6,10000,3.774312,529.897866
7,10000,3.254181,614.594011
7,10000,3.247371,615.882893
7,10000,3.196397,625.704478
7,10000,3.261947,613.130821
7,10000,3.256842,614.091766
8,10000,2.838739,704.538206
8,10000,2.808235,712.191202
8,10000,2.787625,717.456595
8,10000,2.837925,704.740186
8,10000,2.824659,708.049980
9,10000,2.613142,765.362202
9,10000,2.553924,783.108710
9,10000,2.557957,781.874063
9,10000,2.561090,780.917504
9,10000,2.583798,774.054319
10,10000,2.234538,895.039434
10,10000,2.328992,858.740726
10,10000,2.318737,862.538420
10,10000,2.282497,876.233273
10,10000,2.282428,876.259903
11,10000,2.172461,920.614906
11,10000,2.143220,933.175505
11,10000,2.131832,938.160298
11,10000,2.129494,939.190287
11,10000,2.174001,919.962722
12,10000,1.952699,1024.223415
12,10000,1.952492,1024.331733
12,10000,1.943563,1029.037764
12,10000,1.963485,1018.596888
12,10000,1.961349,1019.706231
13,10000,1.805050,1108.002580
13,10000,1.821037,1098.275425
13,10000,1.872292,1068.209193
13,10000,1.823408,1096.847079
13,10000,1.843033,1085.167682
14,10000,1.783812,1121.194490
14,10000,1.750845,1142.305403
14,10000,1.733275,1153.885285
14,10000,1.749216,1143.369437
14,10000,1.722006,1161.436109
15,10000,1.701116,1175.698936
15,10000,1.690696,1182.944433
15,10000,1.712153,1168.119728
15,10000,1.705076,1172.968258
15,10000,1.707057,1171.607155
16,10000,1.536796,1301.408556
16,10000,1.536616,1301.561333
16,10000,1.570062,1273.834842
16,10000,1.570182,1273.737735
16,10000,1.575304,1269.596160
17,10000,1.562126,1280.306261
17,10000,1.509441,1324.993554
17,10000,1.553284,1287.594493
17,10000,1.567445,1275.961842
17,10000,1.484898,1346.893960
18,10000,1.559841,1282.181834
18,10000,1.552038,1288.627938
18,10000,1.518745,1316.876730
18,10000,1.505635,1328.342836
18,10000,1.514608,1320.473361
19,10000,1.541639,1297.320407
19,10000,1.547609,1292.315783
19,10000,1.565868,1277.246910
19,10000,1.571675,1272.528052
19,10000,1.570391,1273.568203
20,10000,1.564032,1278.746254
20,10000,1.586033,1261.007517
20,10000,1.563412,1279.253485
20,10000,1.560786,1281.405283
20,10000,1.560637,1281.527744
21,10000,1.634829,1223.369297
21,10000,1.568861,1274.810474
21,10000,1.618694,1235.564053
21,10000,1.572451,1271.899988
21,10000,1.579950,1265.862960
22,10000,1.643216,1217.125241
22,10000,1.642079,1217.968502
22,10000,1.638490,1220.635758
22,10000,1.642367,1217.754336
22,10000,1.634851,1223.352909
23,10000,1.659858,1204.922651
23,10000,1.660703,1204.309567
23,10000,1.618868,1235.431130
23,10000,1.643427,1216.969253
23,10000,1.657748,1206.456042
24,10000,1.655415,1208.156541
24,10000,1.649660,1212.370770
24,10000,1.657377,1206.726021
24,10000,1.650790,1211.540880
24,10000,1.658047,1206.238484
25,10000,1.705324,1172.797814
25,10000,1.710164,1169.478563
25,10000,1.711786,1168.370491
25,10000,1.688906,1184.198543
25,10000,1.723389,1160.503956
26,10000,1.752456,1141.255530
26,10000,1.738702,1150.283418
26,10000,1.751368,1141.964215
26,10000,1.740073,1149.377273
26,10000,1.763514,1134.099602
27,10000,1.771017,1129.294842
27,10000,1.772749,1128.191084
27,10000,1.766540,1132.156567
27,10000,1.817218,1100.583490
27,10000,1.805814,1107.533500
28,10000,1.808924,1105.629462
28,10000,1.821172,1098.194138
28,10000,1.809121,1105.509220
28,10000,1.814665,1102.131814
28,10000,1.821611,1097.929531
29,10000,1.851845,1080.004202
29,10000,1.915888,1043.902571
29,10000,1.872062,1068.340635
29,10000,1.916681,1043.470423
29,10000,1.848589,1081.906085
30,10000,1.860089,1075.217272
30,10000,1.891942,1057.114846
30,10000,1.852196,1079.799578
30,10000,1.858602,1076.077602
30,10000,1.860918,1074.738343
31,10000,1.916793,1043.409757
31,10000,1.903083,1050.926261
31,10000,1.868514,1070.369079
31,10000,1.889328,1058.577213
31,10000,1.931932,1035.233346
32,10000,1.424856,1403.650732
32,10000,1.449320,1379.957598
32,10000,1.457879,1371.856155
32,10000,1.534746,1303.147007
32,10000,1.445683,1383.428843
33,10000,1.456359,1373.287720
33,10000,1.467992,1362.404903
33,10000,1.447436,1381.753939
33,10000,1.458376,1371.388592
33,10000,1.450799,1378.550650
34,10000,1.452835,1376.619248
34,10000,1.461185,1368.752418
34,10000,1.435824,1392.927916
34,10000,1.426684,1401.851680
34,10000,1.457788,1371.941857
35,10000,1.503154,1330.535544
35,10000,1.489823,1342.441306
35,10000,1.509838,1324.645262
35,10000,1.530644,1306.639160
35,10000,1.516064,1319.205919
36,10000,1.544720,1294.732963
36,10000,1.523637,1312.648986
36,10000,1.540129,1298.592249
36,10000,1.526329,1310.333174
36,10000,1.532307,1305.221258
37,10000,1.505748,1328.243829
37,10000,1.495059,1337.739582
37,10000,1.498431,1334.729782
37,10000,1.509601,1324.853806
37,10000,1.501424,1332.068870
38,10000,1.517782,1317.712203
38,10000,1.521259,1314.700803
38,10000,1.518607,1316.996577
38,10000,1.557233,1284.329275
38,10000,1.589868,1257.966172
39,10000,1.581193,1264.867531
39,10000,1.608909,1243.078632
39,10000,1.595063,1253.869294
39,10000,1.604542,1246.461627
39,10000,1.542418,1296.665427
40,10000,1.508273,1326.020298
40,10000,1.525387,1311.143078
40,10000,1.622558,1232.621894
40,10000,1.517225,1318.196266
40,10000,1.553095,1287.751157
41,10000,1.501147,1332.314601
41,10000,1.607659,1244.044677
41,10000,1.568936,1274.748999
41,10000,1.496169,1336.747113
41,10000,1.503055,1330.623591
42,10000,1.624445,1231.190099
42,10000,1.628399,1228.200319
42,10000,1.606513,1244.932023
42,10000,1.622310,1232.809939
42,10000,1.631100,1226.166362
43,10000,1.601599,1248.752218
43,10000,1.551247,1289.285589
43,10000,1.625776,1230.182035
43,10000,1.585394,1261.516335
43,10000,1.557844,1283.825824
44,10000,1.540292,1298.455294
44,10000,1.570219,1273.707492
44,10000,1.575978,1269.053376
44,10000,1.543798,1295.506049
44,10000,1.523424,1312.832371
45,10000,1.666616,1200.036537
45,10000,1.516375,1318.934901
45,10000,1.653523,1209.538479
45,10000,1.513271,1321.640070
45,10000,1.649780,1212.282641
46,10000,1.498026,1335.090733
46,10000,1.488951,1343.227379
46,10000,1.673566,1195.052837
46,10000,1.657707,1206.486150
46,10000,1.522767,1313.398486
47,10000,1.518923,1316.722141
47,10000,1.514011,1320.994451
47,10000,1.628859,1227.853089
47,10000,1.500399,1332.979131
47,10000,1.518445,1317.136548
48,10000,1.551889,1288.751834
48,10000,1.550657,1289.775863
48,10000,1.724366,1159.846865
48,10000,1.729475,1156.420020
48,10000,1.722203,1161.303534
49,10000,1.542179,1296.866367
49,10000,1.518872,1316.766565
49,10000,1.567359,1276.031735
49,10000,1.544936,1294.552335
49,10000,1.595806,1253.284972
50,10000,1.681916,1189.119849
50,10000,1.582866,1263.530560
50,10000,1.645507,1215.430511
50,10000,1.589765,1258.047405
50,10000,1.624671,1231.018579
51,10000,1.616898,1236.936783
51,10000,1.604818,1246.246963
51,10000,1.619276,1235.119882
51,10000,1.632679,1224.980762
51,10000,1.618919,1235.392176
52,10000,1.686150,1186.134005
52,10000,1.704002,1173.707312
52,10000,1.675231,1193.864936
52,10000,1.677716,1192.096953
52,10000,1.676048,1193.283336
53,10000,1.688628,1184.393779
53,10000,1.669400,1198.035428
53,10000,1.734022,1153.388071
53,10000,1.714360,1166.616371
53,10000,1.654891,1208.539115
54,10000,1.633703,1224.212973
54,10000,1.661840,1203.485441
54,10000,1.663801,1202.067163
54,10000,1.656433,1207.414027
54,10000,1.743195,1147.318841
55,10000,1.713520,1167.187714
55,10000,1.604457,1246.527706
55,10000,1.676478,1192.977484
55,10000,1.720071,1162.742482
55,10000,1.662951,1202.681239
56,10000,1.657844,1206.385899
56,10000,1.658067,1206.224103
56,10000,1.695456,1179.623616
56,10000,1.651280,1211.181574
56,10000,1.662438,1203.052258
57,10000,1.688796,1184.275612
57,10000,1.643239,1217.108313
57,10000,1.673019,1195.443524
57,10000,1.692957,1181.365079
57,10000,1.659438,1205.227387
58,10000,1.570073,1273.826052
58,10000,1.584543,1262.193574
58,10000,1.632804,1224.886556
58,10000,1.684618,1187.212858
58,10000,1.715942,1165.540657
59,10000,1.628215,1228.338896
59,10000,1.627170,1229.127945
59,10000,1.722613,1161.026875
59,10000,1.635787,1222.653403
59,10000,1.688745,1184.311513
60,10000,1.648642,1213.119349
60,10000,1.698317,1177.636388
60,10000,1.774730,1126.931939
60,10000,1.747280,1144.636145
60,10000,1.652245,1210.474321
61,10000,1.605272,1245.895005
61,10000,1.667060,1199.717073
61,10000,1.718231,1163.988168
61,10000,1.648041,1213.561941
61,10000,1.724608,1159.683754
62,10000,1.787557,1118.845545
62,10000,1.735227,1152.587145
62,10000,1.708923,1170.327999
62,10000,1.632782,1224.903355
62,10000,1.784684,1120.646645
63,10000,1.688231,1184.671719
63,10000,1.771000,1129.305397
63,10000,1.648810,1212.996272
63,10000,1.738862,1150.177427
63,10000,1.708199,1170.823861
64,10000,1.715650,1165.739161
64,10000,1.593418,1255.163213
64,10000,1.581613,1264.531729
64,10000,1.720634,1162.361942
64,10000,1.584478,1262.245340
65,10000,1.763440,1134.146937
65,10000,1.760928,1135.764846
65,10000,1.658569,1205.858988
65,10000,1.748403,1143.900904
65,10000,1.638801,1220.404194
66,10000,1.676893,1192.681683
66,10000,1.652225,1210.488707
66,10000,1.688086,1184.773704
66,10000,1.756831,1138.413260
66,10000,1.648384,1213.309391
67,10000,1.757716,1137.840190
67,10000,1.681298,1189.557175
67,10000,1.614816,1238.531111
67,10000,1.735713,1152.264150
67,10000,1.631711,1225.707339
68,10000,1.853503,1079.037932
68,10000,1.861103,1074.631436
68,10000,1.887567,1059.565230
68,10000,1.850579,1080.743058
68,10000,1.704289,1173.510145
69,10000,1.717059,1164.782289
69,10000,1.796339,1113.375660
69,10000,1.858915,1075.896610
69,10000,1.852077,1079.868631
69,10000,1.865282,1072.224001
70,10000,1.857744,1076.574745
70,10000,1.708394,1170.689984
70,10000,1.886314,1060.268920
70,10000,1.698286,1177.657768
70,10000,1.861934,1074.152072
71,10000,1.883635,1061.776832
71,10000,1.879921,1063.874768
71,10000,1.653803,1209.333802
71,10000,1.874723,1066.824073
71,10000,1.867640,1070.870370
72,10000,1.679631,1190.737985
72,10000,1.715583,1165.784162
72,10000,1.677274,1192.411077
72,10000,1.686448,1185.924262
72,10000,1.686267,1186.051551
73,10000,1.693894,1180.711274
73,10000,1.747363,1144.581596
73,10000,1.695038,1179.914652
73,10000,1.682087,1188.999318
73,10000,1.895396,1055.188562
74,10000,1.877739,1065.110621
74,10000,1.692395,1181.757169
74,10000,1.691740,1182.214966
74,10000,1.794313,1114.632488
74,10000,1.692061,1181.990246
75,10000,1.693927,1180.688227
75,10000,1.847704,1082.424278
75,10000,1.890300,1058.033380
75,10000,1.749161,1143.405490
75,10000,1.862006,1074.110332
76,10000,1.868482,1070.387643
76,10000,1.669561,1197.919464
76,10000,1.717889,1164.219882
76,10000,1.641366,1218.497037
76,10000,1.638639,1220.524733
77,10000,1.904476,1050.157495
77,10000,1.902438,1051.282788
77,10000,1.885124,1060.938436
77,10000,1.876045,1066.072465
77,10000,1.680922,1189.822947
78,10000,1.732685,1154.277946
78,10000,1.714828,1166.297518
78,10000,1.700269,1176.284283
78,10000,1.695160,1179.829452
78,10000,1.853802,1078.863900
79,10000,1.865663,1072.004735
79,10000,1.851483,1080.214907
79,10000,1.840588,1086.609021
79,10000,1.850844,1080.588071
79,10000,1.684401,1187.365574
80,10000,1.694490,1180.295835
80,10000,1.861506,1074.399085
80,10000,1.892200,1056.970653
80,10000,1.912325,1045.847223
80,10000,1.892983,1056.533273
81,10000,1.638154,1220.886242
81,10000,1.747710,1144.354867
81,10000,1.696284,1179.048087
81,10000,1.785151,1120.353449
81,10000,1.873315,1067.626116
82,10000,1.844521,1084.292116
82,10000,1.886921,1059.927689
82,10000,1.680343,1190.233034
82,10000,1.688210,1184.686811
82,10000,1.686374,1185.976875
83,10000,1.876884,1065.595700
83,10000,1.713138,1167.448570
83,10000,1.705485,1172.686798
83,10000,1.840628,1086.585579
83,10000,1.714085,1166.803461
84,10000,1.826609,1094.925368
84,10000,1.715262,1166.002705
84,10000,1.735232,1152.583918
84,10000,1.731497,1155.069873
84,10000,1.829621,1093.122267
85,10000,1.845433,1083.756327
85,10000,1.833242,1090.963731
85,10000,1.796715,1113.142384
85,10000,1.740846,1148.866531
85,10000,1.838831,1087.647535
86,10000,1.676887,1192.686388
86,10000,1.723895,1160.163445
86,10000,1.709617,1169.852441
86,10000,1.748803,1143.639634
86,10000,1.689167,1184.015621
87,10000,1.807905,1106.252541
87,10000,1.823902,1096.550413
87,10000,1.843115,1085.119450
87,10000,1.807330,1106.604909
87,10000,1.851540,1080.181763
88,10000,1.867854,1070.747725
88,10000,1.814080,1102.486930
88,10000,1.783333,1121.495456
88,10000,1.800473,1110.818926
88,10000,1.808966,1105.604165
89,10000,1.831356,1092.086752
89,10000,1.818643,1099.720869
89,10000,1.854793,1078.287368
89,10000,1.883734,1061.721207
89,10000,1.782813,1121.822516
90,10000,1.856872,1077.080220
90,10000,1.789878,1117.394682
90,10000,1.803220,1109.126833
90,10000,1.808229,1106.054837
90,10000,1.818550,1099.777074
91,10000,1.839346,1087.342833
91,10000,1.726929,1158.124969
91,10000,1.825809,1095.404745
91,10000,1.733158,1153.962635
91,10000,1.725994,1158.752895
92,10000,1.724385,1159.833667
92,10000,1.719832,1162.904169
92,10000,1.733829,1153.516365
92,10000,1.745080,1146.078988
92,10000,1.812228,1103.614058
93,10000,1.743161,1147.340762
93,10000,1.717694,1164.351827
93,10000,1.821702,1097.874266
93,10000,1.723555,1160.392102
93,10000,1.724836,1159.530589
94,10000,1.823271,1096.929382
94,10000,1.841647,1085.984420
94,10000,1.817280,1100.545980
94,10000,1.773079,1127.981634
94,10000,1.832650,1091.315575
95,10000,1.799339,1111.519574
95,10000,1.760306,1136.165943
95,10000,1.841421,1086.117627
95,10000,1.775525,1126.427577
95,10000,1.863695,1073.136693
96,10000,1.803586,1108.902193
96,10000,1.797153,1112.871343
96,10000,1.837715,1088.308076
96,10000,1.866610,1071.460828
96,10000,1.878775,1064.523493
97,10000,1.783968,1121.096385
97,10000,1.776368,1125.892594
97,10000,1.757693,1137.855211
97,10000,1.774382,1127.153173
97,10000,1.781894,1122.401489
98,10000,1.753272,1140.724212
98,10000,1.769484,1130.273108
98,10000,1.821283,1098.127078
98,10000,1.759553,1136.652539
98,10000,1.772649,1128.255063
99,10000,1.919724,1041.816595
99,10000,1.834638,1090.133236
99,10000,1.754100,1140.185565
99,10000,1.867475,1070.964548
99,10000,1.776950,1125.524270
100,10000,1.677253,1192.426250
100,10000,1.673013,1195.448190
100,10000,1.671024,1196.870643
100,10000,1.673539,1195.072166
100,10000,1.725191,1159.292094
101,10000,1.821653,1097.903641
101,10000,1.834803,1090.035245
101,10000,1.758372,1137.416014
101,10000,1.788604,1118.190202
101,10000,1.776868,1125.576120
102,10000,1.771107,1129.237502
102,10000,1.755888,1139.024831
102,10000,1.828691,1093.678687
102,10000,1.775191,1126.639376
102,10000,1.781122,1122.887820
103,10000,1.761082,1135.665757
103,10000,1.756510,1138.621746
103,10000,1.826561,1094.953877
103,10000,1.755720,1139.134030
103,10000,1.771399,1129.050840
104,10000,1.941923,1029.906976
104,10000,1.813632,1102.759730
104,10000,1.789587,1117.576018
104,10000,1.864988,1072.393016
104,10000,1.818743,1099.660592
105,10000,1.833725,1090.676321
105,10000,1.757106,1138.234984
105,10000,1.814485,1102.240989
105,10000,1.763516,1134.097918
105,10000,1.812514,1103.439910
106,10000,1.854093,1078.694685
106,10000,1.764557,1133.429022
106,10000,1.758793,1137.143303
106,10000,1.795412,1113.950753
106,10000,1.777393,1125.243296
107,10000,1.763923,1133.836306
107,10000,1.807202,1106.683277
107,10000,1.799523,1111.405778
107,10000,1.789853,1117.410244
107,10000,1.768408,1130.960475
108,10000,1.737299,1151.212597
108,10000,1.777318,1125.290996
108,10000,1.779342,1124.011025
108,10000,1.788912,1117.997822
108,10000,1.814671,1102.127897
109,10000,1.721153,1162.011607
109,10000,1.711527,1168.547445
109,10000,1.711604,1168.494908
109,10000,1.718560,1163.765029
109,10000,1.751351,1141.975699
110,10000,1.782876,1121.783293
110,10000,1.798111,1112.278139
110,10000,1.802918,1109.312795
110,10000,1.816277,1101.153802
110,10000,1.820150,1098.810707
111,10000,1.744112,1146.715051
111,10000,1.756285,1138.767433
111,10000,1.742418,1147.830210
111,10000,1.770669,1129.516743
111,10000,1.755467,1139.298240
112,10000,1.796712,1113.144518
112,10000,1.765157,1133.043527
112,10000,1.791794,1116.199662
112,10000,1.739421,1149.808062
112,10000,1.771880,1128.744682
113,10000,1.773119,1127.956149
113,10000,1.759062,1136.969464
113,10000,1.798477,1112.052087
