#,,,
#node:,EPYC,,
#library:,BLIS,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.027174,588.790662
64,2000,0.029610,540.351399
64,2000,0.029371,544.762227
64,2000,0.029267,546.691784
64,2000,0.027333,585.368666
64,2250,0.034702,656.474636
64,2250,0.036038,632.144464
64,2250,0.034005,669.934087
64,2250,0.034182,666.466796
64,2250,0.034520,659.941504
64,2500,0.041146,759.492791
64,2500,0.042711,731.663569
64,2500,0.045855,681.490090
64,2500,0.044594,700.770549
64,2500,0.043279,722.063885
64,2750,0.050237,827.953564
64,2750,0.051504,807.582169
64,2750,0.046585,892.862414
64,2750,0.050604,821.944692
64,2750,0.051889,801.590309
64,3000,0.060394,894.131132
64,3000,0.062986,857.339310
64,3000,0.059645,905.357984
64,3000,0.064014,843.570267
64,3000,0.063982,843.982504
64,3250,0.072039,953.040164
64,3250,0.072083,952.462862
64,3250,0.074647,919.745024
64,3250,0.069588,986.615937
64,3250,0.073866,929.465991
64,3500,0.084805,1011.143211
64,3500,0.087017,985.444632
64,3500,0.091651,935.614981
64,3500,0.092922,922.820909
64,3500,0.097504,879.450405
64,3750,0.105918,995.755052
64,3750,0.107307,982.866167
64,3750,0.111593,945.123636
64,3750,0.109114,966.593564
64,3750,0.110698,952.756898
64,4000,0.139653,916.557441
64,4000,0.146666,872.729133
64,4000,0.139397,918.239088
64,4000,0.139424,918.065363
64,4000,0.139849,915.274014
64,4250,0.173448,885.170289
64,4250,0.171718,894.087636
64,4250,0.191853,800.255410
64,4250,0.199390,770.005576
64,4250,0.170150,902.326309
64,4500,0.225266,809.042899
64,4500,0.220602,826.147048
64,4500,0.228528,797.496572
64,4500,0.243526,748.380277
64,4500,0.224415,812.111331
64,4750,0.268713,797.668338
64,4750,0.273133,784.760232
64,4750,0.269318,795.874900
64,4750,0.281819,760.573665
64,4750,0.266435,804.486633
64,5000,0.331142,754.963463
64,5000,0.322175,775.975549
64,5000,0.335028,746.205249
64,5000,0.327118,764.250188
64,5000,0.333670,749.243417
64,5250,0.394967,732.734675
64,5250,0.378947,763.711539
64,5250,0.384069,753.527040
64,5250,0.384779,752.135953
64,5250,0.383785,754.084296
64,5500,0.451368,737.203568
64,5500,0.449028,741.044511
64,5500,0.464052,717.052601
64,5500,0.461695,720.713295
64,5500,0.454524,732.084318
64,5750,0.519685,731.633724
64,5750,0.511403,743.481951
64,5750,0.519689,731.627168
64,5750,0.522365,727.879793
64,5750,0.509990,745.541541
64,6000,0.583926,739.819954
64,6000,0.587902,734.816006
64,6000,0.589777,732.480614
64,6000,0.597765,722.692126
64,6000,0.587546,735.262185
64,6250,0.655942,744.397337
64,6250,0.647831,753.717460
64,6250,0.654052,746.548382
64,6250,0.673893,724.568303
64,6250,0.675867,722.451341
64,6500,0.718197,764.762069
64,6500,0.726136,756.401218
64,6500,0.718766,764.157074
64,6500,0.731791,750.555631
64,6500,0.722035,760.697667
64,6750,0.818759,751.250924
64,6750,0.836008,735.751291
64,6750,0.807716,761.522490
64,6750,0.793248,775.411965
64,6750,0.801278,767.640669
64,7000,0.905048,757.970933
64,7000,0.884693,775.410070
64,7000,0.874449,784.494004
64,7000,0.907959,755.540794
64,7000,0.909916,753.915874
64,7250,0.998004,763.680866
64,7250,0.979982,777.724400
64,7250,0.955268,797.845071
64,7250,0.958838,794.875239
64,7250,1.007294,756.637382
64,7500,1.066588,791.073770
64,7500,1.058853,796.853029
64,7500,1.083162,778.969538
64,7500,1.057718,797.707933
64,7500,1.073093,786.278861
64,7750,1.161767,801.338802
64,7750,1.174710,792.509347
64,7750,1.173347,793.430196
64,7750,1.143543,814.108790
64,7750,1.145739,812.548831
64,8000,1.289523,794.092310
64,8000,1.344837,761.430555
64,8000,1.309529,781.960507
64,8000,1.282156,798.654458
64,8000,1.278397,801.003317
64,8250,1.378881,814.451118
64,8250,1.398078,803.268213
64,8250,1.362376,824.318429
64,8250,1.409255,796.897188
64,8250,1.379675,813.982371
64,8500,1.612733,761.595341
64,8500,1.547882,793.503620
64,8500,1.517204,809.548446
64,8500,1.563476,785.589336
64,8500,1.538920,798.124625
64,8750,1.648725,812.654659
64,8750,1.642145,815.910540
64,8750,1.608105,833.181788
64,8750,1.673979,800.394832
64,8750,1.627124,823.442848
64,9000,1.767068,825.095399
64,9000,1.777586,820.213439
64,9000,1.761706,827.607045
64,9000,1.813497,803.971414
64,9000,1.768625,824.369418
64,9250,1.929381,820.421748
64,9250,1.905530,830.690591
64,9250,1.926772,821.532634
64,9250,1.915783,826.245254
64,9250,1.850106,855.576183
64,9500,2.115368,810.615459
64,9500,2.126770,806.269481
64,9500,2.178987,786.948247
64,9500,2.179091,786.910756
64,9500,2.115686,810.493687
