#,,,
#node:,EPYC,,
#library:,BLIS,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.021009,761.586201
64,2000,0.019753,810.001534
64,2000,0.018554,862.324875
64,2000,0.018655,857.701895
64,2000,0.019616,815.678067
64,2250,0.020852,1092.534200
64,2250,0.024053,947.138518
64,2250,0.020894,1090.323460
64,2250,0.021963,1037.272228
64,2250,0.021043,1082.583574
64,2500,0.024879,1256.060189
64,2500,0.027024,1156.390512
64,2500,0.026507,1178.951924
64,2500,0.024673,1266.548469
64,2500,0.023050,1355.759490
64,2750,0.030984,1342.417638
64,2750,0.031106,1337.160867
64,2750,0.032086,1296.332340
64,2750,0.031412,1324.126786
64,2750,0.031470,1321.712947
64,3000,0.034129,1582.243431
64,3000,0.038438,1404.862844
64,3000,0.036489,1479.905271
64,3000,0.036165,1493.136343
64,3000,0.038046,1419.347883
64,3250,0.041506,1654.116004
64,3250,0.042127,1629.749108
64,3250,0.045431,1511.211032
64,3250,0.040933,1677.277258
64,3250,0.041969,1635.893892
64,3500,0.047382,1809.767536
64,3500,0.045406,1888.510573
64,3500,0.052380,1637.068031
64,3500,0.048382,1772.344416
64,3500,0.049197,1743.004469
64,3750,0.055905,1886.563207
64,3750,0.056306,1873.133460
64,3750,0.061483,1715.415771
64,3750,0.056190,1877.001701
64,3750,0.055010,1917.268842
64,4000,0.065513,1953.808696
64,4000,0.066653,1920.395640
64,4000,0.064428,1986.722824
64,4000,0.066481,1925.367897
64,4000,0.069320,1846.514724
64,4250,0.074644,2056.853442
64,4250,0.072760,2110.105894
64,4250,0.079034,1942.598030
64,4250,0.078851,1947.100847
64,4250,0.075569,2031.659973
64,4500,0.083367,2186.121214
64,4500,0.083905,2172.107372
64,4500,0.085340,2135.585806
64,4500,0.086406,2109.232627
64,4500,0.084030,2168.869113
64,4750,0.091095,2352.977616
64,4750,0.091698,2337.500152
64,4750,0.094571,2266.478930
64,4750,0.089721,2389.015460
64,4750,0.089902,2384.201883
64,5000,0.104014,2403.520523
64,5000,0.102529,2438.329930
64,5000,0.103060,2425.764781
64,5000,0.101810,2455.564884
64,5000,0.107255,2330.895490
64,5250,0.116500,2484.169086
64,5250,0.113588,2547.851877
64,5250,0.113989,2538.906053
64,5250,0.117628,2460.355760
64,5250,0.113349,2553.226566
64,5500,0.130311,2553.512333
64,5500,0.130236,2554.980689
64,5500,0.127551,2608.751316
64,5500,0.137767,2415.308137
64,5500,0.134480,2474.337716
64,5750,0.152382,2495.168507
64,5750,0.153544,2476.285074
64,5750,0.160304,2371.859039
64,5750,0.162578,2338.684174
64,5750,0.157855,2408.656004
64,6000,0.181602,2378.825729
64,6000,0.187804,2300.265253
64,6000,0.187199,2307.702774
64,6000,0.209562,2061.438955
64,6000,0.185333,2330.936891
64,6250,0.225277,2167.472647
64,6250,0.228306,2138.717882
64,6250,0.231375,2110.343771
64,6250,0.223019,2189.415201
64,6250,0.222233,2197.154357
64,6500,0.279215,1967.120462
64,6500,0.290521,1890.570301
64,6500,0.286314,1918.346249
64,6500,0.283835,1935.103932
64,6500,0.281992,1947.750574
64,6750,0.356280,1726.433917
64,6750,0.345032,1782.716451
64,6750,0.361127,1703.263312
64,6750,0.343720,1789.520297
64,6750,0.341210,1802.681448
64,7000,0.419677,1634.590590
64,7000,0.416704,1646.251109
64,7000,0.423169,1621.099919
64,7000,0.445677,1539.231337
64,7000,0.434790,1577.771748
64,7250,0.497596,1531.677199
64,7250,0.477730,1595.369455
64,7250,0.467349,1630.806350
64,7250,0.480388,1586.542794
64,7250,0.468915,1625.361730
64,7500,0.549082,1536.656827
64,7500,0.558898,1509.668283
64,7500,0.547506,1541.080316
64,7500,0.546547,1543.783498
64,7500,0.575306,1466.610070
64,7750,0.649972,1432.322254
64,7750,0.641519,1451.194498
64,7750,0.629185,1479.641262
64,7750,0.647489,1437.813557
64,7750,0.621517,1497.897293
64,8000,0.694719,1473.978082
64,8000,0.707469,1447.413129
64,8000,0.684303,1496.413408
64,8000,0.701510,1459.707961
64,8000,0.690888,1482.150390
64,8250,0.766342,1465.443959
64,8250,0.769031,1460.319992
64,8250,0.767460,1463.308411
64,8250,0.825480,1360.459034
64,8250,0.772434,1453.886013
64,8500,0.848741,1447.143681
64,8500,0.831970,1476.315852
64,8500,0.843386,1456.331872
64,8500,0.841927,1458.856537
64,8500,0.862209,1424.539303
64,8750,0.928519,1442.990096
64,8750,0.896585,1494.385286
64,8750,0.921396,1454.145625
64,8750,0.935107,1432.824621
64,8750,0.931591,1438.232358
64,9000,0.995452,1464.661054
64,9000,1.028891,1417.059997
64,9000,1.023921,1423.937770
64,9000,1.058988,1376.785882
64,9000,1.057859,1378.255720
64,9250,1.115782,1418.652161
64,9250,1.119100,1414.445996
64,9250,1.085690,1457.973068
64,9250,1.084008,1460.235435
64,9250,1.120137,1413.135932
64,9500,1.190944,1439.823606
64,9500,1.213808,1412.703152
64,9500,1.161121,1476.806156
64,9500,1.171811,1463.332663
64,9500,1.159866,1478.403624
64,9750,1.253184,1479.207400
64,9750,1.215169,1525.482586
64,9750,1.278095,1450.376591
64,9750,1.279838,1448.400525
64,9750,1.235644,1500.204944
64,10000,1.324846,1509.609052
64,10000,1.359140,1471.518992
64,10000,1.333065,1500.301608
64,10000,1.350932,1480.459360
64,10000,1.311403,1525.084483
64,10250,1.373554,1568.035711
64,10250,1.396330,1542.458992
64,10250,1.440895,1494.752878
64,10250,1.446513,1488.946983
64,10250,1.498386,1437.401190
64,10500,1.530915,1512.330823
64,10500,1.499407,1544.110223
64,10500,1.577438,1467.728436
64,10500,1.526456,1516.748541
64,10500,1.545470,1498.088431
64,10750,1.598468,1554.359645
64,10750,1.622449,1531.385065
64,10750,1.647561,1508.043450
64,10750,1.561441,1591.218477
64,10750,1.555838,1596.948489
64,11000,1.643358,1619.854351
64,11000,1.734227,1534.978234
64,11000,1.654920,1608.537149
64,11000,1.733142,1535.938778
64,11000,1.687092,1577.862692
64,11250,1.645744,1730.315871
64,11250,1.690454,1684.551315
64,11250,1.714384,1661.037240
64,11250,1.646587,1729.429975
64,11250,1.698845,1676.230649
64,11500,1.827706,1664.244927
64,11500,1.858279,1636.863820
64,11500,1.910505,1592.118381
64,11500,1.853862,1640.763773
64,11500,1.852509,1641.962240
64,11750,1.986790,1633.020495
64,11750,1.941782,1670.871793
64,11750,2.003845,1619.121945
64,11750,2.017168,1608.427433
64,11750,1.991870,1628.856022
64,12000,2.076073,1664.681311
64,12000,2.172718,1590.634567
64,12000,2.123029,1627.863043
64,12000,2.162486,1598.160877
64,12000,2.172398,1590.869070
64,12250,2.294548,1602.289755
64,12250,2.080158,1767.428584
64,12250,2.038611,1803.449048
64,12250,2.070239,1775.896772
64,12250,2.049011,1794.295374
64,12500,2.308479,1692.131656
64,12500,2.310351,1690.760697
64,12500,2.365541,1651.313696
64,12500,2.391953,1633.080031
64,12500,2.319558,1684.049509
64,12750,2.509268,1652.013284
64,12750,2.450053,1691.940101
64,12750,2.447721,1693.552621
64,12750,2.543078,1630.049807
64,12750,2.541214,1631.245162
64,13000,2.385422,1842.022081
64,13000,2.590828,1695.982821
64,13000,2.547378,1724.910534
64,13000,2.381921,1844.729145
64,13000,2.568059,1711.020100
