#,,,
#node:,EPYC,,
#library:,MKL,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.249265,64.188822
64,2000,0.043426,368.444531
64,2000,0.040298,397.040717
64,2000,0.039968,400.323902
64,2000,0.040462,395.432449
64,2250,0.056907,400.321090
64,2250,0.050430,451.735754
64,2250,0.050330,452.635074
64,2250,0.050099,454.727214
64,2250,0.049015,464.782138
64,2500,0.057842,540.266513
64,2500,0.058833,531.168130
64,2500,0.059079,528.957002
64,2500,0.062170,502.654676
64,2500,0.058464,534.520479
64,2750,0.068310,608.892706
64,2750,0.070034,593.905754
64,2750,0.073634,564.874718
64,2750,0.068698,605.456616
64,2750,0.072713,572.027566
64,3000,0.081601,661.758818
64,3000,0.081829,659.911664
64,3000,0.080953,667.052849
64,3000,0.080440,671.304986
64,3000,0.080448,671.240867
64,3250,0.108183,634.629956
64,3250,0.110633,620.574936
64,3250,0.106879,642.371203
64,3250,0.108667,631.801386
64,3250,0.110934,618.893061
64,3500,0.127292,673.647265
64,3500,0.125002,685.990391
64,3500,0.125264,684.556298
64,3500,0.120820,709.732965
64,3500,0.130299,658.102862
64,3750,0.161088,654.728264
64,3750,0.156101,675.642286
64,3750,0.177402,594.518483
64,3750,0.166314,634.155332
64,3750,0.165334,637.915180
64,4000,0.205087,624.126735
64,4000,0.213523,599.467019
64,4000,0.204325,626.454184
64,4000,0.215339,594.410796
64,4000,0.203472,629.078620
64,4250,0.272168,564.104747
64,4250,0.251742,609.875941
64,4250,0.252717,607.522809
64,4250,0.247444,620.469309
64,4250,0.253587,605.438452
64,4500,0.298506,610.540882
64,4500,0.293735,620.456359
64,4500,0.302186,603.105761
64,4500,0.292558,622.953945
64,4500,0.293474,621.008513
64,4750,0.368989,580.894530
64,4750,0.369866,579.518047
64,4750,0.370072,579.194353
64,4750,0.372352,575.647600
64,4750,0.371851,576.423484
64,5000,0.430787,580.332551
64,5000,0.433152,577.164903
64,5000,0.438171,570.554143
64,5000,0.430013,581.377173
64,5000,0.431358,579.565610
64,5250,0.513550,563.540103
64,5250,0.519460,557.128636
64,5250,0.516226,560.619291
64,5250,0.518461,558.202618
64,5250,0.517588,559.144503
64,5500,0.586985,566.879792
64,5500,0.593095,561.040183
64,5500,0.586591,567.260674
64,5500,0.586694,567.161502
64,5500,0.587981,565.919430
64,5750,0.694973,547.098925
64,5750,0.691443,549.891673
64,5750,0.693143,548.543051
64,5750,0.698685,544.191925
64,5750,0.690633,550.536490
64,6000,0.768639,562.032375
64,6000,0.761903,567.001104
64,6000,0.762798,566.335796
64,6000,0.763883,565.531490
64,6000,0.768068,562.450245
64,6250,0.885758,551.257827
64,6250,0.887893,549.932541
64,6250,0.889132,549.166277
64,6250,0.887108,550.418944
64,6250,0.893139,546.702399
64,6500,0.974484,563.631642
64,6500,0.974612,563.557403
64,6500,0.978535,561.298410
64,6500,0.974505,563.619204
64,6500,0.987084,556.437121
64,6750,1.125930,546.298573
64,6750,1.126691,545.929643
64,6750,1.131900,543.417009
64,6750,1.122665,547.887047
64,6750,1.127142,545.710943
64,7000,1.229076,558.142937
64,7000,1.228665,558.329400
64,7000,1.230263,557.604281
64,7000,1.227771,558.736322
64,7000,1.224493,560.231744
64,7250,1.375875,553.942816
64,7250,1.376047,553.873897
64,7250,1.372494,555.307566
64,7250,1.377107,553.447519
64,7250,1.374274,554.588242
64,7500,1.497801,563.325824
64,7500,1.493762,564.849058
64,7500,1.496087,563.971026
64,7500,1.497701,563.363545
64,7500,1.492602,565.288188
64,7750,1.663865,559.521915
64,7750,1.675888,555.507841
64,7750,1.674922,555.828182
64,7750,1.661225,560.410828
64,7750,1.675572,555.612556
64,8000,1.793142,571.064744
64,8000,1.792554,571.252102
64,8000,1.794289,570.699560
64,8000,1.789773,572.139688
64,8000,1.801295,568.479800
64,8250,1.996670,562.452242
64,8250,1.992440,563.646322
64,8250,2.003924,560.416037
64,8250,1.987382,565.080648
64,8250,2.004315,560.306692
64,8500,1.964068,625.360173
64,8500,1.964362,625.266494
64,8500,1.952209,629.158929
64,8500,1.966539,624.574526
64,8500,1.973450,622.387042
64,8750,2.322681,576.852124
64,8750,2.329473,575.170354
64,8750,2.320319,577.439436
64,8750,2.324425,576.419475
64,8750,2.330631,574.884657
64,9000,2.394709,608.842233
64,9000,2.396276,608.444213
64,9000,2.404049,606.476781
64,9000,2.399843,607.539690
64,9000,2.400940,607.262263
64,9250,2.448679,646.432778
64,9250,2.419438,654.245518
64,9250,2.444471,647.545430
64,9250,2.408929,657.099668
64,9250,2.448131,646.577412
64,9500,2.825945,606.788231
64,9500,2.842530,603.247893
64,9500,2.824938,607.004440
64,9500,2.834413,604.975359
64,9500,2.830880,605.730352
64,9750,3.062060,605.382912
64,9750,2.633879,703.798020
64,9750,3.060457,605.699915
64,9750,3.191808,580.773915
64,9750,3.079138,602.025262
64,10000,3.284769,608.870871
64,10000,3.281695,609.441098
64,10000,3.280268,609.706313
64,10000,3.273621,610.944217
64,10000,3.280270,609.705960
64,10250,3.541477,608.158976
64,10250,3.540892,608.259478
64,10250,3.530838,609.991443
64,10250,3.513898,612.932146
64,10250,3.542961,607.904354
64,10500,3.644984,635.187988
64,10500,3.637628,636.472396
64,10500,3.637077,636.568943
64,10500,3.644791,635.221558
64,10500,3.641208,635.846610
64,10750,3.974982,625.057813
64,10750,3.975286,625.010111
64,10750,3.961500,627.185138
64,10750,3.968417,626.091961
64,10750,3.255869,763.112338
64,11000,4.134173,643.901441
64,11000,3.440216,773.788539
64,11000,4.144501,642.296828
64,11000,4.106441,648.249901
64,11000,4.125332,645.281338
64,11250,4.416519,644.773923
64,11250,4.436247,641.906547
64,11250,4.425296,643.495068
64,11250,4.430015,642.809556
64,11250,3.720472,765.401958
64,11500,3.786713,803.269128
64,11500,3.773120,806.163064
64,11500,4.599657,661.299344
64,11500,3.801574,800.129028
64,11500,4.615356,659.049988
64,11750,4.989711,650.231828
64,11750,4.995660,649.457482
64,11750,5.002088,648.622940
64,11750,5.008680,647.769217
64,11750,5.001143,648.745430
64,12000,5.147550,671.387396
64,12000,4.137748,835.236889
64,12000,5.175193,667.801178
64,12000,4.122059,838.416045
64,12000,5.152386,670.757156
64,12250,5.446979,674.967078
64,12250,5.438931,675.965804
64,12250,5.450108,674.579498
64,12250,5.467453,672.439438
64,12250,5.425297,677.664572
64,12500,5.702562,684.999105
64,12500,5.678300,687.925905
64,12500,6.599008,591.945036
64,12500,5.683025,687.353994
64,12500,5.048390,773.761497
64,12750,6.028823,687.587555
64,12750,7.165407,578.521759
64,12750,6.005805,690.222862
64,12750,6.040653,686.241053
64,12750,7.170358,578.122254
64,13000,6.322055,695.027163
64,13000,7.254399,605.701416
64,13000,6.323609,694.856350
64,13000,6.335678,693.532728
64,13000,6.325090,694.693726
64,13250,8.062940,577.011168
64,13250,8.048964,578.013043
64,13250,8.103870,574.096887
64,13250,8.065348,576.838856
64,13250,8.083449,575.547153
64,13500,8.288806,593.662087
64,13500,8.295226,593.202611
64,13500,8.269207,595.069144
64,13500,8.271753,594.886026
64,13500,7.573558,649.727648
64,13750,8.772086,592.700371
64,13750,8.952763,580.739032
64,13750,8.775752,592.452804
64,13750,8.544718,608.471682
64,13750,8.674967,599.335842
64,14000,9.155325,599.432557
64,14000,9.068133,605.196208
64,14000,8.923102,615.032754
64,14000,9.172474,598.311856
64,14000,8.970505,611.782701
64,14250,10.013876,577.926184
64,14250,8.910266,649.507095
64,14250,10.020565,577.540441
64,14250,8.902895,650.044888
64,14250,9.681901,597.742238
64,14500,9.593831,635.538609
64,14500,9.936549,613.618469
64,14500,9.969166,611.610834
64,14500,10.001836,609.613071
64,14500,9.154359,666.048834
64,14750,10.531469,609.420534
64,14750,10.485121,612.114443
64,14750,10.513754,610.447407
64,14750,10.478996,612.472205
64,14750,10.495949,611.482948
64,15000,10.857184,621.708176
64,15000,10.859272,621.588638
64,15000,10.832976,623.097498
64,15000,8.377274,805.751323
64,15000,10.828296,623.366786
64,15250,8.555510,829.074671
64,15250,11.428500,620.655060
64,15250,11.552192,614.009535
64,15250,11.564073,613.378697
64,15250,11.502836,616.644109
64,15500,11.941824,623.669407
64,15500,8.768044,849.419816
64,15500,8.767830,849.440495
64,15500,8.773207,848.919895
64,15500,8.760767,850.125300
64,15750,9.120387,856.758453
64,15750,9.110073,857.728455
64,15750,9.155783,853.446270
64,15750,9.185295,850.704187
64,15750,9.108560,857.870924
64,16000,9.424226,869.249147
64,16000,9.391012,872.323456
64,16000,9.394834,871.968573
64,16000,9.360654,875.152505
64,16000,9.386207,872.770010
64,16250,10.286618,834.290840
64,16250,10.200093,841.367946
64,16250,10.239912,838.096210
64,16250,10.193155,841.940626
64,16250,10.276292,835.129161
64,16500,10.838876,828.891321
64,16500,12.279981,731.617567
64,16500,13.527245,664.159627
64,16500,14.728981,609.970906
64,16500,10.151035,885.057506
64,16750,13.493982,696.521165
64,16750,15.426153,609.279840
64,16750,10.772418,872.491588
64,16750,13.518070,695.280023
64,16750,14.675872,640.428285
64,17000,10.949839,897.364798
64,17000,10.479348,937.653759
64,17000,10.975984,895.227255
64,17000,10.964171,896.191820
64,17000,10.959994,896.533327
64,17250,15.741216,652.167298
64,17250,11.453213,896.334180
64,17250,11.437307,897.580728
64,17250,11.477637,894.426809
64,17250,15.682795,654.596732
64,17500,11.761275,911.359519
64,17500,11.773256,910.432071
64,17500,11.771714,910.551352
64,17500,15.826873,677.250027
64,17500,11.816878,907.071228
64,17750,16.272400,687.342914
64,17750,12.225670,914.855271
64,17750,16.251374,688.232210
64,17750,16.382347,682.729947
64,17750,12.221400,915.174891
64,18000,12.363141,943.449548
64,18000,18.312277,636.949747
64,18000,16.345270,713.600922
64,18000,16.347496,713.503790
64,18000,16.291704,715.947200
64,18250,17.012883,714.563261
64,18250,16.985147,715.730109
64,18250,17.028572,713.904915
64,18250,17.001166,715.055752
64,18250,17.113372,710.367367
64,18500,17.015099,744.236033
64,18500,17.223052,735.250047
64,18500,17.162762,737.832856
64,18500,17.009231,744.492785
64,18500,17.070470,741.822003
64,18750,17.619706,748.230067
64,18750,17.669723,746.112066
64,18750,17.700094,744.831830
64,18750,17.644103,747.195459
64,18750,21.419632,615.491148
64,19000,17.525395,782.749818
64,19000,17.693762,775.301481
64,19000,17.996269,762.269100
64,19000,17.651360,777.163913
64,19000,17.662625,776.668230
64,19250,23.289558,612.577366
64,19250,23.217431,614.480393
64,19250,23.268988,613.118901
64,19250,22.313635,639.369427
64,19250,23.289177,612.587387
64,19500,23.653191,626.966152
64,19500,23.660606,626.769674
64,19500,23.598812,628.410864
64,19500,23.589432,628.660761
64,19500,23.628973,627.608730
64,19750,24.849446,620.032685
64,19750,24.818513,620.805473
64,19750,24.835662,620.376809
64,19750,24.810597,621.003537
64,19750,24.838397,620.308495
64,20000,24.223216,660.523359
64,20000,25.592002,625.195332
64,20000,23.889139,669.760419
64,20000,25.567448,625.795727
64,20000,24.366819,656.630653
