#,,,
#node:,EPYC,,
#library:,MKL,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.303186,52.772962
64,2000,0.026146,611.942767
64,2000,0.024842,644.059637
64,2000,0.024612,650.098447
64,2000,0.024772,645.886923
64,2250,0.027218,836.989635
64,2250,0.029282,778.002932
64,2250,0.029300,777.513137
64,2250,0.028835,790.065297
64,2250,0.028761,792.100776
64,2500,0.034276,911.710615
64,2500,0.033633,929.149483
64,2500,0.033185,941.693985
64,2500,0.033226,940.532267
64,2500,0.032048,975.113147
64,2750,0.037303,1115.025217
64,2750,0.038822,1071.386466
64,2750,0.038403,1083.073435
64,2750,0.038387,1083.528532
64,2750,0.040408,1029.352461
64,3000,0.042670,1265.523373
64,3000,0.045149,1196.029554
64,3000,0.042519,1270.010336
64,3000,0.042173,1280.426126
64,3000,0.047256,1142.719557
64,3250,0.052298,1312.787099
64,3250,0.049313,1392.259349
64,3250,0.050218,1367.157603
64,3250,0.048224,1423.690530
64,3250,0.048964,1402.175324
64,3500,0.055424,1547.153858
64,3500,0.056708,1512.121341
64,3500,0.056221,1525.236293
64,3500,0.053702,1596.763198
64,3500,0.061060,1404.364674
64,3750,0.062214,1695.247253
64,3750,0.071039,1484.650890
64,3750,0.066549,1584.824852
64,3750,0.061883,1704.331046
64,3750,0.061517,1714.469399
64,4000,0.068046,1881.092886
64,4000,0.071013,1802.474660
64,4000,0.079714,1605.732646
64,4000,0.068733,1862.292220
64,4000,0.076622,1670.538335
64,4250,0.087998,1744.705830
64,4250,0.087764,1749.366608
64,4250,0.089566,1714.163120
64,4250,0.088434,1736.101943
64,4250,0.090407,1698.226417
64,4500,0.092490,1970.485256
64,4500,0.088136,2067.836497
64,4500,0.089657,2032.754257
64,4500,0.092440,1971.546234
64,4500,0.100693,1809.962157
64,4750,0.106380,2014.894561
64,4750,0.105620,2029.380780
64,4750,0.105524,2031.224493
64,4750,0.105446,2032.739488
64,4750,0.108033,1984.065862
64,5000,0.118978,2101.230547
64,5000,0.116002,2155.140440
64,5000,0.117629,2125.327954
64,5000,0.117464,2128.320278
64,5000,0.121253,2061.801460
64,5250,0.138205,2094.032700
64,5250,0.133371,2169.933299
64,5250,0.138520,2089.281548
64,5250,0.141187,2049.814691
64,5250,0.140860,2054.573286
64,5500,0.175957,1891.086264
64,5500,0.168244,1977.778237
64,5500,0.158969,2093.176413
64,5500,0.167884,1982.023703
64,5500,0.170671,1949.659950
64,5750,0.206618,1840.198348
64,5750,0.210182,1809.000226
64,5750,0.193060,1969.431548
64,5750,0.195991,1939.983632
64,5750,0.179484,2118.394294
64,6000,0.233477,1850.290257
64,6000,0.232765,1855.945641
64,6000,0.243730,1772.454986
64,6000,0.242862,1778.789016
64,6000,0.228536,1890.294567
64,6250,0.289184,1688.480946
64,6250,0.280461,1740.993823
