#,,,
#node:,EPYC,,
#library:,openBLAS,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.037120,431.034506
64,2000,0.036911,433.480577
64,2000,0.035169,454.940671
64,2000,0.036996,432.477013
64,2000,0.039381,406.285800
64,2250,0.048776,467.055894
64,2250,0.045172,504.321184
64,2250,0.045390,501.900718
64,2250,0.047792,476.672782
64,2250,0.050961,447.031473
64,2500,0.055571,562.343547
64,2500,0.093613,333.819845
64,2500,0.075264,415.204014
64,2500,0.077985,400.715733
64,2500,0.056912,549.094244
64,2750,0.079989,519.991781
64,2750,0.079138,525.584662
64,2750,0.078508,529.801501
64,2750,0.065285,637.111689
64,2750,0.065030,639.606311
64,3000,0.075988,710.635763
64,3000,0.076882,702.373716
64,3000,0.097201,555.550617
64,3000,0.077520,696.592316
64,3000,0.077970,692.573729
64,3250,0.096708,709.937035
64,3250,0.095687,717.510845
64,3250,0.096108,714.363201
64,3250,0.091009,754.388971
64,3250,0.093692,732.785620
64,3500,0.114002,752.179608
64,3500,0.109015,786.588100
64,3500,0.110167,778.364993
64,3500,0.115448,742.759693
64,3500,0.110037,779.284819
64,3750,0.135333,779.326092
64,3750,0.141101,747.471042
64,3750,0.137369,767.777233
64,3750,0.136170,774.536376
64,3750,0.134027,786.920549
64,4000,0.166652,768.066387
64,4000,0.170646,750.089996
64,4000,0.171604,745.901546
64,4000,0.166268,769.841419
64,4000,0.171248,747.454696
64,4250,0.225463,680.960185
64,4250,0.235378,652.276449
64,4250,0.223609,686.604443
64,4250,0.230276,666.728404
64,4250,0.234460,654.828696
64,4500,0.274740,663.353500
64,4500,0.264574,688.843012
64,4500,0.277295,657.241974
64,4500,0.280600,649.501882
64,4500,0.264137,689.983498
64,4750,0.313272,684.209931
64,4750,0.332400,644.835996
64,4750,0.308058,695.790936
64,4750,0.303488,706.267554
64,4750,0.330430,648.681627
64,5000,0.401071,623.331289
64,5000,0.364156,686.519317
64,5000,0.362458,689.734883
