#,,,
#node:,EPYC,,
#library:,openBLAS,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.024981,640.477771
64,2000,0.021437,746.371770
64,2000,0.021302,751.113338
64,2000,0.021168,755.864290
64,2000,0.021724,736.497153
64,2250,0.028136,809.696101
64,2250,0.027686,822.853067
64,2250,0.029451,773.541878
64,2250,0.028412,801.829916
64,2250,0.029917,761.471127
64,2500,0.031984,977.036882
64,2500,0.031697,985.893209
64,2500,0.034384,908.856840
64,2500,0.033529,932.037941
64,2500,0.034061,917.463568
64,2750,0.042533,977.911330
64,2750,0.047164,881.902021
64,2750,0.058245,714.113990
64,2750,0.063930,650.614411
64,2750,0.049175,845.831439
64,3000,0.071987,750.136879
64,3000,0.060065,899.025516
64,3000,0.053384,1011.534490
64,3000,0.071864,751.414642
64,3000,0.061139,883.237954
64,3250,0.083517,822.062198
64,3250,0.070841,969.163762
64,3250,0.057173,1200.852123
64,3250,0.068923,996.124507
64,3250,0.057778,1188.270983
64,3500,0.069221,1238.784629
64,3500,0.073839,1161.312070
64,3500,0.064318,1333.226157
64,3500,0.061458,1395.271658
64,3500,0.061779,1388.013950
64,3750,0.065253,1616.293529
64,3750,0.070452,1497.024963
64,3750,0.067742,1556.916321
64,3750,0.069396,1519.820294
64,3750,0.065970,1598.729629
64,4000,0.083009,1542.009346
64,4000,0.084778,1509.830061
64,4000,0.075974,1684.787211
64,4000,0.077096,1660.258867
64,4000,0.093410,1370.300193
64,4250,0.086264,1779.773256
64,4250,0.093161,1648.023797
64,4250,0.095215,1612.477413
64,4250,0.093964,1633.944463
64,4250,0.092262,1664.076294
64,4500,0.108900,1673.547510
64,4500,0.105209,1732.273018
64,4500,0.100594,1811.730926
64,4500,0.110374,1651.206826
64,4500,0.112049,1626.521745
64,4750,0.110772,1934.993708
64,4750,0.113778,1883.884420
64,4750,0.108803,1970.025077
64,4750,0.111578,1921.017916
64,4750,0.113032,1896.309515
64,5000,0.134554,1857.995141
64,5000,0.129510,1930.355551
64,5000,0.129167,1935.471459
64,5000,0.141116,1771.592416
64,5000,0.137374,1819.854046
64,5250,0.147996,1955.497831
64,5250,0.151370,1911.915060
64,5250,0.152263,1900.702011
64,5250,0.154427,1874.064376
64,5250,0.149131,1940.617020
64,5500,0.171687,1938.124907
64,5500,0.174580,1906.007640
64,5500,0.171252,1943.046008
64,5500,0.170218,1954.843555
64,5500,0.179249,1856.351354
64,5750,0.213542,1780.537925
64,5750,0.206878,1837.889911
64,5750,0.199206,1908.670054
64,5750,0.202264,1879.812478
64,5750,0.201544,1886.530021
64,6000,0.245408,1760.330555
64,6000,0.232353,1859.240196
64,6000,0.243892,1771.279362
64,6000,0.238469,1811.553667
64,6000,0.227963,1895.044795
64,6250,0.289852,1684.585687
64,6250,0.288714,1691.225353
64,6250,0.277707,1758.259979
64,6250,0.277298,1760.856526
64,6250,0.300064,1627.255332
64,6500,0.351312,1563.424098
64,6500,0.323507,1697.799933
64,6500,0.325440,1687.716587
64,6500,0.330076,1664.008570
64,6500,0.324765,1691.221332
64,6750,0.363584,1691.750341
64,6750,0.365790,1681.550186
64,6750,0.360185,1707.716131
64,6750,0.360016,1708.518082
64,6750,0.392261,1568.073464
64,7000,0.422978,1621.832510
64,7000,0.416701,1646.265719
64,7000,0.412634,1662.491543
64,7000,0.433837,1581.238253
64,7000,0.408748,1678.295091
64,7250,0.473332,1610.195358
64,7250,0.460647,1654.534145
64,7250,0.492060,1548.910579
64,7250,0.452899,1682.840639
64,7250,0.455840,1671.982881
64,7500,0.526522,1602.496527
64,7500,0.547574,1540.888570
64,7500,0.520656,1620.551131
64,7500,0.525559,1605.433984
64,7500,0.542029,1556.650112
64,7750,0.578308,1609.816142
64,7750,0.575304,1618.220684
64,7750,0.574580,1620.258870
64,7750,0.575799,1616.829998
64,7750,0.572833,1625.200419
64,8000,0.619001,1654.279308
64,8000,0.620503,1650.275102
64,8000,0.617523,1658.237219
64,8000,0.631757,1620.877033
64,8000,0.625355,1637.470404
64,8250,0.675332,1662.932948
64,8250,0.671458,1672.525713
64,8250,0.678302,1655.650557
64,8250,0.679536,1652.643740
64,8250,0.677635,1657.280568
64,8500,0.740770,1658.073002
64,8500,0.734992,1671.107395
64,8500,0.746807,1644.669287
64,8500,0.741179,1657.157823
64,8500,0.753569,1629.910847
64,8750,0.813595,1646.819054
64,8750,0.786561,1703.420315
64,8750,0.796761,1681.613125
64,8750,0.789441,1697.206309
64,8750,0.820729,1632.505165
64,9000,0.845258,1724.916559
64,9000,0.885151,1647.176877
64,9000,0.850741,1713.799410
64,9000,0.848707,1717.907570
64,9000,0.854105,1707.049163
64,9250,0.895584,1767.457556
64,9250,0.896131,1766.377616
64,9250,0.925949,1709.496325
64,9250,0.933939,1694.871056
64,9250,0.928435,1704.918974
64,9500,0.956465,1792.798735
64,9500,0.964671,1777.549109
64,9500,1.015146,1689.166083
