#,,,
#node:,EPYC,,
#library:,BLIS,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.022853,700.141665
64,2000,0.021958,728.676722
64,2000,0.023500,680.853324
64,2000,0.022050,725.612263
64,2000,0.022135,722.841610
64,2250,0.025301,900.405516
64,2250,0.025586,890.386708
64,2250,0.026773,850.905834
64,2250,0.025425,896.019074
64,2250,0.026648,854.883560
64,2500,0.029067,1075.113483
64,2500,0.029758,1050.153129
64,2500,0.029397,1063.027532
64,2500,0.029571,1056.775527
64,2500,0.029159,1071.720128
64,2750,0.034028,1222.350918
64,2750,0.034735,1197.467540
64,2750,0.033392,1245.603199
64,2750,0.033780,1231.307731
64,2750,0.034923,1191.028296
64,3000,0.038870,1389.241738
64,3000,0.040653,1328.298982
64,3000,0.038458,1404.126150
64,3000,0.037863,1426.183966
64,3000,0.038340,1408.464664
64,3250,0.046220,1485.432811
64,3250,0.045171,1519.927603
64,3250,0.048729,1408.933929
64,3250,0.047802,1436.252881
64,3250,0.047577,1443.070391
64,3500,0.054825,1564.060698
64,3500,0.054550,1571.963547
64,3500,0.054539,1572.262409
64,3500,0.052332,1638.591433
64,3500,0.053809,1593.606899
64,3750,0.061662,1710.425836
64,3750,0.066788,1579.160329
64,3750,0.068043,1550.032959
64,3750,0.065534,1609.364062
64,3750,0.064317,1639.821775
64,4000,0.078770,1624.982666
64,4000,0.070530,1814.836461
64,4000,0.076538,1672.367851
64,4000,0.076340,1676.712159
64,4000,0.079094,1618.329810
64,4250,0.085796,1789.498463
64,4250,0.086081,1783.560778
64,4250,0.086717,1770.495306
64,4250,0.089031,1724.466991
64,4250,0.091282,1681.944543
64,4500,0.090033,2024.265641
64,4500,0.095585,1906.671301
64,4500,0.091411,1993.737422
64,4500,0.082124,2219.216427
64,4500,0.095552,1907.335418
64,4750,0.103916,2062.665737
64,4750,0.097523,2197.878827
64,4750,0.093278,2297.903344
64,4750,0.093909,2282.471805
64,4750,0.101859,2104.310270
64,5000,0.107307,2329.772863
64,5000,0.104534,2391.570041
64,5000,0.114697,2179.662329
64,5000,0.102007,2450.810445
64,5000,0.111174,2248.736120
64,5250,0.116064,2493.496500
64,5250,0.112941,2562.463071
64,5250,0.121287,2386.134221
64,5250,0.116599,2482.073325
64,5250,0.116867,2476.374346
64,5500,0.125654,2648.136897
64,5500,0.124643,2669.625026
64,5500,0.134257,2478.453487
64,5500,0.137620,2417.887452
64,5500,0.139620,2383.248932
64,5750,0.142254,2672.823676
64,5750,0.149799,2538.193320
64,5750,0.148655,2557.723551
64,5750,0.148940,2552.839887
64,5750,0.152264,2497.098202
64,6000,0.172669,2501.897200
64,6000,0.159347,2711.065128
64,6000,0.152691,2829.246913
64,6000,0.172269,2507.703308
64,6000,0.171820,2514.263893
64,6250,0.178685,2732.641539
64,6250,0.182965,2668.709994
64,6250,0.188229,2594.074472
64,6250,0.183907,2655.037352
64,6250,0.180065,2711.692671
64,6500,0.195992,2802.407457
64,6500,0.188357,2916.012243
64,6500,0.192384,2854.968307
64,6500,0.196810,2790.758240
64,6500,0.192225,2857.322468
64,6750,0.213441,2881.793144
64,6750,0.213091,2886.527634
64,6750,0.221321,2779.195516
64,6750,0.215099,2859.579319
64,6750,0.216067,2846.770983
64,7000,0.230054,2981.909555
64,7000,0.236188,2904.466832
64,7000,0.232161,2954.848587
64,7000,0.232595,2949.326432
64,7000,0.229445,2989.818174
64,7250,0.247863,3074.912265
64,7250,0.250058,3047.918797
64,7250,0.249735,3051.860204
64,7250,0.260056,2930.737683
64,7250,0.254908,2989.931426
64,7500,0.264880,3185.405361
64,7500,0.267925,3149.201144
64,7500,0.273239,3087.958452
64,7500,0.276325,3053.468364
64,7500,0.278896,3025.320312
64,7750,0.320860,2901.481986
64,7750,0.319119,2917.306382
64,7750,0.321089,2899.406432
64,7750,0.330901,2813.432967
64,7750,0.323830,2874.868891
64,8000,0.377075,2715.642235
64,8000,0.383711,2668.677640
64,8000,0.394734,2594.154338
64,8000,0.391021,2618.784136
64,8000,0.379142,2700.833526
64,8250,0.433939,2587.994164
64,8250,0.431764,2601.028688
64,8250,0.432351,2597.496822
64,8250,0.428603,2620.215606
64,8250,0.429827,2612.749783
64,8500,0.487798,2517.947131
64,8500,0.482529,2545.443492
64,8500,0.493437,2489.175254
64,8500,0.477582,2571.807644
64,8500,0.474441,2588.838182
64,8750,0.568847,2355.368924
64,8750,0.569094,2354.344611
64,8750,0.568598,2356.400759
64,8750,0.561655,2385.527566
64,8750,0.567214,2362.149343
64,9000,0.668196,2181.994808
64,9000,0.672802,2167.055032
64,9000,0.674530,2161.505609
64,9000,0.673861,2163.651972
64,9000,0.664819,2193.078268
