#,,,
#node:,EPYC,,
#library:,openBLAS,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.093123,171.815973
64,2000,0.061997,258.075310
64,2000,0.063940,250.233738
64,2000,0.062592,255.625760
64,2000,0.062747,254.990917
64,2250,0.082936,274.683908
64,2250,0.084587,269.324727
64,2250,0.085141,267.570853
64,2250,0.084381,269.981425
64,2250,0.083946,271.380010
64,2500,0.099802,313.120432
64,2500,0.105064,297.436855
64,2500,0.103165,302.911932
64,2500,0.102755,304.121188
64,2500,0.103885,300.812505
64,2750,0.122871,338.515796
64,2750,0.129984,319.990940
64,2750,0.129094,322.197014
64,2750,0.127244,326.882401
64,2750,0.125796,330.643271
64,3000,0.152913,353.142747
64,3000,0.153950,350.764365
64,3000,0.151340,356.811994
64,3000,0.155766,346.674707
64,3000,0.160907,335.598447
64,3250,0.198394,346.060268
64,3250,0.196473,349.444492
64,3250,0.194992,352.097661
64,3250,0.192389,356.861886
64,3250,0.193123,355.504466
64,3500,0.235336,364.373252
64,3500,0.237197,361.513689
64,3500,0.242397,353.759071
64,3500,0.235993,363.357530
64,3500,0.235142,364.673925
64,3750,0.279834,376.897279
64,3750,0.279161,377.805738
64,3750,0.282895,372.819208
64,3750,0.282418,373.449084
64,3750,0.282454,373.401982
64,4000,0.320994,398.761236
64,4000,0.319201,401.001057
64,4000,0.324283,394.717329
64,4000,0.321901,397.637892
64,4000,0.321258,398.433138
64,4250,0.378496,405.634671
64,4250,0.370320,414.591090
64,4250,0.371694,413.058263
64,4250,0.380349,403.659383
64,4250,0.394921,388.764250
64,4500,0.450553,404.503165
64,4500,0.449641,405.323783
64,4500,0.441111,413.161491
64,4500,0.453103,402.226479
64,4500,0.443328,411.095166
64,4750,0.509231,420.916556
64,4750,0.515651,415.676169
64,4750,0.512518,418.216824
64,4750,0.535149,400.531231
64,4750,0.519470,412.620162
64,5000,0.585739,426.811341
64,5000,0.589100,424.376125
64,5000,0.604301,413.701147
64,5000,0.580576,430.607157
64,5000,0.594407,420.587251
64,5250,0.705824,410.026167
64,5250,0.715056,404.732345
64,5250,0.698570,414.284108
64,5250,0.691378,418.593403
64,5250,0.700643,413.058155
64,5500,0.791805,420.242186
64,5500,0.812491,409.542799
64,5500,0.797979,416.991177
64,5500,0.829792,401.004122
64,5500,0.803417,414.168738
64,5750,0.901689,421.673986
64,5750,0.897590,423.599434
64,5750,0.927508,409.935981
64,5750,0.895875,424.410262
64,5750,0.906346,419.507443
64,6000,0.980584,440.554015
64,6000,0.992832,435.119033
64,6000,0.990732,436.041399
64,6000,0.970502,445.130626
64,6000,0.986797,437.779791
64,6250,1.209184,403.810699
64,6250,1.127308,433.139011
64,6250,1.187642,411.134913
64,6250,1.228508,397.458838
64,6250,1.139250,428.598827
64,6500,1.198888,458.132873
64,6500,1.190568,461.334325
64,6500,1.287209,426.698457
64,6500,1.317593,416.858595
64,6500,1.202522,456.748414
64,6750,1.346475,456.817955
64,6750,1.363210,451.209963
64,6750,1.288320,477.438784
64,6750,1.414472,434.857499
64,6750,1.306772,470.696995
64,7000,1.365753,502.287170
64,7000,1.398684,490.461120
64,7000,1.368362,501.329267
64,7000,1.429788,479.791365
64,7000,1.417948,483.797627
64,7250,1.481382,514.489847
64,7250,1.510999,504.405599
64,7250,1.547874,492.389162
64,7250,1.546210,492.919113
64,7250,1.508807,505.138223
64,7500,1.586603,531.796512
64,7500,1.646680,512.394545
64,7500,1.594761,529.076088
64,7500,1.597862,528.049479
64,7500,1.623093,519.840848
64,7750,1.744298,533.721278
64,7750,1.749545,532.120569
64,7750,1.743185,534.061827
64,7750,1.748704,532.376534
64,7750,1.728554,538.582451
64,8000,1.812342,565.014885
64,8000,1.815573,564.009131
64,8000,1.802074,568.234261
64,8000,1.895044,540.356772
64,8000,1.814856,564.232047
64,8250,1.937465,579.639424
64,8250,1.949548,576.046901
64,8250,1.975309,568.534522
64,8250,1.944551,577.527339
64,8250,1.941917,578.310497
64,8500,2.242717,547.661504
64,8500,2.182745,562.708802
64,8500,2.132899,575.859300
64,8500,2.236327,549.226578
64,8500,2.163222,567.787388
64,8750,2.261486,592.461687
64,8750,2.211362,605.890814
64,8750,2.206460,607.236731
64,8750,2.220662,603.353317
64,8750,2.211502,605.852516
64,9000,2.311270,630.822108
64,9000,2.351959,619.908644
64,9000,2.289698,636.765277
64,9000,2.302506,633.223055
64,9000,2.326619,626.660522
64,9250,2.421702,653.633713
64,9250,2.517897,628.662106
64,9250,2.402779,658.781587
64,9250,2.511654,630.224680
64,9250,2.533788,624.719227
64,9500,2.532798,677.017992
64,9500,2.689158,637.653175
64,9500,2.533878,676.729633
64,9500,2.591123,661.778644
64,9500,2.582023,664.111139
64,9750,2.092390,885.933629
64,9750,2.594865,714.379752
64,9750,2.142458,865.229819
64,9750,2.627635,705.470498
64,9750,2.157074,859.367204
64,10000,2.751556,726.861484
64,10000,2.893620,691.175770
64,10000,2.761120,724.343617
64,10000,2.883877,693.510941
64,10000,2.913546,686.448648
64,10250,2.894729,744.035539
64,10250,2.959842,727.667640
64,10250,2.945158,731.295614
64,10250,2.968482,725.549609
64,10250,3.552122,606.336590
64,10500,3.099609,746.949164
64,10500,3.119752,742.126312
64,10500,3.190707,725.622802
64,10500,3.175952,728.993923
64,10500,3.193053,725.089795
64,10750,3.224490,770.538564
64,10750,3.272051,759.338416
64,10750,3.238828,767.127509
64,10750,3.213045,773.283209
64,10750,3.199090,776.656397
64,11000,3.310441,804.122551
64,11000,3.317189,802.486700
64,11000,3.333137,798.646997
64,11000,3.146458,846.030724
64,11000,3.047834,873.407240
64,11250,3.474319,819.630150
64,11250,3.488179,816.373262
64,11250,3.443386,826.993135
64,11250,3.485821,816.925459
64,11250,3.487414,816.552301
64,11500,3.732348,814.969474
64,11500,3.586481,848.115415
64,11500,3.559283,854.596361
64,11500,3.700355,822.015689
64,11500,3.651308,833.057723
64,11750,3.755651,863.889895
64,11750,3.815961,850.236263
64,11750,3.921524,827.348940
64,11750,3.799107,854.008370
64,11750,3.813128,850.868098
64,12000,4.002507,863.458825
64,12000,4.027221,858.160079
64,12000,4.014158,860.952703
64,12000,4.038661,855.729068
64,12000,3.922703,881.025244
64,12250,4.163405,883.058673
64,12250,4.170834,881.485928
64,12250,4.216568,871.925142
64,12250,4.187615,877.953488
64,12250,4.215413,872.163940
64,12500,4.361870,895.544870
64,12500,4.391445,889.513597
64,12500,4.407301,886.313398
64,12500,4.331760,901.769768
64,12500,4.326310,902.905789
64,12750,6.102047,679.336566
64,12750,4.491611,922.908081
64,12750,3.334580,1243.138146
64,12750,4.462125,929.006692
64,12750,3.311357,1251.856613
64,13000,4.691216,936.644194
64,13000,4.634071,948.194297
64,13000,4.642852,946.401091
64,13000,4.611755,952.782514
64,13000,4.685665,937.753768
64,13250,6.648501,699.767719
64,13250,6.645376,700.096793
64,13250,6.785001,685.689796
64,13250,6.949652,669.444447
64,13250,6.761400,688.083286
64,13500,6.924623,710.616264
64,13500,7.089985,694.042332
64,13500,7.146239,688.578994
64,13500,7.109730,692.114892
64,13500,6.956647,707.345080
64,13750,7.433645,699.417102
64,13750,7.492307,693.940968
64,13750,7.261517,715.996245
64,13750,7.324916,709.799063
64,13750,7.499603,693.265822
64,14000,7.790113,704.482719
64,14000,7.826928,701.169073
64,14000,7.783402,705.090167
64,14000,7.683169,714.288550
64,14000,7.802593,703.355885
64,14250,8.076743,716.536468
64,14250,7.947714,728.169298
64,14250,7.262954,796.821950
64,14250,7.957696,727.255892
64,14250,7.797143,742.231027
64,14500,8.328131,732.127025
64,14500,8.360911,729.256678
64,14500,8.390675,726.669815
64,14500,8.339385,731.139055
64,14500,8.299273,734.672744
64,14750,8.696480,738.010481
64,14750,8.641207,742.731159
64,14750,8.656235,741.441722
64,14750,8.772426,731.621287
64,14750,8.671172,740.164545
64,15000,9.056773,745.298570
64,15000,9.127842,739.495716
64,15000,5.844426,1154.946657
64,15000,9.116922,740.381425
64,15000,8.953326,753.909816
64,15250,9.568171,741.328364
64,15250,9.400418,754.557513
64,15250,9.454414,750.248108
64,15250,9.441473,751.276468
64,15250,9.469008,749.091768
64,15500,6.125956,1215.769458
64,15500,6.567763,1133.985756
64,15500,6.580544,1131.783298
64,15500,6.415962,1160.815732
64,15500,6.362610,1170.549552
64,15750,6.250916,1250.051784
64,15750,6.528092,1196.975894
64,15750,6.494499,1203.167309
64,15750,6.599464,1184.030814
64,15750,6.798118,1149.431156
64,16000,6.938476,1180.662681
64,16000,6.678273,1226.664374
64,16000,6.742228,1215.028544
64,16000,7.545869,1085.627155
64,16000,6.739100,1215.592550
64,16250,7.024073,1221.802649
64,16250,7.118498,1205.595856
64,16250,7.029200,1220.911585
64,16250,6.902206,1243.375119
64,16250,7.217772,1189.013890
64,16500,7.314672,1228.250584
64,16500,6.872285,1307.316330
64,16500,7.081912,1268.619329
64,16500,7.118320,1262.130639
64,16500,10.125413,887.297133
64,16750,7.574102,1240.918496
64,16750,7.550991,1244.716549
64,16750,7.588680,1238.534783
64,16750,7.631252,1231.625360
64,16750,11.803467,796.278251
64,17000,7.864926,1249.344268
64,17000,7.484706,1312.810341
64,17000,8.495040,1156.674945
64,17000,8.501949,1155.734932
64,17000,7.910502,1242.146162
64,17250,12.384014,828.964383
64,17250,12.334525,832.290380
64,17250,12.318308,833.386063
64,17250,12.358748,830.659050
64,17250,12.252734,837.846170
64,17500,12.727374,842.180804
64,17500,12.556343,853.652236
64,17500,12.598974,850.763748
64,17500,12.494989,857.843896
64,17500,14.000871,765.577345
64,17750,12.732124,878.464467
64,17750,12.469181,896.989034
64,17750,12.639439,884.906237
64,17750,12.642140,884.717224
64,17750,13.415377,833.723767
64,18000,13.088604,891.156917
64,18000,12.813939,910.258760
64,18000,13.174135,885.371253
64,18000,13.089066,891.125432
64,18000,13.062698,892.924266
64,18250,13.351210,910.537821
64,18250,15.925724,763.342452
64,18250,13.393882,907.636877
64,18250,15.497604,784.429737
64,18250,16.103471,754.916849
64,18500,16.619883,761.933781
64,18500,16.569581,764.246834
64,18500,16.408478,771.750455
64,18500,16.384040,772.901533
64,18500,13.591585,931.697822
64,18750,17.001314,775.445591
64,18750,17.018052,774.682873
64,18750,17.286026,762.673477
64,18750,17.388675,758.171250
64,18750,16.605779,793.916014
64,19000,17.342131,791.021593
64,19000,17.492730,784.211497
64,19000,17.596365,779.592812
64,19000,17.466054,785.409207
64,19000,17.842700,768.829829
64,19250,18.181814,784.666255
64,19250,18.822047,757.975813
64,19250,18.048336,790.469342
64,19250,18.142188,786.380149
64,19250,18.547001,769.216347
64,19500,18.777080,789.779333
64,19500,18.051368,821.530523
64,19500,18.558782,799.069150
64,19500,19.275611,769.353058
64,19500,18.781665,789.586547
64,19750,18.980750,811.741834
64,19750,18.648179,826.218423
64,19750,18.634560,826.822230
64,19750,18.642475,826.471202
64,19750,18.641077,826.533177
64,20000,19.308774,828.638822
64,20000,19.460137,822.193607
64,20000,15.582266,1026.808318
64,20000,19.572350,817.479767
64,20000,18.895044,846.782891
