#,,,
#node:,EPYC,,
#library:,openBLAS,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
64,2000,0.070747,226.156868
64,2000,0.033799,473.388677
64,2000,0.033652,475.454216
64,2000,0.033510,477.472903
64,2000,0.033916,471.757305
64,2250,0.048290,471.761186
64,2250,0.047595,478.643794
64,2250,0.048015,474.459525
64,2250,0.049308,462.019929
64,2250,0.049347,461.654101
64,2500,0.057640,542.154706
64,2500,0.057718,541.421340
64,2500,0.057268,545.677827
64,2500,0.058394,535.161323
64,2500,0.058485,534.328421
64,2750,0.073385,566.789616
64,2750,0.072348,574.915456
64,2750,0.072429,574.272551
64,2750,0.071938,578.186631
64,2750,0.071982,577.834066
64,3000,0.089645,602.373875
64,3000,0.088198,612.256935
64,3000,0.089715,601.904801
64,3000,0.088553,609.804863
64,3000,0.088717,608.677544
64,3250,0.108716,631.520389
64,3250,0.105563,650.380148
64,3250,0.106182,646.593236
64,3250,0.107625,637.919902
64,3250,0.108525,632.627851
64,3500,0.123984,691.618755
64,3500,0.125872,681.245268
64,3500,0.126647,677.079435
64,3500,0.126428,678.253080
64,3500,0.128139,669.196351
64,3750,0.154262,683.700034
64,3750,0.152671,690.822795
64,3750,0.152047,693.657783
64,3750,0.154821,681.231588
64,3750,0.151890,694.374378
64,4000,0.162963,785.455866
64,4000,0.161199,794.047325
64,4000,0.163589,782.447268
64,4000,0.163609,782.354354
64,4000,0.165895,771.574650
64,4250,0.198779,772.370219
64,4250,0.199630,769.080788
64,4250,0.202000,760.054019
64,4250,0.199665,768.944020
64,4250,0.203453,754.626265
64,4500,0.226634,804.160316
64,4500,0.227221,802.081371
64,4500,0.225339,808.780208
64,4500,0.227941,799.550023
64,4500,0.226695,803.941997
64,4750,0.244234,877.617572
64,4750,0.245868,871.783783
64,4750,0.242261,884.762918
64,4750,0.242391,884.289997
64,4750,0.247876,864.720939
64,5000,0.279493,894.477729
64,5000,0.283364,882.256432
64,5000,0.279603,894.123922
64,5000,0.285910,874.399784
64,5000,0.281908,886.815638
64,5250,0.322219,898.167316
64,5250,0.320465,903.083345
64,5250,0.314542,920.089221
64,5250,0.311207,929.947510
64,5250,0.314838,919.223753
64,5500,0.363263,916.002300
64,5500,0.367262,906.028117
64,5500,0.357311,931.260840
64,5500,0.362671,917.499164
64,5500,0.359361,925.948213
64,5750,0.393648,965.886237
64,5750,0.392522,968.655712
64,5750,0.401931,945.979228
64,5750,0.399393,951.991818
64,5750,0.387486,981.246114
64,6000,0.439357,983.254395
64,6000,0.442589,976.073803
64,6000,0.442575,976.104721
64,6000,0.445573,969.539097
64,6000,0.438021,986.254363
64,6250,0.506218,964.567930
64,6250,0.521828,935.713843
64,6250,0.491113,994.233708
64,6250,0.495221,985.987125
64,6250,0.498817,978.878364
64,6500,0.573309,958.035677
64,6500,0.562726,976.052089
64,6500,0.569172,964.998321
64,6500,0.572898,958.722041
64,6500,0.570565,962.642853
64,6750,0.635705,967.576981
64,6750,0.632391,972.647943
64,6750,0.630539,975.505015
64,6750,0.625943,982.666703
64,6750,0.627415,980.361482
64,7000,0.699593,980.570729
64,7000,0.699917,980.116768
64,7000,0.678695,1010.764031
64,7000,0.700538,979.247232
64,7000,0.691674,991.796640
64,7250,0.739147,1031.129034
64,7250,0.746748,1020.633672
64,7250,0.745728,1022.029777
64,7250,0.743378,1025.261225
64,7250,0.732423,1040.596308
64,7500,0.842685,1001.264079
64,7500,0.857489,983.977817
64,7500,0.851510,990.887348
64,7500,0.862073,978.745124
64,7500,0.846488,996.765620
64,7750,0.912494,1020.246337
64,7750,0.907310,1026.075547
64,7750,0.906485,1027.009631
64,7750,0.914717,1017.767442
64,7750,0.927017,1004.263023
64,8000,0.949390,1078.587837
64,8000,0.952273,1075.321774
64,8000,0.961364,1065.153717
64,8000,0.961295,1065.229349
64,8000,0.967539,1058.354814
64,8250,1.083810,1036.188590
64,8250,1.089068,1031.186064
64,8250,1.173162,957.268300
64,8250,1.066536,1052.970656
64,8250,1.219101,921.195972
64,8500,1.229297,999.148301
64,8500,1.290309,951.903770
64,8500,1.114049,1102.509461
64,8500,1.138138,1079.174963
64,8500,1.281193,958.677064
64,8750,1.280912,1046.007666
64,8750,1.218099,1099.946405
64,8750,1.244113,1076.947097
64,8750,1.218296,1099.768760
64,8750,1.288666,1039.714015
64,9000,1.377563,1058.390630
64,9000,1.268843,1149.078343
64,9000,1.241304,1174.571311
64,9000,1.275042,1143.491335
64,9000,1.273974,1144.450494
64,9250,1.482459,1067.757317
64,9250,1.336367,1184.485052
64,9250,1.337946,1183.086394
64,9250,1.349146,1173.265742
64,9250,1.337134,1183.805359
64,9500,1.389916,1233.707969
64,9500,1.385205,1237.903214
64,9500,1.512347,1133.833580
64,9500,1.378049,1244.331886
64,9500,1.415272,1211.604258
64,9750,1.481866,1250.935848
64,9750,1.645830,1126.312083
64,9750,1.545193,1199.668341
64,9750,1.481617,1251.145504
64,9750,1.524679,1215.809203
64,10000,1.534111,1303.686468
64,10000,1.641967,1218.051052
64,10000,1.527189,1309.595647
64,10000,1.664821,1201.330495
64,10000,1.660693,1204.316315
64,10250,1.778372,1211.096827
64,10250,1.725326,1248.332773
64,10250,1.795626,1199.459920
64,10250,1.769953,1216.857850
64,10250,1.732156,1243.410351
64,10500,1.837187,1260.214800
64,10500,1.747060,1325.226034
64,10500,1.730694,1337.758193
64,10500,1.799420,1286.664717
64,10500,1.763077,1313.186983
64,10750,1.950349,1273.922365
64,10750,1.968486,1262.185003
64,10750,2.060595,1205.765406
64,10750,1.999709,1242.477381
64,10750,1.928717,1288.210578
64,11000,2.123762,1253.436366
64,11000,1.864520,1427.713449
64,11000,2.173165,1224.941438
64,11000,2.210553,1204.223826
64,11000,2.271932,1171.689800
64,11250,2.215665,1285.237895
64,11250,2.129634,1337.157678
64,11250,2.320675,1227.081068
64,11250,2.191251,1299.557125
64,11250,2.274347,1252.076289
64,11500,2.276040,1336.421934
64,11500,2.172931,1399.837069
64,11500,2.199183,1383.127377
64,11500,2.199105,1383.176490
64,11500,2.127407,1429.792081
64,11750,2.252178,1440.591461
64,11750,2.393026,1355.801888
64,11750,2.286359,1419.054592
64,11750,2.209447,1468.452901
64,11750,2.270321,1429.079481
64,12000,2.261810,1527.979594
64,12000,2.310781,1495.598110
64,12000,1.997540,1730.128218
64,12000,2.274970,1519.140969
64,12000,2.389484,1446.337379
64,12250,2.408490,1526.487890
64,12250,2.473756,1486.213894
64,12250,2.552151,1440.561584
64,12250,2.523519,1456.906736
64,12250,2.604371,1411.677409
64,12500,2.575678,1516.590734
64,12500,2.476019,1577.633159
64,12500,2.586585,1510.195603
64,12500,2.484861,1572.019514
64,12500,2.429234,1608.017361
64,12750,2.707149,1531.257879
64,12750,2.676413,1548.843123
64,12750,2.710245,1529.508711
64,12750,2.618556,1583.064496
64,12750,2.599687,1594.555012
64,13000,2.622256,1675.656238
64,13000,2.615736,1679.833079
64,13000,2.808891,1564.318536
64,13000,2.811344,1562.953434
64,13000,2.628067,1671.951236
64,13250,2.850603,1632.078129
64,13250,2.727033,1706.032410
64,13250,2.932351,1586.578955
64,13250,2.896351,1606.299114
64,13250,2.917655,1594.570410
64,13500,2.958065,1663.503187
64,13500,2.840369,1732.433120
64,13500,2.866075,1716.894965
64,13500,2.921545,1684.297353
64,13500,2.929297,1679.839830
64,13750,2.931849,1773.358557
64,13750,2.995340,1735.768939
64,13750,3.170505,1639.870780
64,13750,2.375985,2188.236938
64,13750,2.902458,1791.315909
64,14000,3.024556,1814.481238
64,14000,3.111570,1763.739666
64,14000,3.196768,1716.733730
64,14000,3.089766,1776.186447
64,14000,2.990260,1835.292054
64,14250,3.291032,1758.500492
64,14250,3.203953,1806.294332
64,14250,3.164478,1828.826443
64,14250,3.284801,1761.836283
64,14250,3.232602,1790.285612
64,14500,3.371471,1808.483423
64,14500,3.221931,1892.420811
64,14500,3.094068,1970.625919
64,14500,3.170600,1923.058635
64,14500,3.230189,1887.582884
64,14750,3.443560,1863.796031
64,14750,3.428663,1871.893960
64,14750,3.386566,1895.162610
64,14750,3.375244,1901.520131
64,14750,3.470130,1849.525518
64,15000,3.563065,1894.436232
64,15000,3.520878,1917.135630
64,15000,3.601714,1874.107780
64,15000,3.407989,1980.640377
64,15000,3.527394,1913.594251
64,15250,4.582248,1547.964246
64,15250,3.526763,2011.237182
64,15250,3.559115,1992.955250
64,15250,3.611577,1964.005294
64,15250,3.022302,2346.938414
64,15500,3.730438,1996.481456
64,15500,3.652004,2039.359913
64,15500,3.782197,1969.159797
64,15500,4.831582,1541.472303
64,15500,3.867532,1925.711333
64,15750,3.792227,2060.522446
64,15750,3.911439,1997.722364
64,15750,3.857382,2025.718012
64,15750,3.894913,2006.198417
64,15750,3.832394,2038.926440
64,16000,5.128721,1597.279237
64,16000,5.138684,1594.182356
64,16000,5.122211,1599.309208
64,16000,5.086313,1610.597057
64,16000,5.208616,1572.778579
64,16250,5.417497,1584.132192
64,16250,5.400840,1589.017726
64,16250,5.389002,1592.508367
64,16250,5.387204,1593.040023
64,16250,4.246999,2020.728543
64,16500,5.615763,1599.827107
64,16500,5.687048,1579.773924
64,16500,5.631841,1595.259834
64,16500,5.657592,1587.998800
64,16500,5.680629,1581.559022
64,16750,5.918834,1587.955389
64,16750,5.783544,1625.101151
64,16750,5.863091,1603.052644
64,16750,5.822695,1614.174084
64,16750,5.899008,1593.292173
64,17000,6.137123,1601.076018
64,17000,6.099755,1610.884294
64,17000,6.122367,1604.934888
64,17000,6.086423,1614.413009
64,17000,6.126260,1603.914906
64,17250,6.216449,1651.410029
64,17250,6.187328,1659.182577
64,17250,6.178820,1661.466983
64,17250,6.141508,1671.561130
64,17250,6.213754,1652.126311
64,17500,4.647567,2306.314186
64,17500,4.469110,2398.407959
64,17500,6.447612,1662.437286
64,17500,6.497812,1649.593828
64,17500,4.704145,2278.575655
64,17750,5.069046,2206.474308
64,17750,5.192029,2154.209692
64,17750,6.844363,1634.150453
64,17750,4.824748,2318.197485
64,17750,5.051564,2214.110062
64,18000,6.961569,1675.484335
64,18000,4.867133,2396.482708
64,18000,4.932868,2364.547119
64,18000,4.980696,2341.841330
64,18000,5.027446,2320.064735
64,18250,5.204923,2335.631122
64,18250,5.074117,2395.841507
64,18250,5.273010,2305.472808
64,18250,5.356245,2269.646272
64,18250,4.890475,2485.808004
64,18500,4.982404,2541.594249
64,18500,5.047100,2509.014945
64,18500,5.183936,2442.786837
64,18500,5.170366,2449.198168
64,18500,4.841382,2615.627366
64,18750,5.245287,2513.416996
64,18750,5.293084,2490.720624
64,18750,5.678792,2321.549129
64,18750,4.901514,2689.698226
64,18750,5.164333,2552.816421
64,19000,7.454349,1840.268026
64,19000,5.949865,2305.598611
64,19000,6.845487,2003.947926
64,19000,7.476464,1834.824687
64,19000,7.392587,1855.642607
64,19250,7.834268,1821.058010
