#,,,
#node:,THIN,,
#library:,BLIS,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,49.318806,40.552482
1,10000,49.477456,40.422450
1,10000,49.812619,40.150469
1,10000,49.471863,40.427020
1,10000,49.283826,40.581265
2,10000,27.503512,72.717986
2,10000,27.885705,71.721335
2,10000,27.481428,72.776421
2,10000,27.580149,72.515926
2,10000,27.572393,72.536324
3,10000,17.820230,112.231997
3,10000,17.839183,112.112756
3,10000,17.742181,112.725714
3,10000,17.665301,113.216301
3,10000,17.918612,111.615787
4,10000,13.791933,145.012304
4,10000,14.261731,140.235434
4,10000,14.257063,140.281344
4,10000,13.608351,146.968581
4,10000,14.306561,139.796003
5,10000,10.162439,196.803153
5,10000,10.168264,196.690401
5,10000,10.181563,196.433503
5,10000,10.199400,196.089975
5,10000,10.171855,196.620980
6,10000,9.109191,219.558470
6,10000,9.161321,218.309121
6,10000,9.062103,220.699318
6,10000,9.231554,216.648246
6,10000,9.352264,213.851963
7,10000,7.219075,277.043794
7,10000,7.279063,274.760648
7,10000,7.274629,274.928116
7,10000,7.229924,276.628093
7,10000,7.284722,274.547196
8,10000,7.142401,280.017890
8,10000,7.040975,284.051559
8,10000,7.071008,282.845117
8,10000,7.009237,285.337764
8,10000,7.025605,284.672978
9,10000,6.276696,318.638994
9,10000,6.327165,316.097325
9,10000,6.411794,311.925178
9,10000,6.289552,317.987684
9,10000,6.413035,311.864816
10,10000,5.386726,371.283013
10,10000,5.351765,373.708459
10,10000,5.358907,373.210454
10,10000,5.355061,373.478490
10,10000,5.347925,373.976809
11,10000,4.663471,428.865144
11,10000,4.645944,430.482997
11,10000,4.685453,426.853114
11,10000,4.604741,434.334955
11,10000,4.668284,428.422946
12,10000,4.780561,418.360945
12,10000,4.687000,426.712153
12,10000,4.699310,425.594420
12,10000,4.688435,426.581539
12,10000,4.668511,428.402117
13,10000,4.648937,430.205877
13,10000,4.736891,422.217848
13,10000,4.710282,424.602999
13,10000,4.705274,425.054914
13,10000,4.697506,425.757881
14,10000,3.987311,501.591193
14,10000,3.968296,503.994719
14,10000,3.868168,517.040578
14,10000,3.882341,515.153104
14,10000,3.867453,517.136250
15,10000,3.770545,530.427355
15,10000,3.743144,534.310193
15,10000,3.771724,530.261518
15,10000,3.738936,534.911531
15,10000,3.730836,536.072947
16,10000,3.535976,565.614735
16,10000,3.508975,569.966965
16,10000,3.530486,566.494282
16,10000,3.528511,566.811256
16,10000,3.530086,566.558465
17,10000,3.507283,570.242029
17,10000,3.509950,569.808687
17,10000,3.529208,566.699459
17,10000,3.504951,570.621371
17,10000,3.517846,568.529788
18,10000,3.187799,627.392065
18,10000,3.201677,624.672638
18,10000,3.141338,636.671400
18,10000,3.141024,636.734987
18,10000,3.147541,635.416626
19,10000,3.165410,631.829777
19,10000,3.182194,628.497130
19,10000,3.171996,630.517799
19,10000,3.168263,631.260699
19,10000,3.157955,633.321200
20,10000,2.823799,708.265636
20,10000,2.845896,702.766292
20,10000,2.847834,702.288052
20,10000,2.859507,699.421175
20,10000,2.852415,701.160246
21,10000,2.735594,731.102676
21,10000,2.750099,727.246653
21,10000,2.728456,733.015387
21,10000,2.734957,731.272945
21,10000,2.737641,730.555852
22,10000,2.553125,783.353767
22,10000,2.564527,779.870832
22,10000,2.572166,777.554934
22,10000,2.563620,780.146937
22,10000,2.578416,775.670169
23,10000,2.550451,784.175004
23,10000,2.557753,781.936437
23,10000,2.549438,784.486520
23,10000,2.584720,773.778233
23,10000,2.580643,775.000758
24,10000,2.413444,828.691385
24,10000,2.440360,819.551287
24,10000,2.433058,822.010981
24,10000,2.429844,823.098205
24,10000,2.419344,826.670336
