#,,,
#node:,THIN,,
#library:,BLIS,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,23.929753,83.577963
1,10000,23.990247,83.367213
1,10000,23.977683,83.410895
1,10000,23.986241,83.381134
1,10000,24.072219,83.083327
2,10000,13.367036,149.621797
2,10000,13.237538,151.085498
2,10000,13.346575,149.851180
2,10000,13.350661,149.805322
2,10000,13.322202,150.125327
3,10000,8.650958,231.188271
3,10000,8.659877,230.950154
3,10000,8.662807,230.872046
3,10000,8.557910,233.701913
3,10000,8.672592,230.611568
4,10000,6.678795,299.455225
4,10000,6.679872,299.406942
4,10000,6.653349,300.600472
4,10000,6.687734,299.054962
4,10000,6.695238,298.719768
5,10000,4.922350,406.309963
5,10000,4.912882,407.093016
5,10000,4.921429,406.386033
5,10000,4.918851,406.599042
5,10000,4.921158,406.408445
6,10000,4.419269,452.563509
6,10000,4.403530,454.181035
6,10000,4.386506,455.943798
6,10000,4.410991,453.412823
6,10000,4.379499,456.673243
7,10000,3.542609,564.555702
7,10000,3.569260,560.340304
7,10000,3.567677,560.588845
7,10000,3.533275,566.047095
7,10000,3.525755,567.254354
8,10000,3.216056,621.879643
8,10000,3.222961,620.547338
8,10000,3.244081,616.507433
8,10000,3.238297,617.608664
8,10000,3.240538,617.181402
9,10000,2.837360,704.880490
9,10000,2.819864,709.253970
9,10000,2.830683,706.543149
9,10000,2.825007,707.962910
9,10000,2.818999,709.471797
10,10000,2.640557,757.415833
10,10000,2.638281,758.069288
10,10000,2.639385,757.752350
10,10000,2.645061,756.126359
10,10000,2.638624,757.970704
11,10000,2.235693,894.577206
11,10000,2.288437,873.959021
11,10000,2.281720,876.531556
11,10000,2.280938,876.832183
11,10000,2.236569,894.226729
12,10000,2.186938,914.520776
12,10000,2.180472,917.232504
12,10000,2.187555,914.262578
12,10000,2.180167,917.360735
12,10000,2.181369,916.855631
13,10000,2.144870,932.457276
13,10000,2.190163,913.173875
13,10000,2.183326,916.033718
13,10000,2.181187,916.932056
13,10000,2.188191,913.997141
14,10000,1.847224,1082.705910
14,10000,1.833369,1090.887737
14,10000,1.842323,1085.586056
14,10000,1.834078,1090.465876
14,10000,1.845783,1083.550958
15,10000,1.704278,1173.517809
15,10000,1.711445,1168.603208
15,10000,1.701936,1175.132413
15,10000,1.718916,1163.524207
15,10000,1.684234,1187.483520
16,10000,1.578475,1267.045533
16,10000,1.602674,1247.914724
16,10000,1.604829,1246.238944
16,10000,1.608508,1243.388470
16,10000,1.609515,1242.610159
17,10000,1.583224,1263.245109
17,10000,1.617183,1236.718770
17,10000,1.622249,1232.856248
17,10000,1.609105,1242.926844
17,10000,1.614519,1238.759132
18,10000,1.445962,1383.162257
18,10000,1.442165,1386.804326
18,10000,1.444399,1384.658955
18,10000,1.440577,1388.332529
18,10000,1.410409,1418.028411
19,10000,1.412126,1416.303987
19,10000,1.440232,1388.665627
19,10000,1.443545,1385.478067
19,10000,1.436241,1392.523873
19,10000,1.423571,1404.917654
20,10000,1.273166,1570.886891
20,10000,1.271495,1572.951907
20,10000,1.289045,1551.536186
20,10000,1.278724,1564.059256
20,10000,1.301712,1536.437717
21,10000,1.238479,1614.883638
21,10000,1.237366,1616.337284
21,10000,1.241503,1610.950098
21,10000,1.237519,1616.136833
21,10000,1.245879,1605.292819
22,10000,1.202960,1662.565283
22,10000,1.212746,1649.150505
22,10000,1.198489,1668.768216
22,10000,1.199840,1666.889583
22,10000,1.190749,1679.615800
23,10000,1.204786,1660.045593
23,10000,1.191475,1678.591359
23,10000,1.199543,1667.302088
23,10000,1.189333,1681.615278
23,10000,1.216797,1643.659234
24,10000,1.093770,1828.537230
24,10000,1.074563,1861.222390
24,10000,1.071568,1866.422947
24,10000,1.096861,1823.385322
24,10000,1.097686,1822.014877
