#,,,
#node:,THIN,,
#library:,MKL,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,29.824695,67.058524
1,10000,29.704511,67.329840
1,10000,29.706699,67.324881
1,10000,29.707682,67.322655
1,10000,29.856886,66.986223
2,10000,16.057860,124.549598
2,10000,16.043751,124.659130
2,10000,16.050177,124.609219
2,10000,16.175007,123.647548
2,10000,16.050712,124.605067
3,10000,10.227474,195.551705
3,10000,10.218718,195.719258
3,10000,10.223377,195.630065
3,10000,10.225450,195.590423
3,10000,10.223661,195.624638
4,10000,7.749623,258.077061
4,10000,7.784377,256.924853
4,10000,7.518329,266.016565
4,10000,7.756239,257.856926
4,10000,7.751892,258.001537
5,10000,6.054963,330.307564
5,10000,6.058810,330.097852
5,10000,6.060861,329.986119
5,10000,5.969908,335.013546
5,10000,6.066286,329.691021
6,10000,5.011931,399.047760
6,10000,4.982636,401.393986
6,10000,4.980817,401.540535
6,10000,4.983942,401.288743
6,10000,5.001920,399.846451
7,10000,4.256204,469.902332
7,10000,4.252604,470.300133
7,10000,4.253335,470.219269
7,10000,4.256755,469.841515
7,10000,4.253275,470.225868
8,10000,3.738809,534.929751
8,10000,3.743906,534.201404
8,10000,3.723025,537.197550
8,10000,3.706740,539.557617
8,10000,3.717273,538.028820
9,10000,3.300565,605.956913
9,10000,3.299466,606.158613
9,10000,3.296443,606.714525
9,10000,3.299425,606.166174
9,10000,3.298792,606.282527
10,10000,2.998314,667.041619
10,10000,2.977621,671.677172
10,10000,2.978429,671.495051
10,10000,2.978952,671.377139
10,10000,2.981752,670.746640
11,10000,2.710035,737.997891
11,10000,2.710018,738.002399
11,10000,2.711579,737.577571
11,10000,2.712734,737.263590
11,10000,2.709297,738.198869
12,10000,2.521753,793.099142
12,10000,2.489921,803.238461
12,10000,2.488827,803.591297
12,10000,2.490190,803.151432
12,10000,2.487637,803.975945
13,10000,2.302531,868.609359
13,10000,2.303842,868.114943
13,10000,2.304530,867.856038
13,10000,2.304053,868.035504
13,10000,2.302015,868.804222
14,10000,2.143825,932.912028
14,10000,2.147196,931.447360
14,10000,2.142631,933.431919
14,10000,2.143583,933.017422
14,10000,2.144528,932.606145
15,10000,2.000048,999.975838
15,10000,1.996419,1001.793739
15,10000,1.997971,1001.015442
15,10000,1.996774,1001.615467
15,10000,1.997146,1001.429250
16,10000,1.881437,1063.017432
16,10000,1.883101,1062.078022
16,10000,1.881812,1062.805360
16,10000,1.881352,1063.065430
16,10000,1.886955,1059.908859
17,10000,1.777159,1125.391837
17,10000,1.773766,1127.544549
17,10000,1.773616,1127.639583
17,10000,1.774016,1127.385791
17,10000,1.775234,1126.611827
18,10000,1.675629,1193.581393
18,10000,1.675649,1193.567532
18,10000,1.672302,1195.956053
18,10000,1.674522,1194.370531
18,10000,1.673799,1194.886456
19,10000,1.589263,1258.444945
19,10000,1.586301,1260.794441
19,10000,1.586616,1260.544282
19,10000,1.587739,1259.653270
19,10000,1.588028,1259.423365
20,10000,1.520266,1315.559613
20,10000,1.522118,1313.958236
20,10000,1.521245,1314.712216
20,10000,1.518072,1317.460354
20,10000,1.517779,1317.714547
21,10000,1.437935,1390.883841
21,10000,1.441031,1387.895243
21,10000,1.440262,1388.635864
21,10000,1.440514,1388.393163
21,10000,1.440383,1388.519610
22,10000,1.382906,1446.229544
22,10000,1.384949,1444.096731
22,10000,1.381806,1447.381420
22,10000,1.382345,1446.816637
22,10000,1.379192,1450.124374
23,10000,1.326796,1507.390815
23,10000,1.324871,1509.580943
23,10000,1.324088,1510.473691
23,10000,1.325537,1508.822891
23,10000,1.331430,1502.143822
24,10000,1.273985,1569.876798
24,10000,1.276227,1567.118767
24,10000,1.284230,1557.353900
24,10000,1.278253,1564.636093
24,10000,1.275146,1568.448228
