#,,,
#node:,THIN,,
#library:,MKL,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,15.469320,129.288166
1,10000,15.081523,132.612598
1,10000,15.083379,132.596280
1,10000,15.083236,132.597540
1,10000,15.079697,132.628661
2,10000,8.243084,242.627641
2,10000,8.243079,242.627788
2,10000,8.244145,242.596410
2,10000,8.244106,242.597549
2,10000,8.273860,241.725142
3,10000,5.236424,381.940052
3,10000,5.251893,380.815040
3,10000,5.261554,380.115854
3,10000,5.233734,382.136376
3,10000,5.249531,380.986433
4,10000,3.945560,506.898852
4,10000,3.963332,504.625893
4,10000,3.945221,506.942499
4,10000,3.941077,507.475517
4,10000,3.953302,505.906167
5,10000,3.113128,642.440735
5,10000,3.111421,642.793168
5,10000,3.112927,642.482065
5,10000,3.114319,642.195041
5,10000,3.112727,642.523396
6,10000,2.600401,769.112244
6,10000,2.598570,769.654218
6,10000,2.596665,770.218800
6,10000,2.597800,769.882188
6,10000,2.598030,769.814015
7,10000,2.216707,902.239209
7,10000,2.221257,900.391204
7,10000,2.219305,901.182888
7,10000,2.206288,906.500010
7,10000,2.204782,907.119189
8,10000,1.948291,1026.540736
8,10000,1.945017,1028.268695
8,10000,1.936565,1032.756590
8,10000,1.940981,1030.406644
8,10000,1.945002,1028.276314
9,10000,1.711521,1168.551093
9,10000,1.711634,1168.474054
9,10000,1.711744,1168.398920
9,10000,1.705808,1172.465079
9,10000,1.710374,1169.334741
10,10000,1.531923,1305.548385
10,10000,1.543606,1295.667403
10,10000,1.543738,1295.556794
10,10000,1.541208,1297.683339
10,10000,1.543156,1296.044882
11,10000,1.401216,1427.331911
11,10000,1.394151,1434.565208
11,10000,1.396245,1432.413013
11,10000,1.395652,1433.022262
11,10000,1.398596,1430.005075
12,10000,1.290318,1550.004987
12,10000,1.290807,1549.418555
12,10000,1.291870,1548.143912
12,10000,1.287510,1553.386201
12,10000,1.293104,1546.665844
13,10000,1.188935,1682.177552
13,10000,1.192216,1677.548365
13,10000,1.195584,1672.821975
13,10000,1.193463,1675.795011
13,10000,1.190366,1680.155536
14,10000,1.107579,1805.739808
14,10000,1.107208,1806.344677
14,10000,1.110943,1800.272477
14,10000,1.108615,1804.052598
14,10000,1.107828,1805.334950
15,10000,1.027257,1946.931564
15,10000,1.031857,1938.253179
15,10000,1.027122,1947.189082
15,10000,1.026883,1947.641717
15,10000,1.030870,1940.109759
16,10000,0.961611,2079.844059
16,10000,0.960671,2081.877977
16,10000,0.959879,2083.595543
16,10000,0.961154,2080.832913
16,10000,0.959290,2084.875929
17,10000,0.903535,2213.528447
17,10000,0.903370,2213.931161
17,10000,0.903743,2213.018527
17,10000,0.904014,2212.355292
17,10000,0.902563,2215.911476
18,10000,0.854025,2341.852203
18,10000,0.855735,2337.173433
18,10000,0.855469,2337.897772
18,10000,0.855288,2338.393420
18,10000,0.853923,2342.131710
19,10000,0.811411,2464.843278
19,10000,0.811128,2465.703102
19,10000,0.810737,2466.889760
19,10000,0.810464,2467.723713
19,10000,0.810563,2467.420309
20,10000,0.776413,2575.947686
20,10000,0.772819,2587.928048
20,10000,0.773488,2585.689120
20,10000,0.773657,2585.126192
20,10000,0.772471,2589.094586
21,10000,0.736261,2716.427408
21,10000,0.734393,2723.337082
21,10000,0.734691,2722.231813
21,10000,0.736505,2715.528946
21,10000,0.734683,2722.262490
22,10000,0.705888,2833.311421
22,10000,0.706541,2830.691565
22,10000,0.706062,2832.613669
22,10000,0.706081,2832.536708
22,10000,0.706243,2831.886836
23,10000,0.676547,2956.187093
23,10000,0.675194,2962.112297
23,10000,0.676202,2957.696996
23,10000,0.677591,2951.633884
23,10000,0.674275,2966.147181
24,10000,0.650479,3074.656847
24,10000,0.650486,3074.625305
24,10000,0.649482,3079.375871
24,10000,0.650830,3073.000897
24,10000,0.650344,3075.294410
