#,,,
#node:,THIN,,
#library:,openBLAS,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,28.915970,69.165931
1,10000,28.880660,69.250495
1,10000,28.878809,69.254934
1,10000,28.878974,69.254538
1,10000,28.891751,69.223912
2,10000,15.794633,126.625291
2,10000,16.250180,123.075560
2,10000,16.183728,123.580922
2,10000,16.416136,121.831347
2,10000,16.987304,117.734983
3,10000,10.466079,191.093523
3,10000,10.456621,191.266384
3,10000,10.487702,190.699539
3,10000,10.637684,188.010856
3,10000,10.541498,189.726349
4,10000,7.901805,253.106730
4,10000,7.928489,252.254870
4,10000,7.908979,252.877148
4,10000,7.892768,253.396522
4,10000,8.628473,231.790716
5,10000,6.184391,323.394823
5,10000,6.200068,322.577103
5,10000,6.177976,323.730630
5,10000,6.249440,320.028688
5,10000,6.168430,324.231613
6,10000,5.114916,391.013268
6,10000,5.209116,383.942270
6,10000,5.084375,393.362054
6,10000,5.077197,393.918153
6,10000,5.144570,388.759400
7,10000,4.343279,460.481635
7,10000,4.322330,462.713378
7,10000,4.296595,465.484919
7,10000,4.296009,465.548334
7,10000,4.428924,451.576939
8,10000,3.775008,529.800219
8,10000,3.770015,530.501849
8,10000,3.765616,531.121593
8,10000,3.930973,508.779854
8,10000,3.770854,530.383835
9,10000,3.352089,596.642862
9,10000,3.362113,594.864029
9,10000,3.358338,595.532702
9,10000,3.355285,596.074585
9,10000,3.372238,593.077909
10,10000,3.038062,658.314411
10,10000,3.044439,656.935462
10,10000,3.086713,647.938483
10,10000,3.046788,656.428934
10,10000,3.072803,650.871587
11,10000,2.790169,716.802416
11,10000,2.757633,725.259596
11,10000,2.811100,711.465211
11,10000,2.753866,726.251875
11,10000,2.758868,724.935070
12,10000,2.561177,780.891013
12,10000,2.590792,771.964797
12,10000,2.783478,718.525492
12,10000,2.572006,777.603229
12,10000,2.549852,784.359163
13,10000,2.416753,827.556671
13,10000,2.412494,829.017776
13,10000,2.414973,828.166674
13,10000,2.421862,825.810941
13,10000,2.414822,828.218395
14,10000,2.185836,914.981667
14,10000,2.187977,914.086336
14,10000,2.222426,899.917340
14,10000,2.202824,907.925523
14,10000,2.198869,909.558660
15,10000,2.057719,971.949781
15,10000,2.045600,977.708107
15,10000,2.064142,968.925639
15,10000,2.046134,977.453077
15,10000,2.053929,973.743303
16,10000,1.935859,1033.133141
16,10000,1.934908,1033.641068
16,10000,1.958479,1021.200721
16,10000,1.958733,1021.068128
16,10000,1.957298,1021.816761
17,10000,1.860763,1074.828005
17,10000,1.869440,1069.838906
17,10000,1.907752,1048.354500
17,10000,1.863639,1073.169343
17,10000,1.865472,1072.114847
18,10000,1.736626,1151.658357
18,10000,1.721398,1161.846533
18,10000,1.738036,1150.724081
18,10000,1.737389,1151.152520
18,10000,1.729920,1156.122944
19,10000,1.649659,1212.371601
19,10000,1.629520,1227.355445
19,10000,1.632339,1225.235802
19,10000,1.631810,1225.632737
19,10000,1.634838,1223.362919
20,10000,1.585754,1261.229500
20,10000,1.577844,1267.552539
20,10000,1.645487,1215.445296
20,10000,1.578683,1266.879156
20,10000,1.582489,1263.831970
21,10000,1.511788,1322.936894
21,10000,1.515273,1319.894246
21,10000,1.511771,1322.951377
21,10000,1.517140,1318.269538
21,10000,1.512938,1321.930851
22,10000,1.458245,1371.511753
22,10000,1.458719,1371.066158
22,10000,1.460000,1369.862845
22,10000,1.466871,1363.446382
22,10000,1.463346,1366.730704
23,10000,1.443878,1385.158345
23,10000,1.420671,1407.785285
23,10000,1.420808,1407.649843
23,10000,1.421963,1406.506616
23,10000,1.425751,1402.769101
24,10000,1.441451,1387.490800
24,10000,1.413190,1415.238248
24,10000,1.413001,1415.427609
24,10000,1.411932,1416.498537
24,10000,1.442960,1386.039898
