#,,,
#node:,THIN,,
#library:,openBLAS,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,14.623755,136.763776
1,10000,14.566585,137.300539
1,10000,14.615400,136.841959
1,10000,14.588610,137.093254
1,10000,14.589289,137.086871
2,10000,8.235622,242.847483
2,10000,8.208013,243.664335
2,10000,8.204987,243.754206
2,10000,8.177930,244.560665
2,10000,8.195191,244.045568
3,10000,5.189037,385.427961
3,10000,5.190081,385.350458
3,10000,5.185509,385.690217
3,10000,5.198418,384.732466
3,10000,5.246354,381.217128
4,10000,3.893370,513.693747
4,10000,3.897065,513.206689
4,10000,3.891114,513.991673
4,10000,3.897668,513.127286
4,10000,3.897184,513.191071
5,10000,3.110458,642.992175
5,10000,3.109025,643.288570
5,10000,3.115042,642.045913
5,10000,3.114538,642.149850
5,10000,3.109287,643.234239
6,10000,2.580854,774.937262
6,10000,2.580887,774.927496
6,10000,2.586235,773.324811
6,10000,2.584666,773.794345
6,10000,2.582890,774.326392
7,10000,2.248535,889.467997
7,10000,2.249809,888.964187
7,10000,2.250847,888.554593
7,10000,2.251494,888.298996
7,10000,2.250033,888.876035
8,10000,1.888792,1058.877639
8,10000,1.890967,1057.660030
8,10000,1.891455,1057.386931
8,10000,1.889601,1058.424707
8,10000,1.887525,1059.588452
9,10000,1.703649,1173.950935
9,10000,1.705524,1172.659884
9,10000,1.707464,1171.327978
9,10000,1.708325,1170.737507
9,10000,1.707889,1171.036545
10,10000,1.523917,1312.407563
10,10000,1.519351,1316.351921
10,10000,1.520889,1315.020068
10,10000,1.524288,1312.087872
10,10000,1.536946,1301.281976
11,10000,1.390637,1438.190246
11,10000,1.386282,1442.707421
11,10000,1.390340,1438.496874
11,10000,1.387127,1441.828959
11,10000,1.392172,1436.603695
12,10000,1.290462,1549.832787
12,10000,1.285012,1556.405598
12,10000,1.285306,1556.049573
12,10000,1.289618,1550.846555
12,10000,1.298399,1540.358633
13,10000,1.172107,1706.328181
13,10000,1.168396,1711.749070
13,10000,1.186803,1685.199353
13,10000,1.168180,1712.065256
13,10000,1.178132,1697.602950
14,10000,1.114235,1794.953184
14,10000,1.119246,1786.917982
14,10000,1.116608,1791.138207
14,10000,1.098970,1819.885395
14,10000,1.101539,1815.642289
15,10000,1.004412,1991.215571
15,10000,1.001989,1996.029673
15,10000,1.004538,1990.964941
15,10000,1.004405,1991.228095
15,10000,1.002083,1995.842676
16,10000,0.942495,2122.027224
16,10000,0.946578,2112.873742
16,10000,0.946180,2113.761599
16,10000,0.943364,2120.072835
16,10000,0.943149,2120.555124
17,10000,0.896354,2231.262178
17,10000,0.898575,2225.746422
17,10000,0.899028,2224.624213
17,10000,0.899760,2222.814148
17,10000,0.897812,2227.638346
18,10000,0.850643,2351.161953
18,10000,0.850285,2352.152718
18,10000,0.852275,2346.659608
18,10000,0.857686,2331.855124
18,10000,0.851961,2347.525725
19,10000,0.801711,2494.665040
19,10000,0.800745,2497.674119
19,10000,0.799419,2501.815799
19,10000,0.799417,2501.822065
19,10000,0.799044,2502.990983
20,10000,0.798606,2504.363098
20,10000,0.794879,2516.106576
20,10000,0.795540,2514.014177
20,10000,0.797962,2506.383568
20,10000,0.793963,2519.008165
21,10000,0.736517,2715.484105
21,10000,0.749257,2669.312454
21,10000,0.738147,2709.488522
21,10000,0.737935,2710.267491
21,10000,0.749025,2670.136541
22,10000,0.742695,2692.897049
22,10000,0.735849,2717.950748
22,10000,0.735084,2720.776349
22,10000,0.739205,2705.610290
22,10000,0.739945,2702.902798
23,10000,0.692150,2889.548153
23,10000,0.692419,2888.424111
23,10000,0.694244,2880.830104
23,10000,0.697715,2866.499365
23,10000,0.691749,2891.224019
24,10000,0.660356,3028.671545
24,10000,0.674730,2964.150472
24,10000,0.661275,3024.458535
24,10000,0.660217,3029.306017
24,10000,0.668015,2993.945307
