#,,,
#node:,THIN,,
#library:,BLIS,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,49.647557,40.283956
1,10000,49.638812,40.291053
1,10000,49.642496,40.288063
1,10000,49.436911,40.455602
1,10000,49.570206,40.346816
2,10000,25.584068,78.173652
2,10000,25.769230,77.611942
2,10000,25.715186,77.775055
2,10000,25.493362,78.451795
2,10000,25.714695,77.776541
3,10000,16.853001,118.673223
3,10000,16.829148,118.841431
3,10000,16.934339,118.103222
3,10000,17.034450,117.409130
3,10000,16.984345,117.755499
4,10000,13.343005,149.891269
4,10000,13.058993,153.151168
4,10000,13.148915,152.103802
4,10000,13.513761,147.997291
4,10000,12.953367,154.400015
5,10000,10.194449,196.185206
5,10000,10.119395,197.640282
5,10000,10.235877,195.391175
5,10000,10.163862,196.775590
5,10000,10.184046,196.385607
6,10000,8.701476,229.846061
6,10000,8.616914,232.101646
6,10000,8.583899,232.994363
6,10000,8.699911,229.887411
6,10000,8.779243,227.810079
7,10000,7.389162,270.666679
7,10000,7.182159,278.467788
7,10000,7.326556,272.979556
7,10000,7.358485,271.795089
7,10000,7.374160,271.217349
8,10000,7.190549,278.142896
8,10000,7.230741,276.596832
8,10000,7.054473,283.508065
8,10000,7.041480,284.031189
8,10000,7.263803,275.337875
9,10000,6.308057,317.054843
9,10000,6.251485,319.923969
9,10000,6.366369,314.150828
9,10000,6.333267,315.792771
9,10000,6.421401,311.458523
10,10000,5.299806,377.372290
10,10000,5.456718,366.520673
10,10000,5.355861,373.422704
10,10000,5.405982,369.960565
10,10000,5.338478,374.638583
11,10000,4.872032,410.506355
11,10000,5.030112,397.605432
11,10000,4.758234,420.324024
11,10000,4.757300,420.406501
11,10000,4.752889,420.796674
12,10000,4.668282,428.423110
12,10000,4.696022,425.892410
12,10000,4.731898,422.663378
12,10000,4.775075,418.841628
12,10000,4.663090,428.900138
13,10000,4.786648,417.828963
13,10000,4.806363,416.115095
13,10000,4.668703,428.384494
13,10000,4.812458,415.588075
13,10000,4.726102,423.181707
14,10000,3.893501,513.676490
14,10000,3.921755,509.975772
14,10000,3.865797,517.357753
14,10000,3.916978,510.597698
14,10000,3.836981,521.243161
15,10000,3.730371,536.139671
15,10000,3.738492,534.975075
15,10000,3.742289,534.432238
15,10000,3.769645,530.553995
15,10000,3.727439,536.561463
16,10000,3.507141,570.265089
16,10000,3.492738,572.616734
16,10000,3.499723,571.473741
16,10000,3.510563,569.709123
16,10000,3.515829,568.855813
17,10000,3.536251,565.570694
17,10000,3.484014,574.050526
17,10000,3.491484,572.822391
17,10000,3.485388,573.824271
17,10000,3.466110,577.015768
18,10000,3.143750,636.182845
18,10000,3.154809,633.952859
18,10000,3.150159,634.888489
18,10000,3.130883,638.797486
18,10000,3.151090,634.701089
19,10000,3.122131,640.588065
19,10000,3.132460,638.475843
19,10000,3.148537,635.215698
19,10000,3.213267,622.419519
19,10000,3.128632,639.257024
20,10000,2.806112,712.729901
20,10000,2.832145,706.178436
20,10000,2.847864,702.280747
20,10000,2.826183,707.668315
20,10000,2.813799,710.782782
21,10000,2.720580,735.137252
21,10000,2.757407,725.319190
21,10000,2.740637,729.757269
21,10000,2.731263,732.261937
21,10000,2.754232,726.155330
22,10000,2.540773,787.162079
22,10000,2.569228,778.443855
22,10000,2.556346,782.366819
22,10000,2.566808,779.177955
22,10000,2.574887,776.733084
23,10000,2.576062,776.378952
23,10000,2.558905,781.584162
23,10000,2.578023,775.788246
23,10000,2.616577,764.357495
23,10000,2.583593,774.115675
24,10000,2.409957,829.890382
24,10000,2.412959,828.857954
24,10000,2.435912,821.047827
24,10000,2.461509,812.509598
24,10000,2.455643,814.450558
