#,,,
#node:,THIN,,
#library:,BLIS,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,24.113206,82.942103
1,10000,24.111271,82.948759
1,10000,24.120481,82.917086
1,10000,24.116458,82.930919
1,10000,24.125562,82.899623
2,10000,12.662998,157.940487
2,10000,12.552691,159.328386
2,10000,12.440477,160.765544
2,10000,12.532694,159.582610
2,10000,12.558841,159.250361
3,10000,8.255640,242.258624
3,10000,8.323039,240.296843
3,10000,8.268262,241.888797
3,10000,8.272043,241.778229
3,10000,8.275415,241.679728
4,10000,6.192336,322.979873
4,10000,6.193027,322.943866
4,10000,6.191819,323.006873
4,10000,6.199600,322.601447
4,10000,6.192700,322.960913
5,10000,4.945254,404.428139
5,10000,4.941998,404.694658
5,10000,4.956972,403.472150
5,10000,4.978341,401.740267
5,10000,4.985872,401.133442
6,10000,4.124764,484.876217
6,10000,4.121305,485.283128
6,10000,4.126421,484.681498
6,10000,4.116967,485.794572
6,10000,4.118758,485.583320
7,10000,3.567452,560.624187
7,10000,3.568908,560.395533
7,10000,3.570515,560.143341
7,10000,3.558216,562.079361
7,10000,3.577078,559.115520
8,10000,3.253959,614.635921
8,10000,3.237792,617.704975
8,10000,3.242122,616.879837
8,10000,3.251140,615.168869
8,10000,3.211429,622.775675
9,10000,2.809566,711.853788
9,10000,2.820320,709.139427
9,10000,2.806829,712.547742
9,10000,2.817183,709.929131
9,10000,2.824555,708.076117
10,10000,2.597851,769.867221
10,10000,2.575164,776.649656
10,10000,2.590465,772.062298
10,10000,2.559397,781.434191
10,10000,2.583485,774.148195
11,10000,2.324147,860.530584
11,10000,2.315672,863.680082
11,10000,2.291732,872.702370
11,10000,2.313521,864.483089
11,10000,2.327556,859.270481
12,10000,2.050563,975.341953
12,10000,2.070105,966.134515
12,10000,2.072993,964.788705
12,10000,2.069567,966.385817
12,10000,2.069936,966.213255
13,10000,2.052039,974.640482
13,10000,2.052747,974.304385
13,10000,2.050372,975.432863
13,10000,2.106437,949.470657
13,10000,2.086349,958.612225
14,10000,1.772981,1128.043680
14,10000,1.772337,1128.453283
14,10000,1.772409,1128.408001
14,10000,1.782112,1122.263691
14,10000,1.770505,1129.621454
15,10000,1.667932,1199.089885
15,10000,1.675966,1193.341779
15,10000,1.664169,1201.801152
15,10000,1.678878,1191.271935
15,10000,1.668812,1198.457025
16,10000,1.566198,1276.977931
16,10000,1.563248,1279.387623
16,10000,1.566659,1276.601991
16,10000,1.553574,1287.354044
16,10000,1.566131,1277.032241
17,10000,1.573351,1271.171915
17,10000,1.560604,1281.554809
17,10000,1.562875,1279.692879
17,10000,1.562600,1279.917808
17,10000,1.560259,1281.838089
18,10000,1.403378,1425.133210
18,10000,1.403977,1424.524602
18,10000,1.398544,1430.058774
18,10000,1.398810,1429.787027
18,10000,1.400139,1428.429283
19,10000,1.423396,1405.090339
19,10000,1.400252,1428.314124
19,10000,1.413709,1414.718312
19,10000,1.415377,1413.050898
19,10000,1.403795,1424.709429
20,10000,1.269338,1575.625023
20,10000,1.258586,1589.085240
20,10000,1.266364,1579.324150
20,10000,1.257143,1590.908637
20,10000,1.259629,1587.769585
21,10000,1.228706,1627.728473
21,10000,1.214109,1647.298399
21,10000,1.227329,1629.554554
21,10000,1.214532,1646.724312
21,10000,1.234195,1620.489033
22,10000,1.205522,1659.031824
22,10000,1.194946,1673.716458
22,10000,1.204149,1660.923814
22,10000,1.197429,1670.245689
22,10000,1.199432,1667.455698
23,10000,1.184245,1688.840305
23,10000,1.194011,1675.026746
23,10000,1.205313,1659.320296
23,10000,1.173286,1704.613581
23,10000,1.195809,1672.508187
24,10000,1.118555,1788.021539
24,10000,1.110513,1800.969253
24,10000,1.120882,1784.309542
24,10000,1.147391,1743.084997
24,10000,1.121112,1783.943704
