#,,,
#node:,THIN,,
#library:,MKL,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,29.925843,66.831868
1,10000,29.854576,66.991404
1,10000,29.858586,66.982408
1,10000,29.861360,66.976187
1,10000,29.854497,66.991583
2,10000,15.289680,130.807184
2,10000,15.263156,131.034501
2,10000,15.292734,130.781059
2,10000,15.287748,130.823713
2,10000,14.921425,134.035455
3,10000,9.804087,203.996555
3,10000,9.926084,201.489329
3,10000,9.926164,201.487701
3,10000,9.925703,201.497063
3,10000,9.925424,201.502731
4,10000,7.447152,268.559025
4,10000,7.441919,268.747871
4,10000,7.440990,268.781423
4,10000,7.441286,268.770755
4,10000,7.441530,268.761947
5,10000,6.063856,329.823115
5,10000,6.034052,331.452236
5,10000,6.068505,329.570473
5,10000,5.971309,334.934936
5,10000,5.972306,334.879051
6,10000,4.879489,409.878990
6,10000,4.880677,409.779209
6,10000,4.880332,409.808194
6,10000,4.878561,409.956931
6,10000,4.883204,409.567133
7,10000,4.228290,473.004439
7,10000,4.231572,472.637614
7,10000,4.233463,472.426493
7,10000,4.230728,472.731837
7,10000,4.229957,472.817996
8,10000,3.737071,535.178547
8,10000,3.760910,531.786187
8,10000,3.751027,533.187363
8,10000,3.739413,534.843297
8,10000,3.738516,534.971569
9,10000,3.287175,608.425096
9,10000,3.285706,608.697173
9,10000,3.288011,608.270507
9,10000,3.288640,608.154145
9,10000,3.285941,608.653572
10,10000,2.946387,678.797524
10,10000,2.947309,678.585138
10,10000,2.948118,678.398806
10,10000,2.948538,678.302197
10,10000,2.948383,678.337953
11,10000,2.675548,747.510481
11,10000,2.677510,746.962592
11,10000,2.674550,747.789246
11,10000,2.676060,747.367335
11,10000,2.675688,747.471407
12,10000,2.439883,819.711434
12,10000,2.440412,819.533618
12,10000,2.440184,819.610322
12,10000,2.439413,819.869413
12,10000,2.439232,819.930127
13,10000,2.281059,876.785862
13,10000,2.277939,877.986545
13,10000,2.280610,876.958182
13,10000,2.280927,876.836438
13,10000,2.280147,877.136411
14,10000,2.116521,944.947119
14,10000,2.114008,946.070226
14,10000,2.114449,945.872968
14,10000,2.117692,944.424185
14,10000,2.115546,945.382467
15,10000,1.978469,1010.882577
15,10000,1.978279,1010.979737
15,10000,1.978441,1010.896924
15,10000,1.977902,1011.172288
15,10000,1.976468,1011.906161
16,10000,1.861730,1074.269518
16,10000,1.863971,1072.978140
16,10000,1.867905,1070.718012
16,10000,1.862888,1073.602053
16,10000,1.864350,1072.759906
17,10000,1.760731,1135.892122
17,10000,1.762596,1134.689712
17,10000,1.763323,1134.222007
17,10000,1.768221,1131.080509
17,10000,1.765637,1132.735948
18,10000,1.665709,1200.690089
18,10000,1.662457,1203.038895
18,10000,1.660582,1204.396766
18,10000,1.659733,1205.013251
18,10000,1.660576,1204.401466
19,10000,1.584480,1262.244063
19,10000,1.581591,1264.549632
19,10000,1.580640,1265.310095
19,10000,1.582173,1264.084664
19,10000,1.584666,1262.095351
20,10000,1.512851,1322.007450
20,10000,1.514048,1320.962203
20,10000,1.515053,1320.085752
20,10000,1.515873,1319.371847
20,10000,1.515703,1319.519847
21,10000,1.443024,1385.978452
21,10000,1.437883,1390.933561
21,10000,1.436429,1392.341666
21,10000,1.440401,1388.501782
21,10000,1.438226,1390.601958
22,10000,1.379979,1449.297630
22,10000,1.394846,1433.850150
22,10000,1.381408,1447.798211
22,10000,1.376091,1453.392731
22,10000,1.382523,1446.630213
23,10000,1.331356,1502.228133
23,10000,1.328806,1505.110963
23,10000,1.326553,1507.666605
23,10000,1.338453,1494.261988
23,10000,1.326161,1508.112988
24,10000,1.276514,1566.766451
24,10000,1.274652,1569.055934
24,10000,1.274448,1569.306307
24,10000,1.275092,1568.513784
24,10000,1.274662,1569.043243
