#,,,
#node:,THIN,,
#library:,MKL,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,15.096235,132.483367
1,10000,15.091029,132.529068
1,10000,15.084267,132.588479
1,10000,15.086668,132.567380
1,10000,15.083692,132.593533
2,10000,7.765998,257.532908
2,10000,7.761169,257.693133
2,10000,7.739894,258.401461
2,10000,7.740229,258.390284
2,10000,7.765989,257.533190
3,10000,5.061673,395.126253
3,10000,5.062368,395.072061
3,10000,5.060281,395.234981
3,10000,5.061082,395.172406
3,10000,5.064329,394.919030
4,10000,3.786607,528.177366
4,10000,3.786778,528.153503
4,10000,3.786837,528.145220
4,10000,3.786793,528.151333
4,10000,3.787774,528.014607
5,10000,3.111140,642.851237
5,10000,3.114190,642.221581
5,10000,3.112523,642.565632
5,10000,3.109406,643.209760
5,10000,3.113821,642.297691
6,10000,2.502877,799.080397
6,10000,2.502053,799.343582
6,10000,2.501473,799.528938
6,10000,2.496754,801.040164
6,10000,2.502727,799.128211
7,10000,2.193272,911.879595
7,10000,2.191936,912.435364
7,10000,2.189917,913.276640
7,10000,2.192221,912.316870
7,10000,2.192442,912.224872
8,10000,1.936052,1033.030194
8,10000,1.939772,1031.049024
8,10000,1.949589,1025.857355
8,10000,1.948163,1026.607900
8,10000,1.940319,1030.758173
9,10000,1.699471,1176.836447
9,10000,1.699606,1176.743172
9,10000,1.699450,1176.851222
9,10000,1.699940,1176.511767
9,10000,1.696689,1178.766276
10,10000,1.516717,1318.637600
10,10000,1.518120,1317.418842
10,10000,1.518368,1317.203551
10,10000,1.520593,1315.276587
10,10000,1.519478,1316.241177
11,10000,1.376243,1453.231538
11,10000,1.374280,1455.307154
11,10000,1.374378,1455.203493
11,10000,1.374561,1455.010292
11,10000,1.373997,1455.607645
12,10000,1.246644,1604.307574
12,10000,1.247294,1603.471791
12,10000,1.247363,1603.382775
12,10000,1.247558,1603.132011
12,10000,1.247388,1603.350040
13,10000,1.169242,1710.510535
13,10000,1.167004,1713.790820
13,10000,1.165767,1715.608680
13,10000,1.169037,1710.809359
13,10000,1.165841,1715.499994
14,10000,1.085254,1842.887348
14,10000,1.086753,1840.344264
14,10000,1.083519,1845.837196
14,10000,1.084184,1844.704738
14,10000,1.085125,1843.104838
15,10000,1.006940,1986.216145
15,10000,1.006623,1986.841893
15,10000,1.007238,1985.628497
15,10000,1.006863,1986.366814
15,10000,1.007120,1985.859988
16,10000,0.949365,2106.672240
16,10000,0.948877,2107.754699
16,10000,0.948218,2109.220333
16,10000,0.948944,2107.605513
16,10000,0.946950,2112.044774
17,10000,0.895138,2234.293504
17,10000,0.895848,2232.521247
17,10000,0.896716,2230.361747
17,10000,0.895125,2234.323702
17,10000,0.895231,2234.059541
18,10000,0.846976,2361.340858
18,10000,0.849291,2354.906085
18,10000,0.847620,2359.549183
18,10000,0.846528,2362.590577
18,10000,0.848510,2357.071662
19,10000,0.804216,2486.893221
19,10000,0.807266,2477.499243
19,10000,0.807659,2476.292112
19,10000,0.804622,2485.639334
19,10000,0.807442,2476.957312
20,10000,0.768517,2602.416176
20,10000,0.767686,2605.233388
20,10000,0.769040,2600.645261
20,10000,0.768452,2602.634566
20,10000,0.767508,2605.835793
21,10000,0.733575,2726.373598
21,10000,0.733517,2726.590457
21,10000,0.735634,2718.744578
21,10000,0.735318,2719.913015
21,10000,0.732645,2729.836335
22,10000,0.702682,2846.236862
22,10000,0.704549,2838.695384
22,10000,0.703051,2844.745230
22,10000,0.703754,2841.903277
22,10000,0.703754,2841.901916
23,10000,0.676827,2954.963784
23,10000,0.676894,2954.672144
23,10000,0.676208,2957.671780
23,10000,0.675900,2959.017129
23,10000,0.675797,2959.469513
24,10000,0.651493,3069.869692
24,10000,0.647563,3088.501990
24,10000,0.650726,3073.492256
24,10000,0.649579,3078.918870
24,10000,0.649064,3081.359186
