#,,,
#node:,THIN,,
#library:,openBLAS,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,29.005498,68.952446
1,10000,29.009577,68.942750
1,10000,29.013576,68.933248
1,10000,29.010487,68.940588
1,10000,29.025257,68.905505
2,10000,14.770300,135.406865
2,10000,14.778772,135.329243
2,10000,14.768329,135.424935
2,10000,14.779614,135.321532
2,10000,14.764780,135.457483
3,10000,9.970981,200.582074
3,10000,9.783600,204.423735
3,10000,9.785679,204.380297
3,10000,9.785946,204.374718
3,10000,9.785238,204.389519
4,10000,7.386421,270.767120
4,10000,7.378548,271.056032
4,10000,7.382407,270.914355
4,10000,7.378273,271.066149
4,10000,7.382461,270.912356
5,10000,6.334132,315.749655
5,10000,6.154155,324.983703
5,10000,6.227070,321.178340
5,10000,6.150210,325.192148
5,10000,6.131629,326.177582
6,10000,4.875591,410.206706
6,10000,4.892609,408.779883
6,10000,4.894783,408.598288
6,10000,4.872057,410.504227
6,10000,4.873427,410.388852
7,10000,4.262637,469.193150
7,10000,4.247742,470.838429
7,10000,4.248841,470.716655
7,10000,4.260842,469.390764
7,10000,4.253830,470.164527
8,10000,3.772108,530.207454
8,10000,3.803055,525.893067
8,10000,3.798105,526.578361
8,10000,3.777757,529.414669
8,10000,3.824136,522.993894
9,10000,3.389941,589.980847
9,10000,3.397927,588.594192
9,10000,3.345389,597.837796
9,10000,3.369658,593.532124
9,10000,3.342082,598.429296
10,10000,3.031182,659.808712
10,10000,3.019191,662.429209
10,10000,3.027613,660.586366
10,10000,3.047956,656.177406
10,10000,3.019741,662.308410
11,10000,2.714793,736.704328
11,10000,2.708098,738.525705
11,10000,2.703057,739.902882
11,10000,2.704684,739.457951
11,10000,2.723164,734.439865
12,10000,2.480137,806.407115
12,10000,2.492249,802.488137
12,10000,2.477689,807.203911
12,10000,2.485675,804.610288
12,10000,2.480654,806.239019
13,10000,2.346036,852.501829
13,10000,2.320626,861.836479
13,10000,2.342916,853.636946
13,10000,2.341841,854.028973
13,10000,2.343148,853.552682
14,10000,2.150034,930.217715
14,10000,2.154702,928.202775
14,10000,2.155040,928.056894
14,10000,2.155421,927.892997
14,10000,2.157750,926.891505
15,10000,2.027550,986.412213
15,10000,2.026575,986.886721
15,10000,2.026274,987.033436
15,10000,2.026315,987.013151
15,10000,2.026893,986.731868
16,10000,1.909432,1047.432136
16,10000,1.918609,1042.422128
16,10000,1.915090,1044.337240
16,10000,1.912990,1045.483860
16,10000,1.915231,1044.260369
17,10000,1.830408,1092.652744
17,10000,1.852494,1079.625534
17,10000,1.834250,1090.363724
17,10000,1.832510,1091.399074
17,10000,1.863284,1073.373922
18,10000,1.724738,1159.596550
18,10000,1.712120,1168.142140
18,10000,1.721613,1161.701178
18,10000,1.713532,1167.179896
18,10000,1.720342,1162.559669
19,10000,1.625126,1230.673846
19,10000,1.619366,1235.050892
19,10000,1.619572,1234.894399
19,10000,1.621770,1233.220261
19,10000,1.628111,1228.417724
20,10000,1.566085,1277.070011
20,10000,1.564766,1278.146344
20,10000,1.562173,1280.268142
20,10000,1.558692,1283.127369
20,10000,1.571059,1273.027040
21,10000,1.507652,1326.565928
21,10000,1.516979,1318.410068
21,10000,1.531508,1305.902248
21,10000,1.500854,1332.574824
21,10000,1.507171,1326.989328
22,10000,1.474110,1356.751153
22,10000,1.462647,1367.383899
22,10000,1.482134,1349.405925
22,10000,1.463220,1366.848177
22,10000,1.466025,1364.232862
23,10000,1.430902,1397.719832
23,10000,1.434748,1393.973482
23,10000,1.451433,1377.948373
23,10000,1.448824,1380.430320
23,10000,1.423216,1405.268231
24,10000,1.431266,1397.364502
24,10000,1.418604,1409.836936
24,10000,1.413272,1415.155767
24,10000,1.415695,1412.733623
24,10000,1.421901,1406.567206
