#,,,
#node:,THIN,,
#library:,openBLAS,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
1,10000,14.593755,137.044918
1,10000,14.578762,137.185859
1,10000,14.570837,137.260473
1,10000,14.658149,136.442876
1,10000,14.594059,137.042067
2,10000,7.675226,260.578658
2,10000,7.675303,260.576031
2,10000,7.597163,263.256155
2,10000,7.606012,262.949873
2,10000,7.593747,263.374582
3,10000,4.950556,403.995032
3,10000,4.958250,403.368131
3,10000,4.954511,403.672550
3,10000,4.954466,403.676209
3,10000,4.966984,402.658873
4,10000,3.729715,536.234021
4,10000,3.747069,533.750570
4,10000,3.714361,538.450648
4,10000,3.716330,538.165310
4,10000,3.758239,532.164179
5,10000,3.110038,643.078944
5,10000,3.109828,643.122443
5,10000,3.098266,645.522391
5,10000,3.104608,644.203799
5,10000,3.109522,643.185606
6,10000,2.480434,806.310418
6,10000,2.479887,806.488469
6,10000,2.478679,806.881367
6,10000,2.476185,807.694085
6,10000,2.474836,808.134512
7,10000,2.198630,909.657235
7,10000,2.202393,908.103049
7,10000,2.196727,910.445427
7,10000,2.195578,910.921711
7,10000,2.202989,907.857314
8,10000,1.890922,1057.684986
8,10000,1.893287,1056.363824
8,10000,1.898242,1053.606463
8,10000,1.896255,1054.710229
8,10000,1.899541,1052.886076
9,10000,1.704003,1173.706788
9,10000,1.700105,1176.397766
9,10000,1.702218,1174.937890
9,10000,1.704058,1173.668819
9,10000,1.699803,1176.607199
10,10000,1.517930,1317.584159
10,10000,1.513569,1321.380503
10,10000,1.520454,1315.396595
10,10000,1.515401,1319.782790
10,10000,1.519813,1315.951759
11,10000,1.387779,1441.151720
11,10000,1.376774,1452.671677
11,10000,1.373604,1456.023572
11,10000,1.379844,1449.439059
11,10000,1.380509,1448.740791
12,10000,1.267193,1578.291232
12,10000,1.263516,1582.884728
12,10000,1.272085,1572.222056
12,10000,1.263566,1582.822323
12,10000,1.259823,1587.524183
13,10000,1.179767,1695.250553
13,10000,1.180568,1694.099659
13,10000,1.177214,1698.926572
13,10000,1.180796,1693.772865
13,10000,1.180532,1694.152106
14,10000,1.078571,1854.305022
14,10000,1.079652,1852.449286
14,10000,1.076002,1858.732373
14,10000,1.077430,1856.269167
14,10000,1.081681,1848.974751
15,10000,0.984384,2031.726568
15,10000,0.990875,2018.419067
15,10000,0.991439,2017.268968
15,10000,0.985188,2030.068500
15,10000,0.986865,2026.618971
16,10000,0.940369,2126.825194
16,10000,0.947453,2110.921630
16,10000,0.939848,2128.003820
16,10000,0.944775,2116.905519
16,10000,0.943783,2119.130673
17,10000,0.905861,2207.844457
17,10000,0.894405,2236.124591
17,10000,0.891962,2242.248888
17,10000,0.892924,2239.832108
17,10000,0.893068,2239.470806
18,10000,0.843296,2371.645918
18,10000,0.843091,2372.223896
18,10000,0.845793,2364.643801
18,10000,0.857191,2333.201645
18,10000,0.845371,2365.825585
19,10000,0.793002,2522.060517
19,10000,0.793872,2519.297999
19,10000,0.793905,2519.193102
19,10000,0.793234,2521.323612
19,10000,0.795099,2515.408588
20,10000,0.774497,2582.320251
20,10000,0.774499,2582.313706
20,10000,0.774017,2583.922642
20,10000,0.777234,2573.228175
20,10000,0.774361,2582.774931
21,10000,0.734102,2724.416468
21,10000,0.730490,2737.889800
21,10000,0.734315,2723.627716
21,10000,0.733766,2725.663133
21,10000,0.735006,2721.067341
22,10000,0.741067,2698.813082
22,10000,0.729226,2742.634629
22,10000,0.726256,2753.849033
22,10000,0.732329,2731.011601
22,10000,0.734966,2721.214259
23,10000,0.690789,2895.240965
23,10000,0.688499,2904.868515
23,10000,0.691550,2892.053956
23,10000,0.699464,2859.331622
23,10000,0.697427,2867.681714
24,10000,0.660126,3029.726290
24,10000,0.665141,3006.882527
24,10000,0.660696,3027.111308
24,10000,0.659765,3031.380994
24,10000,0.660168,3029.532533
