#,,,
#node:,THIN,,
#library:,BLIS,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.067719,236.271423
12,2000,0.042451,376.905422
12,2000,0.063784,250.848491
12,2000,0.054068,295.926011
12,2000,0.054037,296.090853
12,2250,0.081273,280.306754
12,2250,0.072523,314.125563
12,2250,0.071521,318.524607
12,2250,0.071361,319.239510
12,2250,0.071472,318.741626
12,2500,0.086963,359.349745
12,2500,0.100022,312.430016
12,2500,0.101736,307.168905
12,2500,0.086735,360.294661
12,2500,0.091226,342.557221
12,2750,0.124739,333.446118
12,2750,0.111021,374.646115
12,2750,0.110434,376.640240
12,2750,0.096428,431.346513
12,2750,0.098785,421.051657
12,3000,0.136363,396.001653
12,3000,0.146912,367.566819
12,3000,0.148748,363.030806
12,3000,0.136279,396.246254
12,3000,0.146929,367.523988
12,3250,0.169180,405.818687
12,3250,0.179237,383.047575
12,3250,0.178511,384.604521
12,3250,0.183862,373.411980
12,3250,0.168906,406.476386
12,3500,0.205198,417.888886
12,3500,0.204944,418.407798
12,3500,0.215483,397.942592
12,3500,0.206267,415.723693
12,3500,0.216008,396.976672
12,3750,0.258997,407.219268
12,3750,0.231718,455.159545
12,3750,0.260109,405.479509
12,3750,0.247081,426.858373
12,3750,0.234350,450.048470
12,4000,0.296193,432.150253
12,4000,0.282569,452.986630
12,4000,0.296748,431.342022
12,4000,0.308871,414.412629
12,4000,0.311088,411.458817
12,4250,0.349469,439.327764
12,4250,0.359737,426.788019
12,4250,0.358829,427.867430
12,4250,0.362666,423.340589
12,4250,0.363330,422.566445
12,4500,0.410934,443.501735
12,4500,0.424997,428.826488
12,4500,0.412906,441.383512
12,4500,0.414211,439.993265
12,4500,0.420902,432.998880
12,4750,0.478479,447.968659
12,4750,0.494804,433.189606
12,4750,0.479266,447.233002
12,4750,0.479876,446.665093
12,4750,0.493209,434.589902
12,5000,0.571561,437.398909
12,5000,0.545031,458.689498
12,5000,0.570866,437.930814
12,5000,0.571686,437.303303
12,5000,0.570509,438.205490
12,5250,0.641164,451.376221
12,5250,0.650845,444.661998
12,5250,0.662185,437.047507
12,5250,0.649722,445.431222
12,5250,0.639143,452.803643
12,5500,0.749131,444.181064
12,5500,0.728345,456.857845
12,5500,0.740243,449.514359
12,5500,0.742177,448.342939
12,5500,0.741855,448.537970
12,5750,0.836663,454.446922
12,5750,0.846288,449.278365
12,5750,0.845632,449.626690
12,5750,0.844857,450.039252
12,5750,0.867572,438.256032
12,6000,0.955374,452.179086
12,6000,0.956157,451.808763
12,6000,0.967483,446.519573
12,6000,0.955389,452.171874
12,6000,0.948250,455.576169
12,6250,1.107701,440.805983
12,6250,1.114107,438.271330
12,6250,1.117593,436.904299
12,6250,1.116737,437.239157
12,6250,1.108928,440.318295
12,6500,1.250292,439.297423
12,6500,1.250402,439.258777
12,6500,1.266040,433.833078
12,6500,1.244926,441.190958
12,6500,1.256030,437.290514
12,6750,1.399901,439.383802
12,6750,1.391334,442.089245
12,6750,1.378125,446.326564
12,6750,1.422096,432.526035
12,6750,1.395866,440.653850
12,7000,1.544237,444.232423
12,7000,1.568300,437.416212
12,7000,1.561634,439.283517
12,7000,1.551344,442.197180
12,7000,1.559353,439.925952
12,7250,1.728310,440.983410
12,7250,1.732324,439.961719
12,7250,1.736319,438.949506
12,7250,1.721363,442.763211
12,7250,1.735966,439.038814
12,7500,1.943040,434.242172
12,7500,1.940114,434.897145
12,7500,1.933242,436.442922
12,7500,1.927095,437.835198
12,7500,1.952445,432.150415
12,7750,2.178944,427.256826
12,7750,2.171241,428.772579
12,7750,2.190633,424.977004
12,7750,2.182321,426.595685
12,7750,2.175772,427.879700
12,8000,2.408096,425.232178
12,8000,2.407853,425.275142
12,8000,2.418315,423.435396
12,8000,2.407110,425.406378
12,8000,2.406803,425.460643
12,8250,2.687406,417.886758
12,8250,2.664190,421.528159
12,8250,2.667627,420.985112
12,8250,2.687211,417.917026
12,8250,2.686653,418.003897
12,8500,2.924399,420.000883
12,8500,2.905755,422.695670
12,8500,2.898875,423.698818
12,8500,2.904471,422.882485
12,8500,2.909168,422.199760
12,8750,3.259341,411.078148
12,8750,3.277723,408.772770
12,8750,3.260824,410.891125
12,8750,3.259373,411.074082
12,8750,3.289661,407.289332
12,9000,3.556891,409.908591
12,9000,3.581554,407.085881
12,9000,3.540883,411.761747
12,9000,3.569156,408.499923
12,9000,3.585571,406.629762
12,9250,3.844998,411.679353
12,9250,3.857927,410.299642
12,9250,3.851576,410.976234
12,9250,3.860398,410.037055
12,9250,3.871940,408.814721
12,9500,3.988350,429.939697
12,9500,3.982044,430.620534
12,9500,3.988688,429.903245
12,9500,3.973679,431.527049
12,9500,4.079603,420.322724
12,9750,4.349660,426.175556
12,9750,4.357788,425.380695
12,9750,4.346441,426.491186
12,9750,4.361410,425.027375
12,9750,4.340544,427.070600
12,10000,4.730303,422.805883
12,10000,4.735655,422.328021
12,10000,4.829496,414.121894
12,10000,4.707959,424.812569
12,10000,4.710885,424.548667
12,10250,5.013605,429.587368
12,10250,5.041959,427.171479
12,10250,5.033860,427.858790
12,10250,5.022841,428.797414
