#,,,
#node:,THIN,,
#library:,BLIS,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.018195,879.346030
12,2000,0.018719,854.728159
12,2000,0.018795,851.310755
12,2000,0.019416,824.047732
12,2000,0.022979,696.301430
12,2250,0.023052,988.267248
12,2250,0.023586,965.861960
12,2250,0.023107,985.920418
12,2250,0.023482,970.162869
12,2250,0.023827,956.129013
12,2500,0.037434,834.791971
12,2500,0.027513,1135.832315
12,2500,0.029338,1065.179147
12,2500,0.030013,1041.205343
12,2500,0.029462,1060.701737
12,2750,0.039942,1041.354678
12,2750,0.035069,1186.065830
12,2750,0.034950,1190.079948
12,2750,0.039363,1056.670354
12,2750,0.038023,1093.921802
12,3000,0.047210,1143.825267
12,3000,0.059101,913.696710
12,3000,0.047037,1148.021710
12,3000,0.046971,1149.642564
12,3000,0.044924,1202.028383
12,3250,0.058943,1164.797595
12,3250,0.061057,1124.459396
12,3250,0.061109,1123.499628
12,3250,0.057922,1185.315831
12,3250,0.061331,1119.436416
12,3500,0.073087,1173.264676
12,3500,0.076351,1123.106588
12,3500,0.072864,1176.844272
12,3500,0.077995,1099.433313
12,3500,0.076304,1123.796579
12,3750,0.089848,1173.860768
12,3750,0.090059,1171.108548
12,3750,0.102008,1033.921233
12,3750,0.090414,1166.514219
12,3750,0.090201,1169.261026
12,4000,0.115802,1105.336133
12,4000,0.104143,1229.078208
12,4000,0.115035,1112.707402
12,4000,0.106695,1199.684832
12,4000,0.106663,1200.045144
12,4250,0.125513,1223.233597
12,4250,0.125190,1226.382945
12,4250,0.125445,1223.890219
12,4250,0.124627,1231.930199
12,4250,0.125169,1226.590600
12,4500,0.142456,1279.346255
12,4500,0.146009,1248.212813
12,4500,0.146184,1246.714471
12,4500,0.144592,1260.447083
12,4500,0.156717,1162.927332
12,4750,0.168536,1271.797742
12,4750,0.169406,1265.266250
12,4750,0.169649,1263.451084
12,4750,0.177281,1209.062944
12,4750,0.169831,1262.096727
12,5000,0.196376,1273.068018
12,5000,0.195264,1280.319784
12,5000,0.195690,1277.528092
12,5000,0.208041,1201.683826
12,5000,0.195288,1280.161049
12,5250,0.226029,1280.392704
12,5250,0.224410,1289.629799
12,5250,0.221624,1305.841252
12,5250,0.235282,1230.038137
12,5250,0.232853,1242.871065
12,5500,0.253714,1311.518593
12,5500,0.254627,1306.812849
12,5500,0.254446,1307.742064
12,5500,0.266182,1250.083885
12,5500,0.253727,1311.446444
12,5750,0.289514,1313.298088
12,5750,0.290366,1309.447874
12,5750,0.289050,1315.409353
12,5750,0.285979,1329.533417
12,5750,0.296548,1282.149593
12,6000,0.332046,1301.026261
12,6000,0.334988,1289.596543
12,6000,0.331494,1303.191326
12,6000,0.336160,1285.102462
12,6000,0.334088,1293.072345
12,6250,0.387683,1259.484849
12,6250,0.387444,1260.262829
12,6250,0.386290,1264.027893
12,6250,0.387236,1260.938327
12,6250,0.396121,1232.655464
12,6500,0.425202,1291.739699
12,6500,0.429503,1278.802152
12,6500,0.427245,1285.562157
12,6500,0.427874,1283.673778
12,6500,0.426067,1289.116546
12,6750,0.485011,1268.204546
12,6750,0.494858,1242.970886
12,6750,0.482301,1275.332302
12,6750,0.489855,1255.664829
12,6750,0.481497,1277.462286
12,7000,0.532838,1287.446140
12,7000,0.533174,1286.633371
12,7000,0.530690,1292.655697
12,7000,0.532367,1288.585904
