#,,,
#node:,THIN,,
#library:,MKL,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.391673,40.850451
12,2000,0.017208,929.817978
12,2000,0.017797,899.018126
12,2000,0.016801,952.348470
12,2000,0.017466,916.062090
12,2250,0.021060,1081.741402
12,2250,0.021108,1079.274676
12,2250,0.020855,1092.386151
12,2250,0.021552,1057.049909
12,2250,0.021031,1083.227279
12,2500,0.027445,1138.660501
12,2500,0.027559,1133.933596
12,2500,0.028160,1109.731493
12,2500,0.027404,1140.353963
12,2500,0.027619,1131.449402
12,2750,0.034195,1216.381625
12,2750,0.034414,1208.623698
12,2750,0.035162,1182.930927
12,2750,0.034654,1200.273092
12,2750,0.034330,1211.584206
12,3000,0.042111,1282.326105
12,3000,0.042133,1281.663801
12,3000,0.041847,1290.429608
12,3000,0.041805,1291.724835
12,3000,0.041687,1295.374666
12,3250,0.051371,1336.485933
12,3250,0.051653,1329.193764
12,3250,0.051392,1335.930764
12,3250,0.051498,1333.171555
12,3250,0.051417,1335.281623
12,3500,0.064631,1326.753030
12,3500,0.064581,1327.784192
12,3500,0.064947,1320.307592
12,3500,0.064511,1329.225605
12,3500,0.065258,1314.011032
12,3750,0.075306,1400.529881
12,3750,0.075239,1401.775570
12,3750,0.075935,1388.939645
12,3750,0.075540,1396.203146
12,3750,0.075854,1390.414972
12,4000,0.089484,1430.421526
12,4000,0.089493,1430.282420
12,4000,0.089491,1430.305562
12,4000,0.089617,1428.307813
12,4000,0.089635,1428.010663
12,4250,0.109886,1397.184049
12,4250,0.110356,1391.237805
12,4250,0.110990,1383.294133
12,4250,0.110699,1386.931195
12,4250,0.110247,1392.609266
12,4500,0.125927,1447.270791
12,4500,0.125303,1454.468829
12,4500,0.125460,1452.659860
12,4500,0.125792,1448.815161
12,4500,0.125803,1448.690287
12,4750,0.146821,1459.896568
12,4750,0.146570,1462.403372
12,4750,0.146843,1459.677887
12,4750,0.146653,1461.573073
12,4750,0.146371,1464.390421
12,5000,0.173376,1441.955570
12,5000,0.172969,1445.348881
12,5000,0.173078,1444.431559
12,5000,0.173458,1441.268684
12,5000,0.173016,1444.948892
12,5250,0.196370,1473.783291
12,5250,0.195861,1477.612276
12,5250,0.195800,1478.071385
12,5250,0.196015,1476.451194
12,5250,0.196053,1476.159697
12,5500,0.220812,1506.940015
12,5500,0.222824,1493.327749
12,5500,0.221514,1502.163958
12,5500,0.222305,1496.817806
12,5500,0.221604,1501.554582
12,5750,0.253486,1499.959522
12,5750,0.254798,1492.233992
12,5750,0.253992,1496.968697
12,5750,0.254402,1494.560600
12,5750,0.254015,1496.834697
12,6000,0.285413,1513.594401
12,6000,0.286881,1505.848890
12,6000,0.286031,1510.323475
12,6000,0.286415,1508.301550
12,6000,0.286434,1508.202864
12,6250,0.318679,1532.204123
12,6250,0.319083,1530.265537
12,6250,0.318760,1531.812703
12,6250,0.317570,1537.555066
12,6250,0.318772,1531.758288
12,6500,0.353179,1555.160586
12,6500,0.352597,1557.725380
12,6500,0.353691,1552.908594
12,6500,0.353593,1553.338656
12,6500,0.353184,1555.140225
12,6750,0.397290,1548.223570
12,6750,0.398080,1545.152676
12,6750,0.396820,1550.058147
12,6750,0.398607,1543.110065
12,6750,0.398153,1544.867371
12,7000,0.440940,1555.765912
12,7000,0.441550,1553.617406
12,7000,0.441437,1554.017001
12,7000,0.442998,1548.538981
12,7000,0.442758,1549.378930
12,7250,0.489567,1556.796771
12,7250,0.488604,1559.865606
12,7250,0.489840,1555.930000
12,7250,0.488093,1561.497294
12,7250,0.488040,1561.666533
12,7500,0.538344,1567.306074
12,7500,0.537970,1568.394654
12,7500,0.539295,1564.542127
12,7500,0.539213,1564.780459
12,7500,0.536909,1571.494247
12,7750,0.600807,1549.531169
12,7750,0.600547,1550.201025
12,7750,0.598464,1555.597551
12,7750,0.598915,1554.424472
12,7750,0.598484,1555.545860
12,8000,0.649468,1576.675826
12,8000,0.648073,1580.069351
12,8000,0.647459,1581.566988
12,8000,0.648747,1578.427836
12,8000,0.649032,1577.734000
12,8250,0.715742,1569.044852
12,8250,0.715587,1569.384735
12,8250,0.716209,1568.021577
12,8250,0.715738,1569.053550
12,8250,0.715424,1569.742470
12,8500,0.781778,1571.097202
12,8500,0.781818,1571.018326
12,8500,0.783261,1568.122942
12,8500,0.782627,1569.394631
12,8500,0.782249,1570.151386
12,8750,0.847052,1581.773150
12,8750,0.845888,1583.949332
12,8750,0.846771,1582.296849
12,8750,0.847669,1580.620559
12,8750,0.850079,1576.139850
12,9000,0.921883,1581.546174
12,9000,0.921332,1582.491574
12,9000,0.922930,1579.750752
12,9000,0.921768,1581.743553
12,9000,0.921545,1582.125432
12,9250,0.995623,1589.864590
12,9250,0.995119,1590.670032
12,9250,0.997039,1587.607082
12,9250,0.996015,1589.238984
12,9250,0.997359,1587.097509
12,9500,1.097236,1562.790028
12,9500,1.099474,1559.609539
12,9500,1.100447,1558.230655
12,9500,1.097639,1562.216928
12,9500,1.098895,1560.430869
12,9750,1.187094,1561.560748
12,9750,1.185162,1564.105239
12,9750,1.184371,1565.150147
12,9750,1.190987,1556.455595
12,9750,1.186258,1562.661055
