#,,,
#node:,THIN,,
#library:,openBLAS,,
#precision:,double,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.104415,153.234418
12,2000,0.043958,363.985086
12,2000,0.044323,360.984563
12,2000,0.043851,364.875589
12,2000,0.044043,363.282353
12,2250,0.060295,377.829329
12,2250,0.059844,380.679665
12,2250,0.059789,381.027447
12,2250,0.059879,380.456650
12,2250,0.060028,379.513019
12,2500,0.074069,421.903485
12,2500,0.073547,424.897151
12,2500,0.074650,418.620564
12,2500,0.073605,424.565925
12,2500,0.074050,422.010450
12,2750,0.100468,414.000063
12,2750,0.100676,413.146288
12,2750,0.100561,413.617334
12,2750,0.100645,413.273707
12,2750,0.100668,413.175820
12,3000,0.125536,430.154654
12,3000,0.126285,427.604428
12,3000,0.124839,432.557075
12,3000,0.125579,430.008990
12,3000,0.125453,430.441516
12,3250,0.160363,428.129244
12,3250,0.159432,430.631421
12,3250,0.160288,428.331217
12,3250,0.159529,430.368756
12,3250,0.159665,430.001647
12,3500,0.192470,445.524813
12,3500,0.192019,446.569287
12,3500,0.193181,443.885361
12,3500,0.192103,446.374713
12,3500,0.192331,445.846826
12,3750,0.231515,455.558108
12,3750,0.231792,455.015179
12,3750,0.232080,454.449643
12,3750,0.232093,454.424283
12,3750,0.231937,454.730234
12,4000,0.290864,440.068598
12,4000,0.290115,441.205078
12,4000,0.290906,440.005133
12,4000,0.291427,439.218362
12,4000,0.291897,438.510126
12,4250,0.331898,462.585096
12,4250,0.330981,463.867808
12,4250,0.333679,460.116608
12,4250,0.331924,462.548828
12,4250,0.332182,462.190450
12,4500,0.398190,457.696286
12,4500,0.398163,457.727123
12,4500,0.397403,458.602112
12,4500,0.397982,457.935848
12,4500,0.398446,457.401520
12,4750,0.466542,459.431149
12,4750,0.466968,459.011519
12,4750,0.465067,460.887547
12,4750,0.467788,458.207050
12,4750,0.466407,459.563993
12,5000,0.526435,474.892444
12,5000,0.527513,473.921816
12,5000,0.525660,475.592996
12,5000,0.525318,475.901941
12,5000,0.526753,474.605608
12,5250,0.614941,470.624317
12,5250,0.617657,468.555141
12,5250,0.615210,470.418729
12,5250,0.616522,469.417200
12,5250,0.617444,468.716715
12,5500,0.714275,465.856828
12,5500,0.714024,466.020514
12,5500,0.713691,466.238364
12,5500,0.715443,465.096311
12,5500,0.715471,465.078294
12,5750,0.805242,472.179622
12,5750,0.804239,472.768427
12,5750,0.802616,473.724290
12,5750,0.802846,473.588803
12,5750,0.802851,473.585967
12,6000,0.902916,478.449630
12,6000,0.902618,478.607883
12,6000,0.901931,478.972594
12,6000,0.900909,479.515897
12,6000,0.900947,479.495247
12,6250,1.081279,451.577531
12,6250,1.079556,452.298329
12,6250,1.096537,445.293950
12,6250,1.087805,448.868370
12,6250,1.086050,449.593784
12,6500,1.212473,452.999880
12,6500,1.224972,448.377481
12,6500,1.219992,450.207830
12,6500,1.218705,450.683434
12,6500,1.212592,452.955502
12,6750,1.330941,462.149386
12,6750,1.335820,460.461453
12,6750,1.333567,461.239436
12,6750,1.330311,462.368273
12,6750,1.327218,463.445848
12,7000,1.475871,464.810158
12,7000,1.477172,464.400827
12,7000,1.483356,462.464737
12,7000,1.479067,463.805880
12,7000,1.478731,463.911291
12,7250,1.657377,459.856916
12,7250,1.655711,460.319592
12,7250,1.657389,459.853680
12,7250,1.658070,459.664809
12,7250,1.659799,459.185891
12,7500,1.773041,475.877407
12,7500,1.772867,475.924044
12,7500,1.775507,475.216501
12,7500,1.775471,475.225972
12,7500,1.779414,474.173052
12,7750,1.980690,470.022492
12,7750,1.981597,469.807189
12,7750,1.978516,470.538839
12,7750,1.989947,467.836013
12,7750,1.979907,470.208220
12,8000,2.235738,458.014352
12,8000,2.236692,457.818971
12,8000,2.237737,457.605066
12,8000,2.244107,456.306278
12,8000,2.224153,460.400062
12,8250,2.408838,466.212874
12,8250,2.426087,462.898140
12,8250,2.406498,466.666141
12,8250,2.417050,464.628924
12,8250,2.417051,464.628744
12,8500,2.631966,466.666282
12,8500,2.648549,463.744468
12,8500,2.634078,466.292217
12,8500,2.629518,467.100805
12,8500,2.634917,466.143783
12,8750,2.841582,471.513356
12,8750,2.828506,473.693114
12,8750,2.823755,474.490027
12,8750,2.837241,472.234669
12,8750,2.832122,473.088350
12,9000,3.141447,464.117280
12,9000,3.145955,463.452253
12,9000,3.148330,463.102707
12,9000,3.142033,464.030816
12,9000,3.162331,461.052293
12,9250,3.372601,469.342839
12,9250,3.389375,467.020163
12,9250,3.359327,471.197474
12,9250,3.355065,471.795969
12,9250,3.352311,472.183538
12,9500,3.566317,480.818163
12,9500,3.540693,484.297844
12,9500,3.536974,484.807119
12,9500,3.573788,479.813059
12,9500,3.533556,485.276025
12,9750,3.911100,473.963556
12,9750,3.907492,474.401222
