#,,,
#node:,THIN,,
#library:,openBLAS,,
#precision:,float,,
#allocation:,close,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.051879,308.412165
12,2000,0.024699,647.804621
12,2000,0.024668,648.621214
12,2000,0.024087,664.257102
12,2000,0.025349,631.193886
12,2250,0.031217,729.764466
12,2250,0.032510,700.750020
12,2250,0.031849,715.282888
12,2250,0.032210,707.268151
12,2250,0.031145,731.458426
12,2500,0.036980,845.057206
12,2500,0.037270,838.485795
12,2500,0.037638,830.275175
12,2500,0.037794,826.843669
12,2500,0.038655,808.436089
12,2750,0.052054,799.053801
12,2750,0.051490,807.802125
12,2750,0.051583,806.348412
12,2750,0.051581,806.374081
12,2750,0.052577,791.103413
12,3000,0.063173,854.793505
12,3000,0.063610,848.928117
12,3000,0.064178,841.406368
12,3000,0.063995,843.822226
12,3000,0.062795,859.943995
12,3250,0.080791,849.796850
12,3250,0.080328,854.697955
12,3250,0.081280,844.684748
12,3250,0.080267,855.343413
12,3250,0.081646,840.901781
12,3500,0.095263,900.134927
12,3500,0.095172,900.998230
12,3500,0.095146,901.246505
12,3500,0.095032,902.329982
12,3500,0.095413,898.720687
12,3750,0.112527,937.273421
12,3750,0.112626,936.448223
12,3750,0.112785,935.133107
12,3750,0.112750,935.417271
12,3750,0.112367,938.605552
12,4000,0.147372,868.552846
12,4000,0.146923,871.207022
12,4000,0.147152,869.850093
12,4000,0.147572,867.371915
12,4000,0.146597,873.144761
12,4250,0.169452,906.046146
12,4250,0.169303,906.844878
12,4250,0.169864,903.848446
12,4250,0.170270,901.690877
12,4250,0.169524,905.661235
12,4500,0.202376,900.551823
12,4500,0.202711,899.064724
12,4500,0.201801,903.115579
12,4500,0.201651,903.787051
12,4500,0.202055,901.983348
12,4750,0.229319,934.698730
12,4750,0.228893,936.436314
12,4750,0.229113,935.536765
12,4750,0.229047,935.808208
12,4750,0.229016,935.931497
12,5000,0.258813,965.948910
12,5000,0.258342,967.710549
12,5000,0.258504,967.103162
12,5000,0.258634,966.616249
12,5000,0.258423,967.406519
12,5250,0.309724,934.401414
12,5250,0.309521,935.012192
12,5250,0.308922,936.826298
12,5250,0.309420,935.318058
12,5250,0.308821,937.133377
12,5500,0.347700,957.004521
12,5500,0.347979,956.235656
12,5500,0.348153,955.757070
12,5500,0.347918,956.402599
12,5500,0.347385,957.870335
12,5750,0.396046,960.036917
12,5750,0.395516,961.322765
12,5750,0.396186,959.696555
12,5750,0.396499,958.940479
12,5750,0.396736,958.366941
12,6000,0.437802,986.747402
12,6000,0.439055,983.931936
12,6000,0.444312,972.289366
12,6000,0.438578,985.000915
12,6000,0.439182,983.646387
12,6250,0.492041,992.358346
12,6250,0.491262,993.933378
12,6250,0.492005,992.431709
12,6250,0.490963,994.537508
12,6250,0.492323,991.790050
12,6500,0.572012,960.207788
12,6500,0.572020,960.193070
12,6500,0.571839,960.497772
12,6500,0.571799,960.564720
12,6500,0.571806,960.552378
12,6750,0.630406,975.710558
12,6750,0.629933,976.443385
12,6750,0.630533,975.513574
12,6750,0.631216,974.458811
12,6750,0.630670,975.301415
12,7000,0.695608,986.188087
12,7000,0.695023,987.017202
