#,,,
#node:,THIN,,
#library:,MKL,,
#precision:,double,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.123242,129.825720
12,2000,0.027773,576.099794
12,2000,0.026796,597.112201
12,2000,0.026750,598.139606
12,2000,0.027177,588.731365
12,2250,0.035841,635.624503
12,2250,0.035299,645.380789
12,2250,0.036009,632.659361
12,2250,0.035951,633.679937
12,2250,0.035261,646.070605
12,2500,0.048153,648.976313
12,2500,0.047119,663.219805
12,2500,0.047202,662.048345
12,2500,0.047348,660.000960
12,2500,0.047432,658.843888
12,2750,0.060522,687.255621
12,2750,0.059910,694.265172
12,2750,0.060078,692.334647
12,2750,0.060056,692.579919
12,2750,0.060123,691.807445
12,3000,0.075856,711.872251
12,3000,0.075558,714.686355
12,3000,0.075676,713.564580
12,3000,0.076141,709.209910
12,3000,0.076809,703.038127
12,3250,0.092456,742.579681
12,3250,0.092872,739.255366
12,3250,0.092280,743.995887
12,3250,0.092614,741.312274
12,3250,0.093126,737.242495
12,3500,0.115160,744.615501
12,3500,0.115127,744.830270
12,3500,0.114820,746.818958
12,3500,0.114812,746.871120
12,3500,0.115124,744.847454
12,3750,0.137362,767.814816
12,3750,0.137447,767.342787
12,3750,0.137636,766.287003
12,3750,0.137651,766.203567
12,3750,0.137141,769.053338
12,4000,0.164213,779.477735
12,4000,0.164344,778.854272
12,4000,0.163969,780.634874
12,4000,0.163927,780.837434
12,4000,0.164820,776.605337
12,4250,0.197697,776.598695
12,4250,0.197172,778.668547
12,4250,0.197519,777.299364
12,4250,0.197497,777.386198
12,4250,0.196996,779.363343
12,4500,0.228976,795.935845
12,4500,0.229336,794.686033
12,4500,0.229182,795.219190
12,4500,0.229102,795.497174
12,4500,0.229535,793.995258
12,4750,0.269990,793.894015
12,4750,0.269480,795.397387
12,4750,0.269314,795.887575
12,4750,0.269835,794.351905
12,4750,0.269936,794.053261
12,5000,0.316528,789.820488
12,5000,0.316170,790.712691
12,5000,0.315825,791.578108
12,5000,0.317486,787.435074
12,5000,0.315664,791.982258
12,5250,0.360167,803.534084
12,5250,0.359667,804.649838
12,5250,0.360399,803.016936
12,5250,0.359286,805.504808
12,5250,0.360161,803.546538
12,5500,0.413829,804.075957
12,5500,0.414568,802.643642
12,5500,0.414057,803.632600
12,5500,0.414414,802.940900
12,5500,0.413886,803.964644
12,5750,0.470189,808.651198
12,5750,0.470554,808.022999
12,5750,0.470162,808.698095
12,5750,0.470572,807.993499
12,5750,0.470611,807.926081
12,6000,0.531867,812.232776
12,6000,0.532556,811.181864
12,6000,0.532017,812.004885
12,6000,0.533142,810.291183
12,6000,0.532055,811.946095
12,6250,0.606085,805.631232
12,6250,0.606584,804.969308
12,6250,0.606248,805.415390
12,6250,0.606347,805.283895
12,6250,0.606182,805.502828
12,6500,0.676074,812.411264
12,6500,0.676269,812.177367
12,6500,0.676208,812.250471
12,6500,0.675798,812.743271
12,6500,0.676211,812.246771
12,6750,0.754200,815.557860
12,6750,0.753889,815.894267
12,6750,0.755050,814.639374
12,6750,0.754345,815.400941
12,6750,0.753949,815.829086
12,7000,0.848673,808.320288
12,7000,0.850100,806.964196
12,7000,0.849664,807.378222
12,7000,0.850741,806.355718
12,7000,0.849798,807.250553
12,7250,0.930829,818.793384
12,7250,0.931626,818.092699
12,7250,0.930789,818.827845
12,7250,0.931688,818.037802
12,7250,0.931199,818.467539
12,7500,1.038720,812.297685
12,7500,1.038708,812.307063
12,7500,1.039362,811.795885
12,7500,1.041043,810.485012
12,7500,1.038855,812.192166
12,7750,1.148968,810.264860
12,7750,1.147955,810.980042
12,7750,1.147822,811.074448
12,7750,1.148399,810.666588
12,7750,1.150381,809.269859
12,8000,1.251214,818.405462
12,8000,1.250153,819.099709
12,8000,1.251523,818.203399
12,8000,1.252780,817.382138
12,8000,1.250951,818.577539
12,8250,1.376232,816.018753
12,8250,1.377274,815.401300
12,8250,1.376004,816.154063
12,8250,1.376748,815.712741
12,8250,1.376313,815.970715
12,8500,1.515675,810.365081
12,8500,1.517685,809.292038
12,8500,1.517822,809.218927
12,8500,1.516780,809.774423
12,8500,1.515906,810.241781
12,8750,1.650221,811.917586
12,8750,1.648109,812.958221
12,8750,1.649909,812.071502
12,8750,1.649848,812.101146
12,8750,1.648645,812.693792
12,9000,1.775101,821.361688
12,9000,1.780344,818.942772
12,9000,1.774924,821.443606
12,9000,1.780213,819.003261
12,9000,1.779937,819.129993
12,9250,1.950004,811.744924
12,9250,1.951558,811.098760
12,9250,1.947053,812.975602
12,9250,1.948525,812.361421
12,9250,1.948596,812.331476
12,9500,2.086188,821.953718
12,9500,2.083959,822.832924
12,9500,2.085999,822.028164
12,9500,2.084589,822.584176
12,9500,2.086309,821.906107
12,9750,2.264775,818.500189
12,9750,2.265563,818.215656
12,9750,2.265216,818.340791
12,9750,2.267359,817.567530
12,9750,2.264398,818.636513
12,10000,2.449466,816.504580
12,10000,2.450851,816.043084
12,10000,2.451361,815.873448
12,10000,2.448993,816.662353
12,10000,2.449858,816.373709
12,10250,2.642466,815.064827
12,10250,2.639535,815.970097
12,10250,2.639320,816.036436
12,10250,2.640578,815.647684
12,10250,2.640258,815.746497
12,10500,2.839380,815.406912
12,10500,2.836830,816.139778
12,10500,2.835773,816.444060
12,10500,2.837234,816.023616
12,10500,2.836477,816.241528
12,10750,3.084608,805.481272
12,10750,3.084114,805.610169
12,10750,3.085332,805.292131
12,10750,3.081857,806.200269
12,10750,3.086187,805.069000
12,11000,3.245098,820.314116
12,11000,3.245614,820.183880
12,11000,3.247027,819.826969
12,11000,3.245889,820.114359
12,11000,3.246631,819.926874
12,11250,3.487909,816.436420
12,11250,3.478417,818.664505
12,11250,3.483604,817.445521
12,11250,3.480062,818.277342
12,11250,3.490557,815.817142
12,11500,3.696529,822.866532
12,11500,3.700786,821.920060
12,11500,3.696600,822.850839
12,11500,3.698447,822.439875
12,11500,3.698067,822.524264
12,11750,3.965667,818.139561
12,11750,3.963186,818.651570
12,11750,3.961730,818.952433
12,11750,3.960022,819.305688
12,11750,3.962858,818.719398
12,12000,4.200531,822.753051
12,12000,4.203861,822.101408
12,12000,4.204344,822.006880
12,12000,4.203472,822.177536
12,12000,4.202539,822.359936
12,12250,4.456994,824.890258
12,12250,4.457829,824.735781
12,12250,4.458982,824.522529
12,12250,4.456542,824.973956
12,12250,4.454114,825.423714
12,12500,4.749237,822.500470
12,12500,4.754004,821.675750
