#,,,
#node:,THIN,,
#library:,MKL,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.019914,803.437144
12,2000,0.016106,993.411755
12,2000,0.016071,995.592326
12,2000,0.016203,987.453843
12,2000,0.015822,1011.258275
12,2250,0.020381,1117.784302
12,2250,0.020099,1133.477855
12,2250,0.021283,1070.384591
12,2250,0.019999,1139.124411
12,2250,0.020007,1138.679050
12,2500,0.026753,1168.107750
12,2500,0.026421,1182.787038
12,2500,0.026543,1177.328326
12,2500,0.026565,1176.359828
12,2500,0.026960,1159.131465
12,2750,0.034212,1215.772719
12,2750,0.033522,1240.796626
12,2750,0.033385,1245.897207
12,2750,0.034516,1205.062172
12,2750,0.033365,1246.624915
12,3000,0.041033,1316.013844
12,3000,0.040484,1333.866781
12,3000,0.040194,1343.475144
12,3000,0.040137,1345.391999
12,3000,0.040128,1345.698911
12,3250,0.049106,1398.135206
12,3250,0.049587,1384.560110
12,3250,0.049011,1400.846863
12,3250,0.049130,1397.430281
12,3250,0.049395,1389.945340
12,3500,0.062330,1375.738465
12,3500,0.062406,1374.056005
12,3500,0.062198,1378.660807
12,3500,0.062641,1368.906053
12,3500,0.062883,1363.654261
12,3750,0.073174,1441.341437
12,3750,0.073373,1437.438329
12,3750,0.072924,1446.275541
12,3750,0.073377,1437.353760
12,3750,0.073267,1439.519798
12,4000,0.087689,1459.711922
12,4000,0.086576,1478.473063
12,4000,0.086702,1476.318144
12,4000,0.086486,1480.011251
12,4000,0.087030,1470.750180
12,4250,0.107313,1430.685550
12,4250,0.106437,1442.460794
12,4250,0.106578,1440.550266
12,4250,0.105965,1448.893152
12,4250,0.108079,1420.551355
12,4500,0.121026,1505.880245
12,4500,0.121764,1496.749295
12,4500,0.121802,1496.283257
12,4500,0.121397,1501.268430
12,4500,0.121523,1499.714289
12,4750,0.140533,1525.223441
12,4750,0.142136,1508.023206
12,4750,0.140753,1522.837390
12,4750,0.141260,1517.373728
12,4750,0.141271,1517.254977
12,5000,0.167884,1489.125926
12,5000,0.167995,1488.136410
12,5000,0.167511,1492.440924
12,5000,0.167472,1492.787727
12,5000,0.169078,1478.608617
12,5250,0.189496,1527.242943
12,5250,0.188861,1532.379355
12,5250,0.189794,1524.841920
12,5250,0.190460,1519.514692
12,5250,0.189565,1526.687885
12,5500,0.214503,1551.257701
12,5500,0.214659,1550.134345
12,5500,0.214268,1552.959552
12,5500,0.215860,1541.507057
12,5500,0.214259,1553.023443
12,5750,0.245663,1547.724126
12,5750,0.245713,1547.408406
12,5750,0.251715,1510.515330
12,5750,0.246049,1545.298480
12,5750,0.245645,1547.839327
12,6000,0.277553,1556.457934
12,6000,0.279097,1547.846443
12,6000,0.277919,1554.412126
12,6000,0.277383,1557.411717
12,6000,0.279986,1542.936031
12,6250,0.311586,1567.081203
12,6250,0.311141,1569.323852
12,6250,0.311042,1569.822138
12,6250,0.310762,1571.236983
12,6250,0.311435,1567.842686
12,6500,0.346466,1585.292325
12,6500,0.346090,1587.015755
12,6500,0.346490,1585.182152
12,6500,0.346613,1584.620202
12,6500,0.346687,1584.279997
12,6750,0.388018,1585.218318
12,6750,0.387294,1588.183431
12,6750,0.387881,1585.778038
12,6750,0.388181,1584.553388
12,6750,0.387996,1585.311062
12,7000,0.432757,1585.186102
12,7000,0.431816,1588.638623
12,7000,0.432154,1587.398444
12,7000,0.431985,1588.018981
12,7000,0.431876,1588.419167
12,7250,0.476226,1600.410042
12,7250,0.476640,1599.018095
12,7250,0.475825,1601.757487
12,7250,0.476730,1598.715729
12,7250,0.477176,1597.221027
12,7500,0.525979,1604.152582
