#,,,
#node:,THIN,,
#library:,openBLAS,,
#precision:,float,,
#allocation:,spread,,
#,,,
cores,mat_size,time(s),GFLOPS
12,2000,0.013865,1153.971621
12,2000,0.014323,1117.093379
12,2000,0.014796,1081.361504
12,2000,0.013659,1171.369618
12,2000,0.014259,1122.105249
12,2250,0.017656,1290.255402
12,2250,0.018169,1253.865828
12,2250,0.017365,1311.914595
12,2250,0.018046,1262.413350
12,2250,0.018231,1249.617675
12,2500,0.024817,1259.223409
12,2500,0.024514,1274.798814
12,2500,0.024196,1291.509263
12,2500,0.024566,1272.074616
12,2500,0.024174,1292.686953
12,2750,0.030305,1372.482300
12,2750,0.030948,1343.972105
12,2750,0.030463,1365.374807
12,2750,0.031204,1332.955200
12,2750,0.031238,1331.496893
12,3000,0.038115,1416.758102
12,3000,0.037642,1434.564988
12,3000,0.039642,1362.194948
12,3000,0.037843,1426.942826
12,3000,0.037731,1431.197069
12,3250,0.046314,1482.408383
12,3250,0.046045,1491.074705
12,3250,0.046512,1476.093282
12,3250,0.047334,1450.455268
12,3250,0.045946,1494.281363
12,3500,0.058640,1462.318724
12,3500,0.058919,1455.378568
12,3500,0.058370,1469.065053
12,3500,0.058271,1471.563035
12,3500,0.058312,1470.541403
12,3750,0.072432,1456.097398
12,3750,0.072684,1451.050228
12,3750,0.071040,1484.642050
12,3750,0.071202,1481.258064
12,3750,0.071905,1466.778370
12,4000,0.082598,1549.680443
12,4000,0.083030,1541.616349
12,4000,0.083088,1540.542141
12,4000,0.084130,1521.458038
12,4000,0.082731,1547.177541
12,4250,0.103877,1478.003690
12,4250,0.103803,1479.057025
12,4250,0.104008,1476.147206
12,4250,0.103794,1479.189235
12,4250,0.104001,1476.253389
12,4500,0.119637,1523.352199
12,4500,0.119019,1531.270021
12,4500,0.119004,1531.465606
12,4500,0.119990,1518.870636
12,4500,0.118655,1535.963116
12,4750,0.140554,1524.990351
12,4750,0.141550,1514.259926
12,4750,0.141050,1519.625125
12,4750,0.141009,1520.069333
12,4750,0.140181,1529.054818
12,5000,0.166092,1505.194027
12,5000,0.165858,1507.315394
12,5000,0.164677,1518.124334
12,5000,0.163710,1527.094234
12,5000,0.165278,1512.599631
12,5250,0.187565,1542.961617
12,5250,0.189624,1526.212345
12,5250,0.188291,1537.018585
12,5250,0.189049,1530.849379
12,5250,0.188903,1532.037362
12,5500,0.213224,1560.561968
12,5500,0.212782,1563.809771
12,5500,0.212967,1562.448063
12,5500,0.213102,1561.457967
12,5500,0.212780,1563.824764
12,5750,0.237326,1602.092509
12,5750,0.237909,1598.169650
12,5750,0.237313,1602.184491
12,5750,0.237087,1603.710645
12,5750,0.236988,1604.380313
12,6000,0.277160,1558.665636
12,6000,0.276877,1560.262016
12,6000,0.276603,1561.804966
12,6000,0.276496,1562.410803
12,6000,0.276635,1561.623123
12,6250,0.305533,1598.127745
12,6250,0.305700,1597.258408
12,6250,0.310874,1570.671129
12,6250,0.305265,1599.530524
12,6250,0.304994,1600.953757
12,6500,0.344040,1596.470914
12,6500,0.344372,1594.933322
12,6500,0.343967,1596.808706
12,6500,0.347947,1578.543048
12,6500,0.344166,1595.888241
12,6750,0.388467,1583.385709
12,6750,0.388421,1583.575195
12,6750,0.387873,1585.813587
12,6750,0.389109,1580.775737
12,6750,0.388011,1585.249077
12,7000,0.429148,1598.515411
12,7000,0.430169,1594.723350
12,7000,0.429063,1598.833189
12,7000,0.439119,1562.219228
12,7000,0.429069,1598.809464
12,7250,0.470526,1619.797062
12,7250,0.471018,1618.103634
12,7250,0.470796,1618.865905
12,7250,0.470414,1620.183385
12,7250,0.469983,1621.666608
12,7500,0.526937,1601.234293
12,7500,0.527410,1599.798809
12,7500,0.526728,1601.870646
12,7500,0.526514,1602.520602
12,7500,0.526134,1603.677695
12,7750,0.582082,1599.376994
12,7750,0.582706,1597.664808
12,7750,0.588800,1581.130047
12,7750,0.582107,1599.308855
12,7750,0.582439,1598.396560
12,8000,0.628194,1630.070919
12,8000,0.629334,1627.115731
12,8000,0.629361,1627.047085
12,8000,0.628312,1629.763181
12,8000,0.629897,1625.662268
12,8250,0.704363,1594.392020
12,8250,0.705508,1591.804886
12,8250,0.704035,1595.135837
12,8250,0.705011,1592.926808
12,8250,0.703981,1595.258018
12,8500,0.757947,1620.496572
12,8500,0.758070,1620.233779
12,8500,0.757667,1621.094486
12,8500,0.757618,1621.198624
12,8500,0.757708,1621.006581
12,8750,0.827894,1618.375461
12,8750,0.828621,1616.955622
12,8750,0.828584,1617.027448
12,8750,0.828200,1617.778692
12,8750,0.828411,1617.366846
12,9000,0.887785,1642.289831
12,9000,0.889275,1639.537885
12,9000,0.899727,1620.490802
12,9000,0.888430,1641.097239
12,9000,0.889344,1639.410817
12,9250,0.978228,1618.137063
12,9250,0.978071,1618.396550
12,9250,0.977456,1619.414033
12,9250,0.976928,1620.288974
12,9250,0.977279,1619.708272
12,9500,1.072843,1598.323596
12,9500,1.076791,1592.463627
12,9500,1.071586,1600.198890
12,9500,1.071909,1599.716550
12,9500,1.083381,1582.776122
12,9750,1.144460,1619.732372
12,9750,1.144752,1619.318716
12,9750,1.143105,1621.651791
12,9750,1.142665,1622.276829
12,9750,1.145162,1618.739472
12,10000,1.264702,1581.400433
12,10000,1.267223,1578.254310
12,10000,1.269573,1575.333425
12,10000,1.267232,1578.243112
12,10000,1.267400,1578.033608
12,10250,1.355063,1589.432790
12,10250,1.357096,1587.051434
12,10250,1.357341,1586.764545
12,10250,1.355556,1588.854522
12,10250,1.355650,1588.744035
12,10500,1.437903,1610.157010
12,10500,1.438618,1609.357219
12,10500,1.437279,1610.856463
12,10500,1.439954,1607.864217
12,10500,1.438998,1608.931693
12,10750,1.556525,1596.244500
12,10750,1.556277,1596.498747
12,10750,1.560280,1592.402184
12,10750,1.556058,1596.722996
12,10750,1.556912,1595.847274
12,11000,1.653640,1609.782359
12,11000,1.657466,1606.065989
12,11000,1.657848,1605.696321
12,11000,1.652556,1610.837602
12,11000,1.661516,1602.151493
12,11250,1.783937,1596.276448
12,11250,1.781208,1598.722291
12,11250,1.771817,1607.195240
12,11250,1.774308,1604.939128
12,11250,1.770036,1608.812612
12,11500,1.858271,1636.870964
12,11500,1.863632,1632.161972
12,11500,1.861746,1633.815448
12,11500,1.861195,1634.299123
12,11500,1.859889,1635.446799
12,11750,2.021092,1605.305165
12,11750,2.019416,1606.637520
12,11750,2.019039,1606.937255
12,11750,2.019973,1606.194486
12,11750,2.022667,1604.054877
12,12000,2.134235,1619.315305
12,12000,2.134836,1618.859558
12,12000,2.132945,1620.294776
12,12000,2.135303,1618.505469
12,12000,2.134251,1619.303319
12,12250,2.266057,1622.435755
12,12250,2.267227,1621.598385
12,12250,2.265222,1623.033559
12,12250,2.263899,1623.981990
